suite,dimension,function,comparator,n_runs,mean_diff,ci_low,ci_high,B,seed,availability
cec2020,10,1,gsk,30,0.000000e+00,n/a,n/a,n/a,n/a,no CI (degenerate cell)
cec2020,10,1,agsk,30,0.000000e+00,n/a,n/a,n/a,n/a,no CI (degenerate cell)
cec2020,10,1,apgsk,30,0.000000e+00,n/a,n/a,n/a,n/a,no CI (degenerate cell)
cec2020,10,1,fdb-agsk,30,0.000000e+00,n/a,n/a,n/a,n/a,no CI (degenerate cell)
cec2020,10,1,atmals-gsk,30,0.000000e+00,n/a,n/a,n/a,n/a,no CI (degenerate cell)
cec2020,10,1,egsk,30,0.000000e+00,n/a,n/a,n/a,n/a,no CI (degenerate cell)
cec2020,10,2,gsk,30,-5.904008e+02,-6.427867e+02,-5.162406e+02,10000,"SeedSequence([20240620, 2020, 10, 2, 0])",ok
cec2020,10,2,agsk,30,-2.360406e+01,-4.132232e+01,-6.024138e+00,10000,"SeedSequence([20240620, 2020, 10, 2, 1])",ok
cec2020,10,2,apgsk,30,-3.348342e+01,-5.524615e+01,-9.442059e+00,10000,"SeedSequence([20240620, 2020, 10, 2, 2])",ok
cec2020,10,2,fdb-agsk,30,-1.536903e+01,-3.236846e+01,3.537991e+00,10000,"SeedSequence([20240620, 2020, 10, 2, 3])",ok
cec2020,10,2,atmals-gsk,30,-2.818778e+02,-3.580623e+02,-2.134343e+02,10000,"SeedSequence([20240620, 2020, 10, 2, 4])",ok
cec2020,10,2,egsk,30,-1.410701e+02,-2.072274e+02,-9.589961e+01,10000,"SeedSequence([20240620, 2020, 10, 2, 5])",ok
cec2020,10,3,gsk,30,-8.047220e+00,-9.202171e+00,-7.162927e+00,10000,"SeedSequence([20240620, 2020, 10, 3, 0])",ok
cec2020,10,3,agsk,30,7.645325e-01,-6.680499e-01,2.426792e+00,10000,"SeedSequence([20240620, 2020, 10, 3, 1])",ok
cec2020,10,3,apgsk,30,-1.378517e+00,-2.659906e+00,3.280592e-01,10000,"SeedSequence([20240620, 2020, 10, 3, 2])",ok
cec2020,10,3,fdb-agsk,30,2.847224e+00,1.533723e+00,4.190514e+00,10000,"SeedSequence([20240620, 2020, 10, 3, 3])",ok
cec2020,10,3,atmals-gsk,30,-4.890708e+00,-6.118325e+00,-3.862904e+00,10000,"SeedSequence([20240620, 2020, 10, 3, 4])",ok
cec2020,10,3,egsk,30,-7.732623e-01,-1.742154e+00,-2.570870e-01,10000,"SeedSequence([20240620, 2020, 10, 3, 5])",ok
cec2020,10,4,gsk,30,-1.058205e+00,-1.116721e+00,-9.902490e-01,10000,"SeedSequence([20240620, 2020, 10, 4, 0])",ok
cec2020,10,4,agsk,30,8.139695e-02,5.418458e-02,1.072222e-01,10000,"SeedSequence([20240620, 2020, 10, 4, 1])",ok
cec2020,10,4,apgsk,30,8.601797e-02,5.863806e-02,1.078844e-01,10000,"SeedSequence([20240620, 2020, 10, 4, 2])",ok
cec2020,10,4,fdb-agsk,30,6.590673e-02,3.053871e-02,9.498047e-02,10000,"SeedSequence([20240620, 2020, 10, 4, 3])",ok
cec2020,10,4,atmals-gsk,30,-1.296322e-01,-1.841296e-01,-8.514783e-02,10000,"SeedSequence([20240620, 2020, 10, 4, 4])",ok
cec2020,10,4,egsk,30,-1.971453e-01,-2.444290e-01,-1.540886e-01,10000,"SeedSequence([20240620, 2020, 10, 4, 5])",ok
