suite,dimension,function,algorithm,best,median,mean,worst,sd,n_runs
cec2020,5,1,gsk,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,30
cec2020,5,1,agsk,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,30
cec2020,5,1,apgsk,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,30
cec2020,5,1,fdb-agsk,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,30
cec2020,5,1,atmals-gsk,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,30
cec2020,5,1,egsk,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,30
cec2020,5,1,dt-gsk,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,30
cec2020,5,2,gsk,4.196193e+01,9.563740e+01,1.058872e+02,2.800450e+02,5.070877e+01,30
cec2020,5,2,agsk,4.793969e-01,7.748508e+00,1.406127e+01,1.240124e+02,2.231849e+01,30
cec2020,5,2,apgsk,0.000000e+00,1.278959e+01,2.722931e+01,1.434926e+02,3.826402e+01,30
cec2020,5,2,fdb-agsk,9.753315e-01,1.031526e+01,1.675307e+01,8.843328e+01,2.167901e+01,30
cec2020,5,2,atmals-gsk,1.686925e-01,1.050931e+01,2.202775e+01,1.243239e+02,2.845689e+01,30
cec2020,5,2,egsk,6.954279e+00,3.207117e+01,4.284595e+01,1.216418e+02,3.191489e+01,30
cec2020,5,2,dt-gsk,2.097291e-01,7.620749e-01,5.988593e+00,1.260040e+02,2.277809e+01,30
cec2020,5,3,gsk,5.940040e+00,7.073012e+00,7.014048e+00,8.469885e+00,6.673823e-01,30
cec2020,5,3,agsk,0.000000e+00,2.107981e+00,2.757922e+00,5.533452e+00,2.322285e+00,30
cec2020,5,3,apgsk,0.000000e+00,2.122752e+00,2.558543e+00,5.917682e+00,2.124893e+00,30
cec2020,5,3,fdb-agsk,1.746679e-07,1.429103e+00,1.652683e+00,5.274229e+00,1.389258e+00,30
cec2020,5,3,atmals-gsk,1.948840e+00,6.124348e+00,6.089194e+00,8.690966e+00,1.390515e+00,30
cec2020,5,3,egsk,5.148228e+00,5.612424e+00,5.658973e+00,6.352329e+00,4.140580e-01,30
cec2020,5,3,dt-gsk,2.279229e+00,5.148228e+00,5.001121e+00,5.403468e+00,6.545328e-01,30
cec2020,5,4,gsk,1.124922e-01,3.429167e-01,3.391969e-01,4.960638e-01,1.021411e-01,30
cec2020,5,4,agsk,1.000713e-02,9.442009e-02,9.970614e-02,1.981032e-01,4.931716e-02,30
cec2020,5,4,apgsk,0.000000e+00,4.916217e-02,5.206148e-02,2.114309e-01,4.735934e-02,30
cec2020,5,4,fdb-agsk,1.007653e-02,1.050198e-01,1.062045e-01,2.196313e-01,7.010687e-02,30
cec2020,5,4,atmals-gsk,1.000617e-02,1.674434e-01,1.626239e-01,3.217079e-01,6.871514e-02,30
cec2020,5,4,egsk,5.802781e-08,1.196764e-01,1.233753e-01,2.832234e-01,8.251979e-02,30
cec2020,5,4,dt-gsk,2.938252e-05,1.023808e-01,9.572129e-02,1.775417e-01,3.872517e-02,30
cec2020,5,5,gsk,0.000000e+00,0.000000e+00,2.080331e-02,6.240993e-01,1.139444e-01,30
cec2020,5,5,agsk,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,30
cec2020,5,5,apgsk,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,30
cec2020,5,5,fdb-agsk,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,30
cec2020,5,5,atmals-gsk,8.821246e-03,6.354127e-02,1.533310e-01,7.497809e-01,2.204417e-01,30
