suite,dimension,function,comparator,n_runs,a12,cliffs_delta,magnitude,availability
cec2020,20,1,gsk,30,5.000000e-01,0.000000e+00,negligible,ok
cec2020,20,1,agsk,30,5.000000e-01,0.000000e+00,negligible,ok
cec2020,20,1,apgsk,30,5.000000e-01,0.000000e+00,negligible,ok
cec2020,20,1,fdb-agsk,30,5.000000e-01,0.000000e+00,negligible,ok
cec2020,20,1,atmals-gsk,30,5.000000e-01,0.000000e+00,negligible,ok
cec2020,20,1,egsk,30,5.000000e-01,0.000000e+00,negligible,ok
cec2020,20,2,gsk,30,5.166667e-01,3.333333e-02,negligible,ok
cec2020,20,2,agsk,30,0.000000e+00,-1.000000e+00,large,ok
cec2020,20,2,apgsk,30,1.555556e-02,-9.688889e-01,large,ok
cec2020,20,2,fdb-agsk,30,0.000000e+00,-1.000000e+00,large,ok
cec2020,20,2,atmals-gsk,30,9.377778e-01,8.755556e-01,large,ok
cec2020,20,2,egsk,30,7.533333e-01,5.066667e-01,large,ok
cec2020,20,3,gsk,30,2.244444e-01,-5.511111e-01,large,ok
cec2020,20,3,agsk,30,0.000000e+00,-1.000000e+00,large,ok
cec2020,20,3,apgsk,30,0.000000e+00,-1.000000e+00,large,ok
cec2020,20,3,fdb-agsk,30,0.000000e+00,-1.000000e+00,large,ok
cec2020,20,3,atmals-gsk,30,6.100000e-01,2.200000e-01,small,ok
cec2020,20,3,egsk,30,5.155556e-01,3.111111e-02,negligible,ok
cec2020,20,4,gsk,30,9.144444e-01,8.288889e-01,large,ok
cec2020,20,4,agsk,30,0.000000e+00,-1.000000e+00,large,ok
cec2020,20,4,apgsk,30,0.000000e+00,-1.000000e+00,large,ok
cec2020,20,4,fdb-agsk,30,0.000000e+00,-1.000000e+00,large,ok
cec2020,20,4,atmals-gsk,30,2.222222e-03,-9.955556e-01,large,ok
cec2020,20,4,egsk,30,2.522222e-01,-4.955556e-01,large,ok
cec2020,20,5,gsk,30,3.844444e-01,-2.311111e-01,small,ok
cec2020,20,5,agsk,30,3.433333e-01,-3.133333e-01,medium,ok
cec2020,20,5,apgsk,30,6.244444e-01,2.488889e-01,small,ok
cec2020,20,5,fdb-agsk,30,4.066667e-01,-1.866667e-01,small,ok
cec2020,20,5,atmals-gsk,30,5.944444e-01,1.888889e-01,small,ok
cec2020,20,5,egsk,30,5.900000e-01,1.800000e-01,small,ok
cec2020,20,6,gsk,30,4.411111e-01,-1.177778e-01,negligible,ok
cec2020,20,6,agsk,30,0.000000e+00,-1.000000e+00,large,ok
cec2020,20,6,apgsk,30,1.111111e-03,-9.977778e-01,large,ok
cec2020,20,6,fdb-agsk,30,0.000000e+00,-1.000000e+00,large,ok
cec2020,20,6,atmals-gsk,30,4.322222e-01,-1.355556e-01,small,ok
cec2020,20,6,egsk,30,3.777778e-01,-2.444444e-01,small,ok
cec2020,20,7,gsk,30,3.933333e-01,-2.133333e-01,small,ok
cec2020,20,7,agsk,30,5.888889e-02,-8.822222e-01,large,ok
cec2020,20,7,apgsk,30,1.500000e-01,-7.000000e-01,large,ok
cec2020,20,7,fdb-agsk,30,1.266667e-01,-7.466667e-01,large,ok
cec2020,20,7,atmals-gsk,30,4.077778e-01,-1.844444e-01,small,ok
cec2020,20,7,egsk,30,5.500000e-01,1.000000e-01,negligible,ok
cec2020,20,8,gsk,30,7.905556e-01,5.811111e-01,large,ok
cec2020,20,8,agsk,30,4.994444e-01,-1.111111e-03,negligible,ok
cec2020,20,8,apgsk,30,5.005556e-01,1.111111e-03,negligible,ok
cec2020,20,8,fdb-agsk,30,4.994444e-01,-1.111111e-03,negligible,ok
cec2020,20,8,atmals-gsk,30,8.227778e-01,6.455556e-01,large,ok
cec2020,20,8,egsk,30,7.583333e-01,5.166667e-01,large,ok
cec2020,20,9,gsk,30,3.788889e-01,-2.422222e-01,small,ok
cec2020,20,9,agsk,30,6.444444e-01,2.888889e-01,medium,ok
cec2020,20,9,apgsk,30,6.000000e-01,2.000000e-01,small,ok
cec2020,20,9,fdb-agsk,30,5.188889e-01,3.777778e-02,negligible,ok
cec2020,20,9,atmals-gsk,30,7.600000e-01,5.200000e-01,large,ok
cec2020,20,9,egsk,30,6.844444e-01,3.688889e-01,medium,ok
cec2020,20,10,gsk,30,6.850000e-01,3.700000e-01,medium,ok
cec2020,20,10,agsk,30,1.583333e-01,-6.833333e-01,large,ok
cec2020,20,10,apgsk,30,2.311111e-01,-5.377778e-01,large,ok
cec2020,20,10,fdb-agsk,30,1.866667e-01,-6.266667e-01,large,ok
cec2020,20,10,atmals-gsk,30,7.755556e-01,5.511111e-01,large,ok
cec2020,20,10,egsk,30,5.733333e-01,1.466667e-01,small,ok
