suite,variant,dimension,row_type,algorithm,comparator,primary_value,primary_ordinal,variant_value,variant_ordinal,verdict,note
cec2020,mean_vs_median,5,rank,gsk,n/a,5.625000e+00,7,5.437500e+00,7,agree,median basis re-rank (mandatory for every rank statement)
cec2020,mean_vs_median,5,rank,agsk,n/a,2.750000e+00,2,2.750000e+00,1,diverge,median basis re-rank (mandatory for every rank statement)
cec2020,mean_vs_median,5,rank,apgsk,n/a,2.375000e+00,1,2.937500e+00,2,diverge,median basis re-rank (mandatory for every rank statement)
cec2020,mean_vs_median,5,rank,fdb-agsk,n/a,2.750000e+00,2,3.000000e+00,3,diverge,median basis re-rank (mandatory for every rank statement)
cec2020,mean_vs_median,5,rank,atmals-gsk,n/a,5.375000e+00,6,5.250000e+00,6,agree,median basis re-rank (mandatory for every rank statement)
cec2020,mean_vs_median,5,rank,egsk,n/a,4.875000e+00,5,4.812500e+00,5,agree,median basis re-rank (mandatory for every rank statement)
cec2020,mean_vs_median,5,rank,dt-gsk,n/a,4.250000e+00,4,3.812500e+00,4,agree,median basis re-rank (mandatory for every rank statement)
cec2020,mean_vs_median,5,wtl,dt-gsk,gsk,4-1-3,n/a,3-5-0,n/a,diverge,W/T/L on the median basis
cec2020,mean_vs_median,5,wtl,dt-gsk,agsk,2-1-5,n/a,1-3-4,n/a,diverge,W/T/L on the median basis
cec2020,mean_vs_median,5,wtl,dt-gsk,apgsk,1-1-6,n/a,1-3-4,n/a,diverge,W/T/L on the median basis
cec2020,mean_vs_median,5,wtl,dt-gsk,fdb-agsk,2-1-5,n/a,2-3-3,n/a,diverge,W/T/L on the median basis
cec2020,mean_vs_median,5,wtl,dt-gsk,atmals-gsk,5-1-2,n/a,4-4-0,n/a,diverge,W/T/L on the median basis
cec2020,mean_vs_median,5,wtl,dt-gsk,egsk,5-1-2,n/a,3-5-0,n/a,diverge,W/T/L on the median basis
cec2020,mean_vs_median,10,rank,gsk,n/a,6.200000e+00,7,5.850000e+00,7,agree,median basis re-rank (mandatory for every rank statement)
cec2020,mean_vs_median,10,rank,agsk,n/a,1.900000e+00,1,2.500000e+00,2,diverge,median basis re-rank (mandatory for every rank statement)
cec2020,mean_vs_median,10,rank,apgsk,n/a,3.000000e+00,3,3.200000e+00,3,agree,median basis re-rank (mandatory for every rank statement)
cec2020,mean_vs_median,10,rank,fdb-agsk,n/a,2.200000e+00,2,2.150000e+00,1,diverge,median basis re-rank (mandatory for every rank statement)
cec2020,mean_vs_median,10,rank,atmals-gsk,n/a,5.200000e+00,5,4.950000e+00,5,agree,median basis re-rank (mandatory for every rank statement)
cec2020,mean_vs_median,10,rank,egsk,n/a,5.400000e+00,6,5.300000e+00,6,agree,median basis re-rank (mandatory for every rank statement)
cec2020,mean_vs_median,10,rank,dt-gsk,n/a,4.100000e+00,4,4.050000e+00,4,agree,median basis re-rank (mandatory for every rank statement)
cec2020,mean_vs_median,10,wtl,dt-gsk,gsk,8-1-1,n/a,6-3-1,n/a,diverge,W/T/L on the median basis
cec2020,mean_vs_median,10,wtl,dt-gsk,agsk,1-1-8,n/a,2-2-6,n/a,diverge,W/T/L on the median basis
cec2020,mean_vs_median,10,wtl,dt-gsk,apgsk,2-1-7,n/a,2-2-6,n/a,diverge,W/T/L on the median basis
cec2020,mean_vs_median,10,wtl,dt-gsk,fdb-agsk,1-1-8,n/a,1-1-8,n/a,agree,W/T/L on the median basis
cec2020,mean_vs_median,10,wtl,dt-gsk,atmals-gsk,6-1-3,n/a,4-4-2,n/a,diverge,W/T/L on the median basis
cec2020,mean_vs_median,10,wtl,dt-gsk,egsk,8-1-1,n/a,7-3-0,n/a,diverge,W/T/L on the median basis
cec2020,mean_vs_median,15,rank,gsk,n/a,5.500000e+00,5,5.350000e+00,6,diverge,median basis re-rank (mandatory for every rank statement)
cec2020,mean_vs_median,15,rank,agsk,n/a,2.100000e+00,1,2.400000e+00,1,agree,median basis re-rank (mandatory for every rank statement)
cec2020,mean_vs_median,15,rank,apgsk,n/a,3.500000e+00,3,3.650000e+00,4,diverge,median basis re-rank (mandatory for every rank statement)
cec2020,mean_vs_median,15,rank,fdb-agsk,n/a,2.300000e+00,2,3.150000e+00,3,diverge,median basis re-rank (mandatory for every rank statement)
cec2020,mean_vs_median,15,rank,atmals-gsk,n/a,5.600000e+00,7,5.550000e+00,7,agree,median basis re-rank (mandatory for every rank statement)
cec2020,mean_vs_median,15,rank,egsk,n/a,5.500000e+00,5,4.950000e+00,5,agree,median basis re-rank (mandatory for every rank statement)
cec2020,mean_vs_median,15,rank,dt-gsk,n/a,3.500000e+00,3,2.950000e+00,2,diverge,median basis re-rank (mandatory for every rank statement)
cec2020,mean_vs_median,15,wtl,dt-gsk,gsk,7-2-1,n/a,7-3-0,n/a,diverge,W/T/L on the median basis
cec2020,mean_vs_median,15,wtl,dt-gsk,agsk,2-2-6,n/a,2-4-4,n/a,diverge,W/T/L on the median basis
cec2020,mean_vs_median,15,wtl,dt-gsk,apgsk,2-2-6,n/a,4-3-3,n/a,diverge,W/T/L on the median basis
cec2020,mean_vs_median,15,wtl,dt-gsk,fdb-agsk,2-2-6,n/a,4-3-3,n/a,diverge,W/T/L on the median basis
cec2020,mean_vs_median,15,wtl,dt-gsk,atmals-gsk,8-2-0,n/a,7-3-0,n/a,diverge,W/T/L on the median basis
