suite,dimension,function,comparator,test_level,n_pairs,n_eff,n_zero_discarded,statistic,p_exact,p_normal_approx,p_decision,p_holm,holm_m,method_decision,outcome,direction,rank_biserial,decidability,evidential_tier
cec2020,20,1,gsk,per_function_runlevel,30,0,30,0.000000e+00,1.000000e+00,1.000000e+00,1.000000e+00,1.000000e+00,10,exact_signflip_enumeration_2^n,tie,none,n/a,not decidable at alpha=0.05 (exact two-sided floor 2/2^5 = 0.0625),pre-registered confirmatory (addendum Sections 3-4)
cec2020,20,2,gsk,per_function_runlevel,30,30,0,2.250000e+02,8.871948e-01,8.855175e-01,8.871948e-01,1.000000e+00,10,exact_signflip_enumeration_2^n,tie,favors_dt-gsk,3.225806e-02,decidable,pre-registered confirmatory (addendum Sections 3-4)
cec2020,20,3,gsk,per_function_runlevel,30,30,0,7.300000e+01,6.084088e-04,1.074205e-03,6.084088e-04,4.867271e-03,10,exact_signflip_enumeration_2^n,loss,favors_comparator,-6.860215e-01,decidable,pre-registered confirmatory (addendum Sections 3-4)
cec2020,20,4,gsk,per_function_runlevel,30,30,0,1.300000e+01,1.639128e-07,6.660158e-06,1.639128e-07,1.639128e-06,10,exact_signflip_enumeration_2^n,win,favors_dt-gsk,9.440860e-01,decidable,pre-registered confirmatory (addendum Sections 3-4)
cec2020,20,5,gsk,per_function_runlevel,30,30,0,1.770000e+02,2.621223e-01,2.579463e-01,2.621223e-01,1.000000e+00,10,exact_signflip_enumeration_2^n,tie,favors_comparator,-2.387097e-01,decidable,pre-registered confirmatory (addendum Sections 3-4)
cec2020,20,6,gsk,per_function_runlevel,30,30,0,1.880000e+02,3.707406e-01,3.654617e-01,3.707406e-01,1.000000e+00,10,exact_signflip_enumeration_2^n,tie,favors_comparator,-1.913978e-01,decidable,pre-registered confirmatory (addendum Sections 3-4)
cec2020,20,7,gsk,per_function_runlevel,30,30,0,1.570000e+02,1.241345e-01,1.229217e-01,1.241345e-01,6.206723e-01,10,exact_signflip_enumeration_2^n,tie,favors_comparator,-3.247312e-01,decidable,pre-registered confirmatory (addendum Sections 3-4)
cec2020,20,8,gsk,per_function_runlevel,30,18,12,0.000000e+00,7.629395e-06,2.141526e-04,7.629395e-06,6.866455e-05,10,exact_signflip_enumeration_2^n,win,favors_dt-gsk,1.000000e+00,decidable,pre-registered confirmatory (addendum Sections 3-4)
cec2020,20,9,gsk,per_function_runlevel,30,29,1,1.340000e+02,7.236024e-02,7.269731e-02,7.236024e-02,4.341615e-01,10,exact_signflip_enumeration_2^n,tie,favors_comparator,-3.839080e-01,decidable,pre-registered confirmatory (addendum Sections 3-4)
cec2020,20,10,gsk,per_function_runlevel,30,30,0,1.020000e+02,6.194992e-03,7.497927e-03,6.194992e-03,4.336494e-02,10,exact_signflip_enumeration_2^n,win,favors_dt-gsk,5.612903e-01,decidable,pre-registered confirmatory (addendum Sections 3-4)
cec2020,20,1,agsk,per_function_runlevel,30,0,30,0.000000e+00,1.000000e+00,1.000000e+00,1.000000e+00,1.000000e+00,10,exact_signflip_enumeration_2^n,tie,none,n/a,not decidable at alpha=0.05 (exact two-sided floor 2/2^5 = 0.0625),pre-registered confirmatory (addendum Sections 3-4)
