analysis_id,rq_id,suite,dimension,function_set,algorithms,metric,unit_of_analysis,n_observations,pairing_key,test,test_statistic,p_raw,p_adjusted,correction,effect_size,effect_direction,ci_low,ci_high,ci_level,resampling_unit,n_resamples,seed,source_paths,source_checksums,evidence_release_id,script,command,commit_sha,interpretation,status
AN-EFF-2020-D10,RQ6,cec2020,10,F1,dt-gsk vs gsk,bca_ci_paired_mean_diff,run,30,"get_cec_seed(20240620,dim,func,run)",none (estimation),n/a,n/a,n/a,n/a,0.000000e+00,none,n/a,n/a,n/a,paired runs within function,n/a,n/a,cec2020/dt-gsk/per_run.csv;cec2020/gsk/per_run.csv,e94fa2f6991ee5a3b10320c74286a8a0cf40082e793adfe42e2199458a79133f;c52df3ab7426df6729eca8892f516b7915af49964e4994d5609c7fc0d603c968,cec2020-rel-2026-07-29-5867abe1e,papers/scripts/phase6b_run_analysis_newsuites.py,python papers/scripts/phase6b_run_analysis_newsuites.py --suite cec2020,5867abe1e32c22f69ed0751a2b710a7096be7596,no CI (degenerate cell): all paired differences identical;pre-registered confirmatory (addendum Sections 3-4),disclosed-degenerate
AN-EFF-2020-D10,RQ6,cec2020,10,F1,dt-gsk vs gsk,vargha_delaney_a12,run,30,"get_cec_seed(20240620,dim,func,run)",none (estimation),n/a,n/a,n/a,n/a,5.000000e-01,none,n/a,n/a,n/a,n/a,n/a,n/a,cec2020/dt-gsk/per_run.csv;cec2020/gsk/per_run.csv,e94fa2f6991ee5a3b10320c74286a8a0cf40082e793adfe42e2199458a79133f;c52df3ab7426df6729eca8892f516b7915af49964e4994d5609c7fc0d603c968,cec2020-rel-2026-07-29-5867abe1e,papers/scripts/phase6b_run_analysis_newsuites.py,python papers/scripts/phase6b_run_analysis_newsuites.py --suite cec2020,5867abe1e32c22f69ed0751a2b710a7096be7596,cliffs_delta=0.000000e+00;magnitude=negligible;A12>0.5 favors dt-gsk;ties |d|<1e-8 half;pre-registered confirmatory (addendum Sections 3-4),ok
AN-EFF-2020-D10,RQ6,cec2020,10,F1,dt-gsk vs agsk,bca_ci_paired_mean_diff,run,30,"get_cec_seed(20240620,dim,func,run)",none (estimation),n/a,n/a,n/a,n/a,0.000000e+00,none,n/a,n/a,n/a,paired runs within function,n/a,n/a,cec2020/dt-gsk/per_run.csv;cec2020/agsk/per_run.csv,e94fa2f6991ee5a3b10320c74286a8a0cf40082e793adfe42e2199458a79133f;16e27a5da98f2b0c17e9bade6951d80a2a96757abbb7eb53eb18c5c33ceb36ec,cec2020-rel-2026-07-29-5867abe1e,papers/scripts/phase6b_run_analysis_newsuites.py,python papers/scripts/phase6b_run_analysis_newsuites.py --suite cec2020,5867abe1e32c22f69ed0751a2b710a7096be7596,no CI (degenerate cell): all paired differences identical;pre-registered confirmatory (addendum Sections 3-4),disclosed-degenerate
AN-EFF-2020-D10,RQ6,cec2020,10,F1,dt-gsk vs agsk,vargha_delaney_a12,run,30,"get_cec_seed(20240620,dim,func,run)",none (estimation),n/a,n/a,n/a,n/a,5.000000e-01,none,n/a,n/a,n/a,n/a,n/a,n/a,cec2020/dt-gsk/per_run.csv;cec2020/agsk/per_run.csv,e94fa2f6991ee5a3b10320c74286a8a0cf40082e793adfe42e2199458a79133f;16e27a5da98f2b0c17e9bade6951d80a2a96757abbb7eb53eb18c5c33ceb36ec,cec2020-rel-2026-07-29-5867abe1e,papers/scripts/phase6b_run_analysis_newsuites.py,python papers/scripts/phase6b_run_analysis_newsuites.py --suite cec2020,5867abe1e32c22f69ed0751a2b710a7096be7596,cliffs_delta=0.000000e+00;magnitude=negligible;A12>0.5 favors dt-gsk;ties |d|<1e-8 half;pre-registered confirmatory (addendum Sections 3-4),ok
AN-EFF-2020-D10,RQ6,cec2020,10,F1,dt-gsk vs apgsk,bca_ci_paired_mean_diff,run,30,"get_cec_seed(20240620,dim,func,run)",none (estimation),n/a,n/a,n/a,n/a,0.000000e+00,none,n/a,n/a,n/a,paired runs within function,n/a,n/a,cec2020/dt-gsk/per_run.csv;cec2020/apgsk/per_run.csv,e94fa2f6991ee5a3b10320c74286a8a0cf40082e793adfe42e2199458a79133f;f633e9062f272155c291f9aa24a096b2e4fd009c50e0ad2fe492370827b0d05d,cec2020-rel-2026-07-29-5867abe1e,papers/scripts/phase6b_run_analysis_newsuites.py,python papers/scripts/phase6b_run_analysis_newsuites.py --suite cec2020,5867abe1e32c22f69ed0751a2b710a7096be7596,no CI (degenerate cell): all paired differences identical;pre-registered confirmatory (addendum Sections 3-4),disclosed-degenerate
AN-EFF-2020-D10,RQ6,cec2020,10,F1,dt-gsk vs apgsk,vargha_delaney_a12,run,30,"get_cec_seed(20240620,dim,func,run)",none (estimation),n/a,n/a,n/a,n/a,5.000000e-01,none,n/a,n/a,n/a,n/a,n/a,n/a,cec2020/dt-gsk/per_run.csv;cec2020/apgsk/per_run.csv,e94fa2f6991ee5a3b10320c74286a8a0cf40082e793adfe42e2199458a79133f;f633e9062f272155c291f9aa24a096b2e4fd009c50e0ad2fe492370827b0d05d,cec2020-rel-2026-07-29-5867abe1e,papers/scripts/phase6b_run_analysis_newsuites.py,python papers/scripts/phase6b_run_analysis_newsuites.py --suite cec2020,5867abe1e32c22f69ed0751a2b710a7096be7596,cliffs_delta=0.000000e+00;magnitude=negligible;A12>0.5 favors dt-gsk;ties |d|<1e-8 half;pre-registered confirmatory (addendum Sections 3-4),ok
AN-EFF-2020-D10,RQ6,cec2020,10,F1,dt-gsk vs fdb-agsk,bca_ci_paired_mean_diff,run,30,"get_cec_seed(20240620,dim,func,run)",none (estimation),n/a,n/a,n/a,n/a,0.000000e+00,none,n/a,n/a,n/a,paired runs within function,n/a,n/a,cec2020/dt-gsk/per_run.csv;cec2020/fdb-agsk/per_run.csv,e94fa2f6991ee5a3b10320c74286a8a0cf40082e793adfe42e2199458a79133f;6ddecef15fe1425dba837abe0536f311994bd17e8e85e26fc0db5fd9a8db2bc2,cec2020-rel-2026-07-29-5867abe1e,papers/scripts/phase6b_run_analysis_newsuites.py,python papers/scripts/phase6b_run_analysis_newsuites.py --suite cec2020,5867abe1e32c22f69ed0751a2b710a7096be7596,no CI (degenerate cell): all paired differences identical;pre-registered confirmatory (addendum Sections 3-4),disclosed-degenerate
AN-EFF-2020-D10,RQ6,cec2020,10,F1,dt-gsk vs fdb-agsk,vargha_delaney_a12,run,30,"get_cec_seed(20240620,dim,func,run)",none (estimation),n/a,n/a,n/a,n/a,5.000000e-01,none,n/a,n/a,n/a,n/a,n/a,n/a,cec2020/dt-gsk/per_run.csv;cec2020/fdb-agsk/per_run.csv,e94fa2f6991ee5a3b10320c74286a8a0cf40082e793adfe42e2199458a79133f;6ddecef15fe1425dba837abe0536f311994bd17e8e85e26fc0db5fd9a8db2bc2,cec2020-rel-2026-07-29-5867abe1e,papers/scripts/phase6b_run_analysis_newsuites.py,python papers/scripts/phase6b_run_analysis_newsuites.py --suite cec2020,5867abe1e32c22f69ed0751a2b710a7096be7596,cliffs_delta=0.000000e+00;magnitude=negligible;A12>0.5 favors dt-gsk;ties |d|<1e-8 half;pre-registered confirmatory (addendum Sections 3-4),ok
AN-EFF-2020-D10,RQ6,cec2020,10,F1,dt-gsk vs atmals-gsk,bca_ci_paired_mean_diff,run,30,"get_cec_seed(20240620,dim,func,run)",none (estimation),n/a,n/a,n/a,n/a,0.000000e+00,none,n/a,n/a,n/a,paired runs within function,n/a,n/a,cec2020/dt-gsk/per_run.csv;cec2020/atmals-gsk/per_run.csv,e94fa2f6991ee5a3b10320c74286a8a0cf40082e793adfe42e2199458a79133f;7eb6e4f7e6c0f1a36aa64e6843db8a59356fb03a07124ee6850ee0ed85acc139,cec2020-rel-2026-07-29-5867abe1e,papers/scripts/phase6b_run_analysis_newsuites.py,python papers/scripts/phase6b_run_analysis_newsuites.py --suite cec2020,5867abe1e32c22f69ed0751a2b710a7096be7596,no CI (degenerate cell): all paired differences identical;pre-registered confirmatory (addendum Sections 3-4),disclosed-degenerate
AN-EFF-2020-D10,RQ6,cec2020,10,F1,dt-gsk vs atmals-gsk,vargha_delaney_a12,run,30,"get_cec_seed(20240620,dim,func,run)",none (estimation),n/a,n/a,n/a,n/a,5.000000e-01,none,n/a,n/a,n/a,n/a,n/a,n/a,cec2020/dt-gsk/per_run.csv;cec2020/atmals-gsk/per_run.csv,e94fa2f6991ee5a3b10320c74286a8a0cf40082e793adfe42e2199458a79133f;7eb6e4f7e6c0f1a36aa64e6843db8a59356fb03a07124ee6850ee0ed85acc139,cec2020-rel-2026-07-29-5867abe1e,papers/scripts/phase6b_run_analysis_newsuites.py,python papers/scripts/phase6b_run_analysis_newsuites.py --suite cec2020,5867abe1e32c22f69ed0751a2b710a7096be7596,cliffs_delta=0.000000e+00;magnitude=negligible;A12>0.5 favors dt-gsk;ties |d|<1e-8 half;pre-registered confirmatory (addendum Sections 3-4),ok
AN-EFF-2020-D10,RQ6,cec2020,10,F1,dt-gsk vs egsk,bca_ci_paired_mean_diff,run,30,"get_cec_seed(20240620,dim,func,run)",none (estimation),n/a,n/a,n/a,n/a,0.000000e+00,none,n/a,n/a,n/a,paired runs within function,n/a,n/a,cec2020/dt-gsk/per_run.csv;cec2020/egsk/per_run.csv,e94fa2f6991ee5a3b10320c74286a8a0cf40082e793adfe42e2199458a79133f;0f1f57140727592e5fc7e89e5f4bb374dbb0e766502fd34166ba709b42cdf779,cec2020-rel-2026-07-29-5867abe1e,papers/scripts/phase6b_run_analysis_newsuites.py,python papers/scripts/phase6b_run_analysis_newsuites.py --suite cec2020,5867abe1e32c22f69ed0751a2b710a7096be7596,no CI (degenerate cell): all paired differences identical;pre-registered confirmatory (addendum Sections 3-4),disclosed-degenerate
