suite,dimension,function,comparator,n_runs,mean_diff,ci_low,ci_high,B,seed,availability
cec2013lsgo,1000,1,gsk,25,2.401730e+06,-1.795385e+06,4.232936e+06,10000,"SeedSequence([20240620, 2113, 1000, 1, 0])",ok
cec2013lsgo,1000,1,agsk,25,3.640024e+06,2.368875e+06,4.673463e+06,10000,"SeedSequence([20240620, 2113, 1000, 1, 1])",ok
cec2013lsgo,1000,1,apgsk,25,-8.946607e+07,-1.411584e+08,-5.956613e+07,10000,"SeedSequence([20240620, 2113, 1000, 1, 2])",ok
cec2013lsgo,1000,1,fdb-agsk,25,-5.296341e+07,-9.345980e+07,-3.383676e+07,10000,"SeedSequence([20240620, 2113, 1000, 1, 3])",ok
cec2013lsgo,1000,1,atmals-gsk,25,6.617381e+06,6.039127e+06,7.289702e+06,10000,"SeedSequence([20240620, 2113, 1000, 1, 4])",ok
cec2013lsgo,1000,1,egsk,25,-3.190560e+08,-5.154702e+08,-1.877849e+08,10000,"SeedSequence([20240620, 2113, 1000, 1, 5])",ok
cec2013lsgo,1000,2,gsk,25,-1.192033e+04,-1.225303e+04,-1.159605e+04,10000,"SeedSequence([20240620, 2113, 1000, 2, 0])",ok
cec2013lsgo,1000,2,agsk,25,-3.496191e+03,-3.649590e+03,-3.318560e+03,10000,"SeedSequence([20240620, 2113, 1000, 2, 1])",ok
cec2013lsgo,1000,2,apgsk,25,-6.219567e+03,-6.397349e+03,-6.016703e+03,10000,"SeedSequence([20240620, 2113, 1000, 2, 2])",ok
cec2013lsgo,1000,2,fdb-agsk,25,1.360026e+03,5.736194e+02,1.792529e+03,10000,"SeedSequence([20240620, 2113, 1000, 2, 3])",ok
cec2013lsgo,1000,2,atmals-gsk,25,9.290730e+03,9.164022e+03,9.401714e+03,10000,"SeedSequence([20240620, 2113, 1000, 2, 4])",ok
cec2013lsgo,1000,2,egsk,25,-1.868026e+04,-1.933558e+04,-1.792401e+04,10000,"SeedSequence([20240620, 2113, 1000, 2, 5])",ok
cec2013lsgo,1000,3,gsk,25,-1.066554e+00,-1.076372e+00,-1.056997e+00,10000,"SeedSequence([20240620, 2113, 1000, 3, 0])",ok
cec2013lsgo,1000,3,agsk,25,-8.164478e-01,-8.265283e-01,-8.057850e-01,10000,"SeedSequence([20240620, 2113, 1000, 3, 1])",ok
cec2013lsgo,1000,3,apgsk,25,-7.967059e-01,-8.047124e-01,-7.889546e-01,10000,"SeedSequence([20240620, 2113, 1000, 3, 2])",ok
cec2013lsgo,1000,3,fdb-agsk,25,-4.778102e-01,-5.760543e-01,-3.616748e-01,10000,"SeedSequence([20240620, 2113, 1000, 3, 3])",ok
cec2013lsgo,1000,3,atmals-gsk,25,5.139902e-01,5.052624e-01,5.228654e-01,10000,"SeedSequence([20240620, 2113, 1000, 3, 4])",ok
cec2013lsgo,1000,3,egsk,25,-6.429673e-02,-1.139167e-01,-1.830901e-02,10000,"SeedSequence([20240620, 2113, 1000, 3, 5])",ok
cec2013lsgo,1000,4,gsk,25,-3.202126e+10,-3.903523e+10,-2.723364e+10,10000,"SeedSequence([20240620, 2113, 1000, 4, 0])",ok
cec2013lsgo,1000,4,agsk,25,-5.095718e+09,-6.028471e+09,-4.382462e+09,10000,"SeedSequence([20240620, 2113, 1000, 4, 1])",ok
cec2013lsgo,1000,4,apgsk,25,-1.570631e+10,-1.822272e+10,-1.427861e+10,10000,"SeedSequence([20240620, 2113, 1000, 4, 2])",ok
cec2013lsgo,1000,4,fdb-agsk,25,-1.182645e+10,-1.355769e+10,-1.029903e+10,10000,"SeedSequence([20240620, 2113, 1000, 4, 3])",ok
cec2013lsgo,1000,4,atmals-gsk,25,-3.841856e+10,-4.580877e+10,-3.206320e+10,10000,"SeedSequence([20240620, 2113, 1000, 4, 4])",ok
cec2013lsgo,1000,4,egsk,25,-9.258133e+10,-1.106996e+11,-7.991273e+10,10000,"SeedSequence([20240620, 2113, 1000, 4, 5])",ok
cec2013lsgo,1000,5,gsk,25,8.988925e+05,7.405589e+05,1.071401e+06,10000,"SeedSequence([20240620, 2113, 1000, 5, 0])",ok
cec2013lsgo,1000,5,agsk,25,-4.110825e+06,-4.355328e+06,-3.886482e+06,10000,"SeedSequence([20240620, 2113, 1000, 5, 1])",ok
cec2013lsgo,1000,5,apgsk,25,-8.008162e+06,-8.269231e+06,-7.791140e+06,10000,"SeedSequence([20240620, 2113, 1000, 5, 2])",ok
cec2013lsgo,1000,5,fdb-agsk,25,-3.823105e+06,-4.150730e+06,-3.329855e+06,10000,"SeedSequence([20240620, 2113, 1000, 5, 3])",ok
cec2013lsgo,1000,5,atmals-gsk,25,-8.940474e+05,-1.211024e+06,-6.012566e+05,10000,"SeedSequence([20240620, 2113, 1000, 5, 4])",ok
cec2013lsgo,1000,5,egsk,25,5.735840e+05,3.761817e+05,7.664739e+05,10000,"SeedSequence([20240620, 2113, 1000, 5, 5])",ok
cec2013lsgo,1000,6,gsk,25,-6.281869e+03,-8.085412e+03,-4.614411e+03,10000,"SeedSequence([20240620, 2113, 1000, 6, 0])",ok
cec2013lsgo,1000,6,agsk,25,-5.816799e+03,-7.469197e+03,-4.355474e+03,10000,"SeedSequence([20240620, 2113, 1000, 6, 1])",ok
cec2013lsgo,1000,6,apgsk,25,-5.935968e+03,-7.358979e+03,-4.595957e+03,10000,"SeedSequence([20240620, 2113, 1000, 6, 2])",ok
cec2013lsgo,1000,6,fdb-agsk,25,-6.537911e+03,-8.179128e+03,-5.033073e+03,10000,"SeedSequence([20240620, 2113, 1000, 6, 3])",ok
cec2013lsgo,1000,6,atmals-gsk,25,1.824982e+03,-1.447603e+02,3.696771e+03,10000,"SeedSequence([20240620, 2113, 1000, 6, 4])",ok
cec2013lsgo,1000,6,egsk,25,-4.146923e+03,-5.972738e+03,-2.618305e+03,10000,"SeedSequence([20240620, 2113, 1000, 6, 5])",ok
cec2013lsgo,1000,7,gsk,25,1.456416e+08,1.290749e+08,1.681221e+08,10000,"SeedSequence([20240620, 2113, 1000, 7, 0])",ok
cec2013lsgo,1000,7,agsk,25,1.614160e+08,1.466337e+08,1.846269e+08,10000,"SeedSequence([20240620, 2113, 1000, 7, 1])",ok
cec2013lsgo,1000,7,apgsk,25,1.340786e+08,1.204688e+08,1.556443e+08,10000,"SeedSequence([20240620, 2113, 1000, 7, 2])",ok
cec2013lsgo,1000,7,fdb-agsk,25,1.476129e+08,1.335653e+08,1.698211e+08,10000,"SeedSequence([20240620, 2113, 1000, 7, 3])",ok
cec2013lsgo,1000,7,atmals-gsk,25,1.261537e+08,1.090319e+08,1.507178e+08,10000,"SeedSequence([20240620, 2113, 1000, 7, 4])",ok
cec2013lsgo,1000,7,egsk,25,1.239967e+08,1.052693e+08,1.463445e+08,10000,"SeedSequence([20240620, 2113, 1000, 7, 5])",ok
cec2013lsgo,1000,8,gsk,25,-9.658862e+12,-1.367093e+13,-6.629285e+12,10000,"SeedSequence([20240620, 2113, 1000, 8, 0])",ok
