suite,dimension,function,algorithm,best,median,mean,worst,sd,n_runs
cec2013lsgo,1000,1,gsk,6.696168e+05,1.742637e+06,4.237260e+06,3.456877e+07,7.224602e+06,25
cec2013lsgo,1000,1,agsk,5.396204e+05,2.251906e+06,2.998965e+06,7.579654e+06,2.229319e+06,25
cec2013lsgo,1000,1,apgsk,1.524524e+07,5.326802e+07,9.610506e+07,3.896730e+08,1.012800e+08,25
cec2013lsgo,1000,1,fdb-agsk,1.057917e+07,3.616716e+07,5.960240e+07,3.143841e+08,6.881207e+07,25
cec2013lsgo,1000,1,atmals-gsk,1.011597e+04,2.144186e+04,2.160850e+04,4.302862e+04,8.183228e+03,25
cec2013lsgo,1000,1,egsk,2.000705e+07,9.234249e+07,3.256950e+08,1.402759e+09,4.117440e+08,25
cec2013lsgo,1000,1,dt-gsk,4.385346e+06,6.258450e+06,6.638990e+06,9.764178e+06,1.628788e+06,25
cec2013lsgo,1000,2,gsk,2.005206e+04,2.151863e+04,2.162231e+04,2.314523e+04,7.295534e+02,25
cec2013lsgo,1000,2,agsk,1.249079e+04,1.314200e+04,1.319817e+04,1.378880e+04,3.387902e+02,25
cec2013lsgo,1000,2,apgsk,1.477135e+04,1.591524e+04,1.592155e+04,1.681823e+04,5.082706e+02,25
cec2013lsgo,1000,2,fdb-agsk,6.459385e+03,7.945225e+03,8.341957e+03,1.315601e+04,1.378398e+03,25
cec2013lsgo,1000,2,atmals-gsk,3.480427e+02,4.076902e+02,4.112537e+02,4.613985e+02,3.086234e+01,25
cec2013lsgo,1000,2,egsk,2.450507e+04,2.870630e+04,2.838224e+04,3.078072e+04,1.803672e+03,25
cec2013lsgo,1000,2,dt-gsk,9.075151e+03,9.793468e+03,9.701984e+03,1.014009e+04,3.111931e+02,25
cec2013lsgo,1000,3,gsk,2.156911e+01,2.159045e+01,2.158905e+01,2.159873e+01,8.061923e-03,25
cec2013lsgo,1000,3,agsk,2.132183e+01,2.133846e+01,2.133895e+01,2.135211e+01,7.821056e-03,25
cec2013lsgo,1000,3,apgsk,2.130829e+01,2.131992e+01,2.131921e+01,2.133165e+01,6.115012e-03,25
cec2013lsgo,1000,3,fdb-agsk,2.040526e+01,2.108757e+01,2.100031e+01,2.130974e+01,2.811832e-01,25
cec2013lsgo,1000,3,atmals-gsk,2.000719e+01,2.000840e+01,2.000851e+01,2.001138e+01,8.357899e-04,25
cec2013lsgo,1000,3,egsk,2.034589e+01,2.058640e+01,2.058680e+01,2.082887e+01,1.100003e-01,25
cec2013lsgo,1000,3,dt-gsk,2.047963e+01,2.052404e+01,2.052250e+01,2.055852e+01,2.288862e-02,25
cec2013lsgo,1000,4,gsk,1.295072e+10,2.882937e+10,3.342867e+10,7.767341e+10,1.507571e+10,25
cec2013lsgo,1000,4,agsk,3.435408e+09,5.940161e+09,6.503128e+09,1.164502e+10,2.139415e+09,25
cec2013lsgo,1000,4,apgsk,1.014298e+10,1.658855e+10,1.711372e+10,3.385522e+10,4.827875e+09,25
cec2013lsgo,1000,4,fdb-agsk,7.478415e+09,1.165585e+10,1.323386e+10,2.105499e+10,4.176294e+09,25
cec2013lsgo,1000,4,atmals-gsk,1.424128e+10,3.683493e+10,3.982597e+10,8.688469e+10,1.791142e+10,25
cec2013lsgo,1000,4,egsk,5.278887e+10,8.278314e+10,9.398874e+10,1.901792e+11,3.920097e+10,25
cec2013lsgo,1000,4,dt-gsk,1.047414e+09,1.360402e+09,1.407410e+09,1.905154e+09,2.372821e+08,25
cec2013lsgo,1000,5,gsk,1.323616e+06,1.822817e+06,1.815413e+06,2.242203e+06,2.658590e+05,25
cec2013lsgo,1000,5,agsk,5.808083e+06,6.787627e+06,6.825130e+06,7.817992e+06,5.376056e+05,25
cec2013lsgo,1000,5,apgsk,9.890237e+06,1.065782e+07,1.072247e+07,1.187397e+07,5.472265e+05,25
cec2013lsgo,1000,5,fdb-agsk,3.336541e+06,6.749071e+06,6.537411e+06,8.570726e+06,1.038756e+06,25
cec2013lsgo,1000,5,atmals-gsk,2.528068e+06,3.620131e+06,3.608353e+06,5.293982e+06,6.925008e+05,25
cec2013lsgo,1000,5,egsk,1.472703e+06,2.231408e+06,2.140722e+06,3.027957e+06,4.131992e+05,25
cec2013lsgo,1000,5,dt-gsk,2.289187e+06,2.724562e+06,2.714306e+06,3.313901e+06,2.617406e+05,25
cec2013lsgo,1000,6,gsk,1.056105e+06,1.060364e+06,1.060492e+06,1.062690e+06,1.348708e+03,25
cec2013lsgo,1000,6,agsk,1.056748e+06,1.060193e+06,1.060027e+06,1.061681e+06,1.115637e+03,25
cec2013lsgo,1000,6,apgsk,1.056173e+06,1.060312e+06,1.060146e+06,1.062223e+06,1.338423e+03,25
cec2013lsgo,1000,6,fdb-agsk,1.058057e+06,1.061285e+06,1.060748e+06,1.062197e+06,1.136497e+03,25
cec2013lsgo,1000,6,atmals-gsk,1.046114e+06,1.053355e+06,1.052385e+06,1.056809e+06,3.107110e+03,25
cec2013lsgo,1000,6,egsk,1.053230e+06,1.059148e+06,1.058357e+06,1.061219e+06,1.925903e+03,25
cec2013lsgo,1000,6,dt-gsk,1.044439e+06,1.055384e+06,1.054210e+06,1.060663e+06,3.908368e+03,25
cec2013lsgo,1000,7,gsk,9.421243e+06,2.811770e+07,3.046339e+07,9.860287e+07,1.849589e+07,25
cec2013lsgo,1000,7,agsk,6.701679e+06,1.298078e+07,1.468893e+07,2.774039e+07,5.578002e+06,25
cec2013lsgo,1000,7,apgsk,3.065846e+07,4.085545e+07,4.202633e+07,5.874845e+07,8.218136e+06,25
cec2013lsgo,1000,7,fdb-agsk,1.479002e+07,2.588147e+07,2.849206e+07,5.009139e+07,1.052072e+07,25
