suite,dimension,function,comparator,n_runs,a12,cliffs_delta,magnitude,availability
cec2013lsgo,1000,1,gsk,25,1.456000e-01,-7.088000e-01,large,ok
cec2013lsgo,1000,1,agsk,25,1.248000e-01,-7.504000e-01,large,ok
cec2013lsgo,1000,1,apgsk,25,1.000000e+00,1.000000e+00,large,ok
cec2013lsgo,1000,1,fdb-agsk,25,1.000000e+00,1.000000e+00,large,ok
cec2013lsgo,1000,1,atmals-gsk,25,0.000000e+00,-1.000000e+00,large,ok
cec2013lsgo,1000,1,egsk,25,1.000000e+00,1.000000e+00,large,ok
cec2013lsgo,1000,2,gsk,25,1.000000e+00,1.000000e+00,large,ok
cec2013lsgo,1000,2,agsk,25,1.000000e+00,1.000000e+00,large,ok
cec2013lsgo,1000,2,apgsk,25,1.000000e+00,1.000000e+00,large,ok
cec2013lsgo,1000,2,fdb-agsk,25,1.328000e-01,-7.344000e-01,large,ok
cec2013lsgo,1000,2,atmals-gsk,25,0.000000e+00,-1.000000e+00,large,ok
cec2013lsgo,1000,2,egsk,25,1.000000e+00,1.000000e+00,large,ok
cec2013lsgo,1000,3,gsk,25,1.000000e+00,1.000000e+00,large,ok
cec2013lsgo,1000,3,agsk,25,1.000000e+00,1.000000e+00,large,ok
cec2013lsgo,1000,3,apgsk,25,1.000000e+00,1.000000e+00,large,ok
cec2013lsgo,1000,3,fdb-agsk,25,8.992000e-01,7.984000e-01,large,ok
cec2013lsgo,1000,3,atmals-gsk,25,0.000000e+00,-1.000000e+00,large,ok
cec2013lsgo,1000,3,egsk,25,7.184000e-01,4.368000e-01,large,ok
cec2013lsgo,1000,4,gsk,25,1.000000e+00,1.000000e+00,large,ok
cec2013lsgo,1000,4,agsk,25,1.000000e+00,1.000000e+00,large,ok
cec2013lsgo,1000,4,apgsk,25,1.000000e+00,1.000000e+00,large,ok
cec2013lsgo,1000,4,fdb-agsk,25,1.000000e+00,1.000000e+00,large,ok
cec2013lsgo,1000,4,atmals-gsk,25,1.000000e+00,1.000000e+00,large,ok
cec2013lsgo,1000,4,egsk,25,1.000000e+00,1.000000e+00,large,ok
cec2013lsgo,1000,5,gsk,25,0.000000e+00,-1.000000e+00,large,ok
cec2013lsgo,1000,5,agsk,25,1.000000e+00,1.000000e+00,large,ok
cec2013lsgo,1000,5,apgsk,25,1.000000e+00,1.000000e+00,large,ok
