suite,dimension,function,comparator,test_level,n_pairs,n_eff,n_zero_discarded,statistic,p_exact,p_normal_approx,p_decision,p_holm,holm_m,method_decision,outcome,direction,rank_biserial,decidability,evidential_tier
cec2013lsgo,1000,1,gsk,per_function_runlevel,25,25,0,6.400000e+01,6.725550e-03,8.367388e-03,6.725550e-03,2.017665e-02,15,exact_signflip_enumeration_2^n,loss,favors_comparator,-6.061538e-01,decidable,"CONFIRMATORY-WITH-DISCLOSURE (addendum Sections 3-4, never computed before signing)"
cec2013lsgo,1000,2,gsk,per_function_runlevel,25,25,0,0.000000e+00,5.960464e-08,1.308071e-05,5.960464e-08,8.940697e-07,15,exact_signflip_enumeration_2^n,win,favors_dt-gsk,1.000000e+00,decidable,"CONFIRMATORY-WITH-DISCLOSURE (addendum Sections 3-4, never computed before signing)"
cec2013lsgo,1000,3,gsk,per_function_runlevel,25,25,0,0.000000e+00,5.960464e-08,1.308071e-05,5.960464e-08,8.940697e-07,15,exact_signflip_enumeration_2^n,win,favors_dt-gsk,1.000000e+00,decidable,"CONFIRMATORY-WITH-DISCLOSURE (addendum Sections 3-4, never computed before signing)"
cec2013lsgo,1000,4,gsk,per_function_runlevel,25,25,0,0.000000e+00,5.960464e-08,1.308071e-05,5.960464e-08,8.940697e-07,15,exact_signflip_enumeration_2^n,win,favors_dt-gsk,1.000000e+00,decidable,"CONFIRMATORY-WITH-DISCLOSURE (addendum Sections 3-4, never computed before signing)"
cec2013lsgo,1000,5,gsk,per_function_runlevel,25,25,0,0.000000e+00,5.960464e-08,1.308071e-05,5.960464e-08,8.940697e-07,15,exact_signflip_enumeration_2^n,loss,favors_comparator,-1.000000e+00,decidable,"CONFIRMATORY-WITH-DISCLOSURE (addendum Sections 3-4, never computed before signing)"
cec2013lsgo,1000,6,gsk,per_function_runlevel,25,25,0,5.000000e+00,5.960464e-07,2.397490e-05,5.960464e-07,2.384186e-06,15,exact_signflip_enumeration_2^n,win,favors_dt-gsk,9.692308e-01,decidable,"CONFIRMATORY-WITH-DISCLOSURE (addendum Sections 3-4, never computed before signing)"
cec2013lsgo,1000,7,gsk,per_function_runlevel,25,25,0,0.000000e+00,5.960464e-08,1.308071e-05,5.960464e-08,8.940697e-07,15,exact_signflip_enumeration_2^n,loss,favors_comparator,-1.000000e+00,decidable,"CONFIRMATORY-WITH-DISCLOSURE (addendum Sections 3-4, never computed before signing)"
cec2013lsgo,1000,8,gsk,per_function_runlevel,25,25,0,0.000000e+00,5.960464e-08,1.308071e-05,5.960464e-08,8.940697e-07,15,exact_signflip_enumeration_2^n,win,favors_dt-gsk,1.000000e+00,decidable,"CONFIRMATORY-WITH-DISCLOSURE (addendum Sections 3-4, never computed before signing)"
cec2013lsgo,1000,9,gsk,per_function_runlevel,25,25,0,0.000000e+00,5.960464e-08,1.308071e-05,5.960464e-08,8.940697e-07,15,exact_signflip_enumeration_2^n,loss,favors_comparator,-1.000000e+00,decidable,"CONFIRMATORY-WITH-DISCLOSURE (addendum Sections 3-4, never computed before signing)"
cec2013lsgo,1000,10,gsk,per_function_runlevel,25,25,0,0.000000e+00,5.960464e-08,1.308071e-05,5.960464e-08,8.940697e-07,15,exact_signflip_enumeration_2^n,win,favors_dt-gsk,1.000000e+00,decidable,"CONFIRMATORY-WITH-DISCLOSURE (addendum Sections 3-4, never computed before signing)"
cec2013lsgo,1000,11,gsk,per_function_runlevel,25,25,0,1.580000e+02,9.158033e-01,9.142910e-01,9.158033e-01,9.158033e-01,15,exact_signflip_enumeration_2^n,tie,favors_comparator,-2.769231e-02,decidable,"CONFIRMATORY-WITH-DISCLOSURE (addendum Sections 3-4, never computed before signing)"
cec2013lsgo,1000,12,gsk,per_function_runlevel,25,25,0,0.000000e+00,5.960464e-08,1.308071e-05,5.960464e-08,8.940697e-07,15,exact_signflip_enumeration_2^n,win,favors_dt-gsk,1.000000e+00,decidable,"CONFIRMATORY-WITH-DISCLOSURE (addendum Sections 3-4, never computed before signing)"
cec2013lsgo,905,13,gsk,per_function_runlevel,25,25,0,7.900000e+01,2.364993e-02,2.553082e-02,2.364993e-02,4.729986e-02,15,exact_signflip_enumeration_2^n,loss,favors_comparator,-5.138462e-01,decidable,"CONFIRMATORY-WITH-DISCLOSURE (addendum Sections 3-4, never computed before signing)"
cec2013lsgo,905,14,gsk,per_function_runlevel,25,25,0,0.000000e+00,5.960464e-08,1.308071e-05,5.960464e-08,8.940697e-07,15,exact_signflip_enumeration_2^n,win,favors_dt-gsk,1.000000e+00,decidable,"CONFIRMATORY-WITH-DISCLOSURE (addendum Sections 3-4, never computed before signing)"
cec2013lsgo,1000,15,gsk,per_function_runlevel,25,25,0,0.000000e+00,5.960464e-08,1.308071e-05,5.960464e-08,8.940697e-07,15,exact_signflip_enumeration_2^n,loss,favors_comparator,-1.000000e+00,decidable,"CONFIRMATORY-WITH-DISCLOSURE (addendum Sections 3-4, never computed before signing)"
cec2013lsgo,1000,1,agsk,per_function_runlevel,25,25,0,1.600000e+01,1.007318e-05,8.554535e-05,1.007318e-05,3.021955e-05,15,exact_signflip_enumeration_2^n,loss,favors_comparator,-9.015385e-01,decidable,"CONFIRMATORY-WITH-DISCLOSURE (addendum Sections 3-4, never computed before signing)"
cec2013lsgo,1000,2,agsk,per_function_runlevel,25,25,0,0.000000e+00,5.960464e-08,1.308071e-05,5.960464e-08,8.940697e-07,15,exact_signflip_enumeration_2^n,win,favors_dt-gsk,1.000000e+00,decidable,"CONFIRMATORY-WITH-DISCLOSURE (addendum Sections 3-4, never computed before signing)"
cec2013lsgo,1000,3,agsk,per_function_runlevel,25,25,0,0.000000e+00,5.960464e-08,1.308071e-05,5.960464e-08,8.940697e-07,15,exact_signflip_enumeration_2^n,win,favors_dt-gsk,1.000000e+00,decidable,"CONFIRMATORY-WITH-DISCLOSURE (addendum Sections 3-4, never computed before signing)"
cec2013lsgo,1000,4,agsk,per_function_runlevel,25,25,0,0.000000e+00,5.960464e-08,1.308071e-05,5.960464e-08,8.940697e-07,15,exact_signflip_enumeration_2^n,win,favors_dt-gsk,1.000000e+00,decidable,"CONFIRMATORY-WITH-DISCLOSURE (addendum Sections 3-4, never computed before signing)"
cec2013lsgo,1000,5,agsk,per_function_runlevel,25,25,0,0.000000e+00,5.960464e-08,1.308071e-05,5.960464e-08,8.940697e-07,15,exact_signflip_enumeration_2^n,win,favors_dt-gsk,1.000000e+00,decidable,"CONFIRMATORY-WITH-DISCLOSURE (addendum Sections 3-4, never computed before signing)"
cec2013lsgo,1000,6,agsk,per_function_runlevel,25,25,0,4.000000e+00,4.172325e-07,2.126834e-05,4.172325e-07,2.086163e-06,15,exact_signflip_enumeration_2^n,win,favors_dt-gsk,9.753846e-01,decidable,"CONFIRMATORY-WITH-DISCLOSURE (addendum Sections 3-4, never computed before signing)"
