analysis_id,rq_id,suite,dimension,function_set,algorithms,metric,unit_of_analysis,n_observations,pairing_key,test,test_statistic,p_raw,p_adjusted,correction,effect_size,effect_direction,ci_low,ci_high,ci_level,resampling_unit,n_resamples,seed,source_paths,source_checksums,evidence_release_id,script,command,commit_sha,interpretation,status
AN-EFF-LSGO-NATIVE,RQ6,cec2013lsgo,native,F1,dt-gsk vs gsk,bca_ci_paired_mean_diff,run,25,"get_cec_seed(20240620,dim,func,run)",none (estimation),n/a,n/a,n/a,n/a,2.401730e+06,favors_comparator,-1.795385e+06,4.232936e+06,0.95,paired runs within function,10000,"SeedSequence([20240620, 2113, 1000, 1, 0])",cec2013lsgo/dt-gsk/per_run.csv;cec2013lsgo/gsk/per_run.csv,091340735e0be7d3d0a48d5c5ed92fcb36de405e6e41e0d993ea7605d1fe7500;8cc973e546f82bbe897d86172f0e76daf83c5eeeb26a8809af51208d62d8a723,lsgo-rel-2026-07-28-ff1a046ef,papers/scripts/phase6b_run_analysis_newsuites.py,python papers/scripts/phase6b_run_analysis_newsuites.py --suite lsgo,5867abe1e32c22f69ed0751a2b710a7096be7596,"BCa 95% CI on the paired mean difference (negative favors dt-gsk);CONFIRMATORY-WITH-DISCLOSURE (addendum Sections 3-4, never computed before signing)",ok
AN-EFF-LSGO-NATIVE,RQ6,cec2013lsgo,native,F1,dt-gsk vs gsk,vargha_delaney_a12,run,25,"get_cec_seed(20240620,dim,func,run)",none (estimation),n/a,n/a,n/a,n/a,1.456000e-01,favors_comparator,n/a,n/a,n/a,n/a,n/a,n/a,cec2013lsgo/dt-gsk/per_run.csv;cec2013lsgo/gsk/per_run.csv,091340735e0be7d3d0a48d5c5ed92fcb36de405e6e41e0d993ea7605d1fe7500;8cc973e546f82bbe897d86172f0e76daf83c5eeeb26a8809af51208d62d8a723,lsgo-rel-2026-07-28-ff1a046ef,papers/scripts/phase6b_run_analysis_newsuites.py,python papers/scripts/phase6b_run_analysis_newsuites.py --suite lsgo,5867abe1e32c22f69ed0751a2b710a7096be7596,"cliffs_delta=-7.088000e-01;magnitude=large;A12>0.5 favors dt-gsk;ties |d|<1e-8 half;CONFIRMATORY-WITH-DISCLOSURE (addendum Sections 3-4, never computed before signing)",ok
AN-EFF-LSGO-NATIVE,RQ6,cec2013lsgo,native,F1,dt-gsk vs agsk,bca_ci_paired_mean_diff,run,25,"get_cec_seed(20240620,dim,func,run)",none (estimation),n/a,n/a,n/a,n/a,3.640024e+06,favors_comparator,2.368875e+06,4.673463e+06,0.95,paired runs within function,10000,"SeedSequence([20240620, 2113, 1000, 1, 1])",cec2013lsgo/dt-gsk/per_run.csv;cec2013lsgo/agsk/per_run.csv,091340735e0be7d3d0a48d5c5ed92fcb36de405e6e41e0d993ea7605d1fe7500;bf4ae39eeb619a51d366e067a1620175093d0244c73691dc965de18caf5c1c71,lsgo-rel-2026-07-28-ff1a046ef,papers/scripts/phase6b_run_analysis_newsuites.py,python papers/scripts/phase6b_run_analysis_newsuites.py --suite lsgo,5867abe1e32c22f69ed0751a2b710a7096be7596,"BCa 95% CI on the paired mean difference (negative favors dt-gsk);CONFIRMATORY-WITH-DISCLOSURE (addendum Sections 3-4, never computed before signing)",ok
AN-EFF-LSGO-NATIVE,RQ6,cec2013lsgo,native,F1,dt-gsk vs agsk,vargha_delaney_a12,run,25,"get_cec_seed(20240620,dim,func,run)",none (estimation),n/a,n/a,n/a,n/a,1.248000e-01,favors_comparator,n/a,n/a,n/a,n/a,n/a,n/a,cec2013lsgo/dt-gsk/per_run.csv;cec2013lsgo/agsk/per_run.csv,091340735e0be7d3d0a48d5c5ed92fcb36de405e6e41e0d993ea7605d1fe7500;bf4ae39eeb619a51d366e067a1620175093d0244c73691dc965de18caf5c1c71,lsgo-rel-2026-07-28-ff1a046ef,papers/scripts/phase6b_run_analysis_newsuites.py,python papers/scripts/phase6b_run_analysis_newsuites.py --suite lsgo,5867abe1e32c22f69ed0751a2b710a7096be7596,"cliffs_delta=-7.504000e-01;magnitude=large;A12>0.5 favors dt-gsk;ties |d|<1e-8 half;CONFIRMATORY-WITH-DISCLOSURE (addendum Sections 3-4, never computed before signing)",ok
AN-EFF-LSGO-NATIVE,RQ6,cec2013lsgo,native,F1,dt-gsk vs apgsk,bca_ci_paired_mean_diff,run,25,"get_cec_seed(20240620,dim,func,run)",none (estimation),n/a,n/a,n/a,n/a,-8.946607e+07,favors_dt-gsk,-1.411584e+08,-5.956613e+07,0.95,paired runs within function,10000,"SeedSequence([20240620, 2113, 1000, 1, 2])",cec2013lsgo/dt-gsk/per_run.csv;cec2013lsgo/apgsk/per_run.csv,091340735e0be7d3d0a48d5c5ed92fcb36de405e6e41e0d993ea7605d1fe7500;5b1e6fc6520c265031a79570be0dea6f2cce8bd49b41dd24adddd60ff7c45175,lsgo-rel-2026-07-28-ff1a046ef,papers/scripts/phase6b_run_analysis_newsuites.py,python papers/scripts/phase6b_run_analysis_newsuites.py --suite lsgo,5867abe1e32c22f69ed0751a2b710a7096be7596,"BCa 95% CI on the paired mean difference (negative favors dt-gsk);CONFIRMATORY-WITH-DISCLOSURE (addendum Sections 3-4, never computed before signing)",ok
AN-EFF-LSGO-NATIVE,RQ6,cec2013lsgo,native,F1,dt-gsk vs apgsk,vargha_delaney_a12,run,25,"get_cec_seed(20240620,dim,func,run)",none (estimation),n/a,n/a,n/a,n/a,1.000000e+00,favors_dt-gsk,n/a,n/a,n/a,n/a,n/a,n/a,cec2013lsgo/dt-gsk/per_run.csv;cec2013lsgo/apgsk/per_run.csv,091340735e0be7d3d0a48d5c5ed92fcb36de405e6e41e0d993ea7605d1fe7500;5b1e6fc6520c265031a79570be0dea6f2cce8bd49b41dd24adddd60ff7c45175,lsgo-rel-2026-07-28-ff1a046ef,papers/scripts/phase6b_run_analysis_newsuites.py,python papers/scripts/phase6b_run_analysis_newsuites.py --suite lsgo,5867abe1e32c22f69ed0751a2b710a7096be7596,"cliffs_delta=1.000000e+00;magnitude=large;A12>0.5 favors dt-gsk;ties |d|<1e-8 half;CONFIRMATORY-WITH-DISCLOSURE (addendum Sections 3-4, never computed before signing)",ok
AN-EFF-LSGO-NATIVE,RQ6,cec2013lsgo,native,F1,dt-gsk vs fdb-agsk,bca_ci_paired_mean_diff,run,25,"get_cec_seed(20240620,dim,func,run)",none (estimation),n/a,n/a,n/a,n/a,-5.296341e+07,favors_dt-gsk,-9.345980e+07,-3.383676e+07,0.95,paired runs within function,10000,"SeedSequence([20240620, 2113, 1000, 1, 3])",cec2013lsgo/dt-gsk/per_run.csv;cec2013lsgo/fdb-agsk/per_run.csv,091340735e0be7d3d0a48d5c5ed92fcb36de405e6e41e0d993ea7605d1fe7500;8dcfb4b265ef65b335515e8c840566654018fb963b190298c5d076499e7810df,lsgo-rel-2026-07-28-ff1a046ef,papers/scripts/phase6b_run_analysis_newsuites.py,python papers/scripts/phase6b_run_analysis_newsuites.py --suite lsgo,5867abe1e32c22f69ed0751a2b710a7096be7596,"BCa 95% CI on the paired mean difference (negative favors dt-gsk);CONFIRMATORY-WITH-DISCLOSURE (addendum Sections 3-4, never computed before signing)",ok
AN-EFF-LSGO-NATIVE,RQ6,cec2013lsgo,native,F1,dt-gsk vs fdb-agsk,vargha_delaney_a12,run,25,"get_cec_seed(20240620,dim,func,run)",none (estimation),n/a,n/a,n/a,n/a,1.000000e+00,favors_dt-gsk,n/a,n/a,n/a,n/a,n/a,n/a,cec2013lsgo/dt-gsk/per_run.csv;cec2013lsgo/fdb-agsk/per_run.csv,091340735e0be7d3d0a48d5c5ed92fcb36de405e6e41e0d993ea7605d1fe7500;8dcfb4b265ef65b335515e8c840566654018fb963b190298c5d076499e7810df,lsgo-rel-2026-07-28-ff1a046ef,papers/scripts/phase6b_run_analysis_newsuites.py,python papers/scripts/phase6b_run_analysis_newsuites.py --suite lsgo,5867abe1e32c22f69ed0751a2b710a7096be7596,"cliffs_delta=1.000000e+00;magnitude=large;A12>0.5 favors dt-gsk;ties |d|<1e-8 half;CONFIRMATORY-WITH-DISCLOSURE (addendum Sections 3-4, never computed before signing)",ok
AN-EFF-LSGO-NATIVE,RQ6,cec2013lsgo,native,F1,dt-gsk vs atmals-gsk,bca_ci_paired_mean_diff,run,25,"get_cec_seed(20240620,dim,func,run)",none (estimation),n/a,n/a,n/a,n/a,6.617381e+06,favors_comparator,6.039127e+06,7.289702e+06,0.95,paired runs within function,10000,"SeedSequence([20240620, 2113, 1000, 1, 4])",cec2013lsgo/dt-gsk/per_run.csv;cec2013lsgo/atmals-gsk/per_run.csv,091340735e0be7d3d0a48d5c5ed92fcb36de405e6e41e0d993ea7605d1fe7500;422aedd640115743844bf6d386ec7eddf471045952bd5fdb020f8f232d8191e6,lsgo-rel-2026-07-28-ff1a046ef,papers/scripts/phase6b_run_analysis_newsuites.py,python papers/scripts/phase6b_run_analysis_newsuites.py --suite lsgo,5867abe1e32c22f69ed0751a2b710a7096be7596,"BCa 95% CI on the paired mean difference (negative favors dt-gsk);CONFIRMATORY-WITH-DISCLOSURE (addendum Sections 3-4, never computed before signing)",ok
AN-EFF-LSGO-NATIVE,RQ6,cec2013lsgo,native,F1,dt-gsk vs atmals-gsk,vargha_delaney_a12,run,25,"get_cec_seed(20240620,dim,func,run)",none (estimation),n/a,n/a,n/a,n/a,0.000000e+00,favors_comparator,n/a,n/a,n/a,n/a,n/a,n/a,cec2013lsgo/dt-gsk/per_run.csv;cec2013lsgo/atmals-gsk/per_run.csv,091340735e0be7d3d0a48d5c5ed92fcb36de405e6e41e0d993ea7605d1fe7500;422aedd640115743844bf6d386ec7eddf471045952bd5fdb020f8f232d8191e6,lsgo-rel-2026-07-28-ff1a046ef,papers/scripts/phase6b_run_analysis_newsuites.py,python papers/scripts/phase6b_run_analysis_newsuites.py --suite lsgo,5867abe1e32c22f69ed0751a2b710a7096be7596,"cliffs_delta=-1.000000e+00;magnitude=large;A12>0.5 favors dt-gsk;ties |d|<1e-8 half;CONFIRMATORY-WITH-DISCLOSURE (addendum Sections 3-4, never computed before signing)",ok
