dimension,comparator,p_normal,p_permutation,holm_normal,holm_permutation,sig_normal,sig_permutation
10,gsk,0.000165242405489221,3.4999825000875e-05,0.000991454432935326,0.00020999895000524998,1,1
10,agsk,0.5421589781114289,0.5498872505637472,1.0,1.0,0,0
10,apgsk,0.9785339807274146,0.9789501052494738,1.0,1.0,0,0
10,fdb-agsk,0.7639388088985165,0.7698861505692471,1.0,1.0,0,0
10,atmals-gsk,0.009055004653889817,0.0074199629001854995,0.03622001861555927,0.029679851600741998,1,1
10,egsk,0.000698235929175046,0.000324998375008125,0.00349117964587523,0.001624991875040625,1,1
30,gsk,0.014746832668385479,0.013359933200333999,0.029493665336770957,0.026719866400667997,1,1
30,agsk,0.002551099806143721,0.0016199919000404997,0.010204399224574884,0.006479967600161999,1,1
30,apgsk,0.0012736269571333528,0.0007649961750191249,0.0063681347856667635,0.003824980875095625,1,1
30,fdb-agsk,0.0008498902803076057,0.000384998075009625,0.005099341681845634,0.00230998845005775,1,1
30,atmals-gsk,0.003491704267552267,0.0024549877250613747,0.0104751128026568,0.0073649631751841246,1,1
30,egsk,0.19867438988673247,0.20143899280503597,0.19867438988673247,0.20143899280503597,0,0
50,gsk,0.0037613899804406856,0.0025749871250643746,0.007522779960881371,0.005149974250128749,1,1
50,agsk,0.00019986219812499374,5.4999725001374995e-05,0.0006171619003377762,0.00021999890000549998,1,1
50,apgsk,5.772678876105255e-05,9.999950000249999e-06,0.0003463607325663153,5.9999700001499995e-05,1,1
50,fdb-agsk,0.00015429047508444405,6.4999675001625e-05,0.0006171619003377762,0.00021999890000549998,1,1
50,atmals-gsk,0.00011863499294983839,2.4999875000624998e-05,0.0005931749647491919,0.000124999375003125,1,1
50,egsk,1.0,1.0,1.0,1.0,0,0
100,gsk,0.03229848741422962,0.03095484522577387,0.06459697482845923,0.06190969045154774,0,0
100,agsk,1.2545457814430328e-05,4.9999750001249995e-06,6.272728907215164e-05,2.9999850000749997e-05,1,1
100,apgsk,4.559053220747387e-06,4.9999750001249995e-06,2.7354319324484324e-05,2.9999850000749997e-05,1,1
100,fdb-agsk,2.2537176213361276e-05,4.9999750001249995e-06,9.01487048534451e-05,2.9999850000749997e-05,1,1
100,atmals-gsk,0.0005407530408496217,0.00025499872500637496,0.0016222591225488652,0.0007649961750191248,1,1
100,egsk,0.7952661349387585,0.7989260053699732,0.7952661349387585,0.7989260053699732,0,0
