suite,dimension,function,algorithm,best,median,mean,worst,sd,source_path
cec2011,6,1,gsk,0.000000e+00,1.563778e-19,3.296958e+00,1.293826e+01,4.991468e+00,cec2011/gsk/gsk_cec2011.csv
cec2011,6,1,agsk,0.000000e+00,1.375516e+00,3.797766e+00,1.270725e+01,4.406344e+00,cec2011/agsk/agsk_cec2011.csv
cec2011,6,1,apgsk,0.000000e+00,1.670699e+00,4.062525e+00,1.223825e+01,4.611506e+00,cec2011/apgsk/apgsk_cec2011.csv
cec2011,6,1,fdb-agsk,0.000000e+00,9.081664e+00,7.363859e+00,1.281240e+01,4.371538e+00,cec2011/fdb-agsk/fdb-agsk_cec2011.csv
cec2011,6,1,atmals-gsk,9.967914e-04,1.016749e+01,6.291585e+00,1.661688e+01,6.259935e+00,cec2011/atmals-gsk/atmals-gsk_cec2011.csv
cec2011,6,1,egsk,0.000000e+00,2.388005e-14,2.846898e+00,1.016749e+01,4.659331e+00,cec2011/egsk/egsk_cec2011.csv
cec2011,6,1,dt-gsk,0.000000e+00,0.000000e+00,1.361812e+00,1.149025e+01,3.644651e+00,cec2011/dt-gsk/dt-gsk_cec2011.csv
cec2011,30,2,gsk,-1.325891e+01,-1.116176e+01,-1.119149e+01,-9.498319e+00,8.716027e-01,cec2011/gsk/gsk_cec2011.csv
cec2011,30,2,agsk,-1.823728e+01,-1.562133e+01,-1.587733e+01,-1.429766e+01,1.041662e+00,cec2011/agsk/agsk_cec2011.csv
cec2011,30,2,apgsk,-2.098053e+01,-1.791821e+01,-1.814894e+01,-1.534749e+01,1.689923e+00,cec2011/apgsk/apgsk_cec2011.csv
cec2011,30,2,fdb-agsk,-2.002891e+01,-1.808864e+01,-1.822668e+01,-1.634229e+01,1.229501e+00,cec2011/fdb-agsk/fdb-agsk_cec2011.csv
cec2011,30,2,atmals-gsk,-2.644671e+01,-1.664177e+01,-1.720993e+01,-1.000208e+01,4.627297e+00,cec2011/atmals-gsk/atmals-gsk_cec2011.csv
cec2011,30,2,egsk,-2.842253e+01,-2.662264e+01,-2.684467e+01,-2.542704e+01,7.910886e-01,cec2011/egsk/egsk_cec2011.csv
cec2011,30,2,dt-gsk,-2.445067e+01,-1.965267e+01,-2.009706e+01,-1.526484e+01,2.281922e+00,cec2011/dt-gsk/dt-gsk_cec2011.csv
cec2011,1,3,gsk,1.151489e-05,1.151489e-05,1.151489e-05,1.151489e-05,1.403819e-19,cec2011/gsk/gsk_cec2011.csv
cec2011,1,3,agsk,1.151489e-05,1.151489e-05,1.151489e-05,1.151489e-05,1.557194e-19,cec2011/agsk/agsk_cec2011.csv
cec2011,1,3,apgsk,1.151489e-05,1.151489e-05,1.151489e-05,1.151489e-05,1.927665e-19,cec2011/apgsk/apgsk_cec2011.csv
cec2011,1,3,fdb-agsk,1.151489e-05,1.151489e-05,1.151489e-05,1.151489e-05,1.491343e-19,cec2011/fdb-agsk/fdb-agsk_cec2011.csv
cec2011,1,3,atmals-gsk,1.151489e-05,1.151489e-05,1.151489e-05,1.151489e-05,1.195147e-19,cec2011/atmals-gsk/atmals-gsk_cec2011.csv
cec2011,1,3,egsk,1.151489e-05,1.151489e-05,1.151489e-05,1.151489e-05,1.408000e-19,cec2011/egsk/egsk_cec2011.csv
cec2011,1,3,dt-gsk,1.151489e-05,1.151489e-05,1.151489e-05,1.151489e-05,1.023490e-18,cec2011/dt-gsk/dt-gsk_cec2011.csv
