suite,dimension,function,comparator,n_runs,a12,cliffs_delta,magnitude,availability
cec2011,6,1,gsk,25,6.056000e-01,2.112000e-01,small,ok
cec2011,6,1,agsk,25,7.616000e-01,5.232000e-01,large,ok
cec2011,6,1,apgsk,25,8.352000e-01,6.704000e-01,large,ok
cec2011,6,1,fdb-agsk,25,8.656000e-01,7.312000e-01,large,ok
cec2011,6,1,atmals-gsk,25,8.704000e-01,7.408000e-01,large,ok
cec2011,6,1,egsk,25,5.256000e-01,5.120000e-02,negligible,ok
cec2011,30,2,gsk,25,1.000000e+00,1.000000e+00,large,ok
cec2011,30,2,agsk,25,9.600000e-01,9.200000e-01,large,ok
cec2011,30,2,apgsk,25,7.536000e-01,5.072000e-01,large,ok
cec2011,30,2,fdb-agsk,25,7.584000e-01,5.168000e-01,large,ok
cec2011,30,2,atmals-gsk,25,7.440000e-01,4.880000e-01,large,ok
cec2011,30,2,egsk,25,0.000000e+00,-1.000000e+00,large,ok
cec2011,1,3,gsk,25,5.000000e-01,0.000000e+00,negligible,ok
cec2011,1,3,agsk,25,5.000000e-01,0.000000e+00,negligible,ok
cec2011,1,3,apgsk,25,5.000000e-01,0.000000e+00,negligible,ok
cec2011,1,3,fdb-agsk,25,5.000000e-01,0.000000e+00,negligible,ok
cec2011,1,3,atmals-gsk,25,5.000000e-01,0.000000e+00,negligible,ok
cec2011,1,3,egsk,25,5.000000e-01,0.000000e+00,negligible,ok
cec2011,1,4,gsk,25,4.600000e-01,-8.000000e-02,negligible,ok
cec2011,1,4,agsk,25,4.600000e-01,-8.000000e-02,negligible,ok
cec2011,1,4,apgsk,25,4.600000e-01,-8.000000e-02,negligible,ok
cec2011,1,4,fdb-agsk,25,4.600000e-01,-8.000000e-02,negligible,ok
cec2011,1,4,atmals-gsk,25,4.600000e-01,-8.000000e-02,negligible,ok
cec2011,1,4,egsk,25,4.600000e-01,-8.000000e-02,negligible,ok
cec2011,30,5,gsk,25,1.000000e+00,1.000000e+00,large,ok
cec2011,30,5,agsk,25,2.304000e-01,-5.392000e-01,large,ok
cec2011,30,5,apgsk,25,4.320000e-02,-9.136000e-01,large,ok
cec2011,30,5,fdb-agsk,25,1.056000e-01,-7.888000e-01,large,ok
cec2011,30,5,atmals-gsk,25,7.920000e-01,5.840000e-01,large,ok
cec2011,30,5,egsk,25,3.440000e-01,-3.120000e-01,medium,ok
cec2011,30,6,gsk,25,9.600000e-01,9.200000e-01,large,ok
cec2011,30,6,agsk,25,3.968000e-01,-2.064000e-01,small,ok
cec2011,30,6,apgsk,25,3.520000e-02,-9.296000e-01,large,ok
cec2011,30,6,fdb-agsk,25,1.800000e-01,-6.400000e-01,large,ok
cec2011,30,6,atmals-gsk,25,8.688000e-01,7.376000e-01,large,ok
cec2011,30,6,egsk,25,9.736000e-01,9.472000e-01,large,ok
cec2011,20,7,gsk,25,1.000000e+00,1.000000e+00,large,ok
cec2011,20,7,agsk,25,7.024000e-01,4.048000e-01,medium,ok
cec2011,20,7,apgsk,25,5.616000e-01,1.232000e-01,small,ok
cec2011,20,7,fdb-agsk,25,6.288000e-01,2.576000e-01,small,ok
cec2011,20,7,atmals-gsk,25,8.608000e-01,7.216000e-01,large,ok
cec2011,20,7,egsk,25,3.728000e-01,-2.544000e-01,small,ok
cec2011,7,8,gsk,25,5.000000e-01,0.000000e+00,negligible,ok
cec2011,7,8,agsk,25,5.000000e-01,0.000000e+00,negligible,ok
cec2011,7,8,apgsk,25,5.000000e-01,0.000000e+00,negligible,ok
cec2011,7,8,fdb-agsk,25,5.000000e-01,0.000000e+00,negligible,ok
cec2011,7,8,atmals-gsk,25,5.000000e-01,0.000000e+00,negligible,ok
cec2011,7,8,egsk,25,5.000000e-01,0.000000e+00,negligible,ok
cec2011,126,9,gsk,25,4.080000e-01,-1.840000e-01,small,ok
cec2011,126,9,agsk,25,7.984000e-01,5.968000e-01,large,ok
cec2011,126,9,apgsk,25,2.432000e-01,-5.136000e-01,large,ok
cec2011,126,9,fdb-agsk,25,8.192000e-01,6.384000e-01,large,ok
cec2011,126,9,atmals-gsk,25,4.208000e-01,-1.584000e-01,small,ok
