suite,dimension,function,comparator,test_level,n_pairs,statistic,p_raw,p_holm,outcome,availability
cec2011,6,1,gsk,per_function_runlevel,25,4.250000e+01,1.961083e-01,1.000000e+00,tie,ok
cec2011,6,1,agsk,per_function_runlevel,25,4.900000e+01,2.179016e-02,1.961114e-01,tie,ok
cec2011,6,1,apgsk,per_function_runlevel,25,5.400000e+01,6.361037e-03,7.633245e-02,tie,ok
cec2011,6,1,fdb-agsk,per_function_runlevel,25,2.900000e+01,5.757002e-04,6.877115e-03,win,ok
cec2011,6,1,atmals-gsk,per_function_runlevel,25,2.800000e+01,3.115946e-04,4.673919e-03,win,ok
cec2011,6,1,egsk,per_function_runlevel,25,2.000000e+01,4.755325e-01,1.000000e+00,tie,ok
cec2011,30,2,gsk,per_function_runlevel,25,0.000000e+00,1.308071e-05,2.877757e-04,win,ok
cec2011,30,2,agsk,per_function_runlevel,25,0.000000e+00,1.308071e-05,2.877757e-04,win,ok
cec2011,30,2,apgsk,per_function_runlevel,25,6.200000e+01,7.130513e-03,7.843564e-02,tie,ok
cec2011,30,2,fdb-agsk,per_function_runlevel,25,4.100000e+01,1.131110e-03,1.017999e-02,win,ok
cec2011,30,2,atmals-gsk,per_function_runlevel,25,7.000000e+01,1.330738e-02,1.596886e-01,tie,ok
cec2011,30,2,egsk,per_function_runlevel,25,0.000000e+00,1.308071e-05,2.877757e-04,loss,ok
cec2011,1,3,gsk,per_function_runlevel,25,0.000000e+00,1.000000e+00,1.000000e+00,tie,ok
cec2011,1,3,agsk,per_function_runlevel,25,0.000000e+00,1.000000e+00,1.000000e+00,tie,ok
cec2011,1,3,apgsk,per_function_runlevel,25,0.000000e+00,1.000000e+00,1.000000e+00,tie,ok
cec2011,1,3,fdb-agsk,per_function_runlevel,25,0.000000e+00,1.000000e+00,1.000000e+00,tie,ok
cec2011,1,3,atmals-gsk,per_function_runlevel,25,0.000000e+00,1.000000e+00,1.000000e+00,tie,ok
cec2011,1,3,egsk,per_function_runlevel,25,0.000000e+00,1.000000e+00,1.000000e+00,tie,ok
cec2011,1,4,gsk,per_function_runlevel,25,0.000000e+00,3.710933e-01,1.000000e+00,tie,ok
cec2011,1,4,agsk,per_function_runlevel,25,0.000000e+00,3.710933e-01,1.000000e+00,tie,ok
cec2011,1,4,apgsk,per_function_runlevel,25,0.000000e+00,3.710933e-01,1.000000e+00,tie,ok
cec2011,1,4,fdb-agsk,per_function_runlevel,25,0.000000e+00,3.710933e-01,1.000000e+00,tie,ok
cec2011,1,4,atmals-gsk,per_function_runlevel,25,0.000000e+00,3.710933e-01,1.000000e+00,tie,ok
cec2011,1,4,egsk,per_function_runlevel,25,0.000000e+00,3.710933e-01,1.000000e+00,tie,ok
cec2011,30,5,gsk,per_function_runlevel,25,0.000000e+00,1.308071e-05,2.877757e-04,win,ok
cec2011,30,5,agsk,per_function_runlevel,25,2.000000e+01,1.330760e-04,1.863064e-03,loss,ok
