suite,dimension,function,comparator,n_runs,mean_diff,ci_low,ci_high,B,seed_scheme,availability
cec2013,50,1,gsk,51,0.000000e+00,n/a,n/a,n/a,n/a,no CI (degenerate cell)
cec2013,50,1,agsk,51,0.000000e+00,n/a,n/a,n/a,n/a,no CI (degenerate cell)
cec2013,50,1,apgsk,51,0.000000e+00,n/a,n/a,n/a,n/a,no CI (degenerate cell)
cec2013,50,1,fdb-agsk,51,0.000000e+00,n/a,n/a,n/a,n/a,no CI (degenerate cell)
cec2013,50,1,atmals-gsk,51,0.000000e+00,n/a,n/a,n/a,n/a,no CI (degenerate cell)
cec2013,50,1,egsk,51,0.000000e+00,n/a,n/a,n/a,n/a,no CI (degenerate cell)
cec2013,50,2,gsk,51,-1.167372e+05,-1.500422e+05,-8.818768e+04,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2013,50,2,agsk,51,-9.551231e+05,-1.032689e+06,-8.781984e+05,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2013,50,2,apgsk,51,-9.710998e+05,-1.072406e+06,-8.841299e+05,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2013,50,2,fdb-agsk,51,-1.125238e+06,-1.225818e+06,-1.028543e+06,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2013,50,2,atmals-gsk,51,5.199682e+04,3.627319e+04,7.060194e+04,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2013,50,2,egsk,51,5.134265e+04,3.524316e+04,7.018024e+04,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2013,50,3,gsk,51,3.598147e+05,2.000793e+05,6.514122e+05,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2013,50,3,agsk,51,-5.769647e+07,-7.553558e+07,-4.478494e+07,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2013,50,3,apgsk,51,-2.053574e+07,-2.860838e+07,-1.485607e+07,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2013,50,3,fdb-agsk,51,-2.765492e+07,-3.564538e+07,-2.179558e+07,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2013,50,3,atmals-gsk,51,-1.017522e+06,-1.783595e+06,-4.929638e+05,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2013,50,3,egsk,51,1.169410e+04,-2.777065e+05,3.186409e+05,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2013,50,4,gsk,51,-1.093968e+03,-1.192000e+03,-1.006880e+03,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2013,50,4,agsk,51,-4.100310e+03,-4.554738e+03,-3.689415e+03,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2013,50,4,apgsk,51,-5.886848e+03,-6.383755e+03,-5.442192e+03,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2013,50,4,fdb-agsk,51,-1.478354e+03,-1.670634e+03,-1.306762e+03,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
