suite,dimension,function,comparator,n_runs,a12,cliffs_delta,magnitude,availability
cec2013,50,1,gsk,51,5.000000e-01,0.000000e+00,negligible,ok
cec2013,50,1,agsk,51,5.000000e-01,0.000000e+00,negligible,ok
cec2013,50,1,apgsk,51,5.000000e-01,0.000000e+00,negligible,ok
cec2013,50,1,fdb-agsk,51,5.000000e-01,0.000000e+00,negligible,ok
cec2013,50,1,atmals-gsk,51,5.000000e-01,0.000000e+00,negligible,ok
cec2013,50,1,egsk,51,5.000000e-01,0.000000e+00,negligible,ok
cec2013,50,2,gsk,51,8.888889e-01,7.777778e-01,large,ok
cec2013,50,2,agsk,51,1.000000e+00,1.000000e+00,large,ok
cec2013,50,2,apgsk,51,1.000000e+00,1.000000e+00,large,ok
cec2013,50,2,fdb-agsk,51,1.000000e+00,1.000000e+00,large,ok
cec2013,50,2,atmals-gsk,51,1.860823e-01,-6.278354e-01,large,ok
cec2013,50,2,egsk,51,1.757017e-01,-6.485967e-01,large,ok
cec2013,50,3,gsk,51,1.203383e-01,-7.593233e-01,large,ok
cec2013,50,3,agsk,51,9.984621e-01,9.969243e-01,large,ok
cec2013,50,3,apgsk,51,9.892349e-01,9.784698e-01,large,ok
cec2013,50,3,fdb-agsk,51,9.965398e-01,9.930796e-01,large,ok
cec2013,50,3,atmals-gsk,51,5.966936e-01,1.933872e-01,small,ok
cec2013,50,3,egsk,51,4.213764e-01,-1.572472e-01,small,ok
cec2013,50,4,gsk,51,1.000000e+00,1.000000e+00,large,ok
cec2013,50,4,agsk,51,1.000000e+00,1.000000e+00,large,ok
cec2013,50,4,apgsk,51,1.000000e+00,1.000000e+00,large,ok
cec2013,50,4,fdb-agsk,51,1.000000e+00,1.000000e+00,large,ok
cec2013,50,4,atmals-gsk,51,9.969243e-01,9.938485e-01,large,ok
cec2013,50,4,egsk,51,0.000000e+00,-1.000000e+00,large,ok
cec2013,50,5,gsk,51,5.000000e-01,0.000000e+00,negligible,ok
cec2013,50,5,agsk,51,5.000000e-01,0.000000e+00,negligible,ok
cec2013,50,5,apgsk,51,5.000000e-01,0.000000e+00,negligible,ok
cec2013,50,5,fdb-agsk,51,5.000000e-01,0.000000e+00,negligible,ok
cec2013,50,5,atmals-gsk,51,5.000000e-01,0.000000e+00,negligible,ok
cec2013,50,5,egsk,51,1.000000e+00,1.000000e+00,large,ok
cec2013,50,6,gsk,51,9.052288e-01,8.104575e-01,large,ok
cec2013,50,6,agsk,51,3.867743e-01,-2.264514e-01,small,ok
cec2013,50,6,apgsk,51,9.740484e-01,9.480969e-01,large,ok
cec2013,50,6,fdb-agsk,51,6.939639e-01,3.879277e-01,medium,ok
cec2013,50,6,atmals-gsk,51,3.185313e-01,-3.629373e-01,medium,ok
cec2013,50,6,egsk,51,1.591696e-01,-6.816609e-01,large,ok
cec2013,50,7,gsk,51,7.935409e-01,5.870819e-01,large,ok
cec2013,50,7,agsk,51,1.000000e+00,1.000000e+00,large,ok
cec2013,50,7,apgsk,51,1.000000e+00,1.000000e+00,large,ok
cec2013,50,7,fdb-agsk,51,1.000000e+00,1.000000e+00,large,ok
cec2013,50,7,atmals-gsk,51,9.984621e-01,9.969243e-01,large,ok
cec2013,50,7,egsk,51,9.457901e-01,8.915802e-01,large,ok
cec2013,50,8,gsk,51,6.089965e-01,2.179931e-01,small,ok
cec2013,50,8,agsk,51,6.005383e-01,2.010765e-01,small,ok
cec2013,50,8,apgsk,51,6.032295e-01,2.064591e-01,small,ok
cec2013,50,8,fdb-agsk,51,6.182238e-01,2.364475e-01,small,ok
cec2013,50,8,atmals-gsk,51,5.505575e-01,1.011150e-01,negligible,ok
cec2013,50,8,egsk,51,5.413303e-01,8.266052e-02,negligible,ok
cec2013,50,9,gsk,51,1.000000e+00,1.000000e+00,large,ok
cec2013,50,9,agsk,51,7.812380e-01,5.624760e-01,large,ok
cec2013,50,9,apgsk,51,7.212611e-01,4.425221e-01,large,ok
cec2013,50,9,fdb-agsk,51,7.347174e-01,4.694348e-01,large,ok
cec2013,50,9,atmals-gsk,51,8.904268e-01,7.808535e-01,large,ok
