suite,dimension,function,comparator,test_level,n_pairs,statistic,p_raw,p_holm,outcome,availability
cec2013,10,1,gsk,per_function_runlevel,51,0.000000e+00,1.000000e+00,1.000000e+00,tie,ok
cec2013,10,1,agsk,per_function_runlevel,51,0.000000e+00,1.000000e+00,1.000000e+00,tie,ok
cec2013,10,1,apgsk,per_function_runlevel,51,0.000000e+00,1.000000e+00,1.000000e+00,tie,ok
cec2013,10,1,fdb-agsk,per_function_runlevel,51,0.000000e+00,1.000000e+00,1.000000e+00,tie,ok
cec2013,10,1,atmals-gsk,per_function_runlevel,51,0.000000e+00,1.000000e+00,1.000000e+00,tie,ok
cec2013,10,1,egsk,per_function_runlevel,51,0.000000e+00,1.000000e+00,1.000000e+00,tie,ok
cec2013,10,2,gsk,per_function_runlevel,51,6.000000e+00,7.600557e-10,1.490422e-08,win,ok
cec2013,10,2,agsk,per_function_runlevel,51,4.000000e+01,5.396753e-09,1.079351e-07,win,ok
cec2013,10,2,apgsk,per_function_runlevel,51,0.000000e+00,5.322937e-10,1.490422e-08,win,ok
cec2013,10,2,fdb-agsk,per_function_runlevel,51,6.000000e+00,7.600557e-10,1.672123e-08,win,ok
cec2013,10,2,atmals-gsk,per_function_runlevel,51,3.820000e+02,1.275539e-01,8.928770e-01,tie,ok
cec2013,10,2,egsk,per_function_runlevel,51,0.000000e+00,2.592415e-07,4.407105e-06,loss,ok
cec2013,10,3,gsk,per_function_runlevel,51,2.050000e+02,1.801232e-05,1.621109e-04,loss,ok
cec2013,10,3,agsk,per_function_runlevel,51,1.310000e+02,6.302901e-07,1.071493e-05,win,ok
cec2013,10,3,apgsk,per_function_runlevel,51,6.000000e+01,1.632359e-08,2.938247e-07,win,ok
cec2013,10,3,fdb-agsk,per_function_runlevel,51,1.000000e+00,5.649717e-10,1.490422e-08,win,ok
cec2013,10,3,atmals-gsk,per_function_runlevel,51,1.330000e+02,6.942878e-07,1.041432e-05,loss,ok
cec2013,10,3,egsk,per_function_runlevel,51,4.100000e+01,5.708468e-09,1.141694e-07,loss,ok
cec2013,10,4,gsk,per_function_runlevel,51,0.000000e+00,5.322937e-10,1.490422e-08,win,ok
