suite,dimension,category,n_functions,algorithm,mean_rank,ism_wins,ism_ties,ism_losses
cec2017,10,unimodal,2,gsk,4.000000e+00,0,2,0
cec2017,10,unimodal,2,agsk,4.000000e+00,0,2,0
cec2017,10,unimodal,2,apgsk,4.000000e+00,0,2,0
cec2017,10,unimodal,2,fdb-agsk,4.000000e+00,0,2,0
cec2017,10,unimodal,2,atmals-gsk,4.000000e+00,0,2,0
cec2017,10,unimodal,2,egsk,4.000000e+00,0,2,0
cec2017,10,unimodal,2,dt-gsk,4.000000e+00,n/a,n/a,n/a
cec2017,10,simple_multimodal,7,gsk,5.214286e+00,4,2,1
cec2017,10,simple_multimodal,7,agsk,4.285714e+00,6,1,0
cec2017,10,simple_multimodal,7,apgsk,4.500000e+00,5,2,0
cec2017,10,simple_multimodal,7,fdb-agsk,4.500000e+00,7,0,0
cec2017,10,simple_multimodal,7,atmals-gsk,4.500000e+00,4,2,1
cec2017,10,simple_multimodal,7,egsk,2.928571e+00,4,2,1
cec2017,10,simple_multimodal,7,dt-gsk,2.071429e+00,n/a,n/a,n/a
cec2017,10,hybrid,10,gsk,5.200000e+00,8,0,2
cec2017,10,hybrid,10,agsk,2.150000e+00,6,0,4
cec2017,10,hybrid,10,apgsk,3.750000e+00,8,0,2
cec2017,10,hybrid,10,fdb-agsk,3.300000e+00,6,0,4
cec2017,10,hybrid,10,atmals-gsk,6.700000e+00,10,0,0
cec2017,10,hybrid,10,egsk,4.500000e+00,8,0,2
cec2017,10,hybrid,10,dt-gsk,2.400000e+00,n/a,n/a,n/a
cec2017,10,composition,10,gsk,6.350000e+00,10,0,0
cec2017,10,composition,10,agsk,2.900000e+00,2,0,8
cec2017,10,composition,10,apgsk,2.650000e+00,3,0,7
cec2017,10,composition,10,fdb-agsk,2.750000e+00,2,0,8
cec2017,10,composition,10,atmals-gsk,4.700000e+00,7,0,3
cec2017,10,composition,10,egsk,4.950000e+00,9,0,1
