suite,dimension,function,algorithm,checkpoint_nfes,mean_error,n_runs,availability
cec2017,10,1,gsk,1000,5.197135e+09,51,ok
cec2017,10,1,gsk,2000,1.363196e+09,51,ok
cec2017,10,1,gsk,3000,3.847359e+08,51,ok
cec2017,10,1,gsk,5000,7.205466e+07,51,ok
cec2017,10,1,gsk,10000,4.757545e+06,51,ok
cec2017,10,1,gsk,20000,3.063964e+04,51,ok
cec2017,10,1,gsk,30000,1.917939e+01,51,ok
cec2017,10,1,gsk,40000,1.094596e-02,51,ok
cec2017,10,1,gsk,50000,5.251446e-06,51,ok
cec2017,10,1,gsk,60000,6.261912e-10,51,ok
cec2017,10,1,gsk,70000,0.000000e+00,51,ok
cec2017,10,1,gsk,80000,0.000000e+00,51,ok
cec2017,10,1,gsk,90000,0.000000e+00,51,ok
cec2017,10,1,gsk,100000,0.000000e+00,51,ok
cec2017,10,1,agsk,1000,1.179499e+10,51,ok
cec2017,10,1,agsk,2000,8.862949e+09,51,ok
cec2017,10,1,agsk,3000,6.783201e+09,51,ok
cec2017,10,1,agsk,5000,3.727202e+09,51,ok
cec2017,10,1,agsk,10000,7.715383e+08,51,ok
cec2017,10,1,agsk,20000,8.941072e+05,51,ok
cec2017,10,1,agsk,30000,3.488867e+02,51,ok
cec2017,10,1,agsk,40000,1.883742e-02,51,ok
cec2017,10,1,agsk,50000,9.918210e-08,51,ok
cec2017,10,1,agsk,60000,0.000000e+00,51,ok
cec2017,10,1,agsk,70000,0.000000e+00,51,ok
cec2017,10,1,agsk,80000,0.000000e+00,51,ok
cec2017,10,1,agsk,90000,0.000000e+00,51,ok
cec2017,10,1,agsk,100000,0.000000e+00,51,ok
cec2017,10,1,apgsk,1000,1.195762e+10,51,ok
cec2017,10,1,apgsk,2000,9.310154e+09,51,ok
cec2017,10,1,apgsk,3000,7.060660e+09,51,ok
cec2017,10,1,apgsk,5000,4.089852e+09,51,ok
cec2017,10,1,apgsk,10000,9.789815e+08,51,ok
cec2017,10,1,apgsk,20000,3.789998e+07,51,ok
cec2017,10,1,apgsk,30000,2.839870e+07,51,ok
cec2017,10,1,apgsk,40000,2.304149e+07,51,ok
cec2017,10,1,apgsk,50000,1.939111e+07,51,ok
cec2017,10,1,apgsk,60000,1.560406e+03,51,ok
cec2017,10,1,apgsk,70000,3.872786e-02,51,ok
cec2017,10,1,apgsk,80000,1.442221e-09,51,ok
cec2017,10,1,apgsk,90000,0.000000e+00,51,ok
cec2017,10,1,apgsk,100000,0.000000e+00,51,ok
cec2017,10,1,fdb-agsk,1000,1.142343e+10,51,ok
cec2017,10,1,fdb-agsk,2000,9.025778e+09,51,ok
cec2017,10,1,fdb-agsk,3000,6.467484e+09,51,ok
cec2017,10,1,fdb-agsk,5000,3.133324e+09,51,ok
cec2017,10,1,fdb-agsk,10000,6.759794e+08,51,ok
cec2017,10,1,fdb-agsk,20000,6.394023e+05,51,ok
cec2017,10,1,fdb-agsk,30000,1.139818e+02,51,ok
cec2017,10,1,fdb-agsk,40000,3.574507e-03,51,ok
cec2017,10,1,fdb-agsk,50000,3.891941e-09,51,ok
cec2017,10,1,fdb-agsk,60000,0.000000e+00,51,ok
cec2017,10,1,fdb-agsk,70000,0.000000e+00,51,ok
cec2017,10,1,fdb-agsk,80000,0.000000e+00,51,ok
cec2017,10,1,fdb-agsk,90000,0.000000e+00,51,ok
cec2017,10,1,fdb-agsk,100000,0.000000e+00,51,ok
cec2017,10,1,atmals-gsk,1000,3.473867e+09,51,ok
cec2017,10,1,atmals-gsk,2000,9.702454e+08,51,ok
cec2017,10,1,atmals-gsk,3000,3.338465e+08,51,ok
cec2017,10,1,atmals-gsk,5000,7.051053e+07,51,ok
cec2017,10,1,atmals-gsk,10000,2.589649e+06,51,ok
cec2017,10,1,atmals-gsk,20000,7.656875e+03,51,ok
cec2017,10,1,atmals-gsk,30000,5.070510e+00,51,ok
cec2017,10,1,atmals-gsk,40000,1.378659e-03,51,ok
cec2017,10,1,atmals-gsk,50000,3.659618e-07,51,ok
cec2017,10,1,atmals-gsk,60000,0.000000e+00,51,ok
cec2017,10,1,atmals-gsk,70000,0.000000e+00,51,ok
cec2017,10,1,atmals-gsk,80000,0.000000e+00,51,ok
cec2017,10,1,atmals-gsk,90000,0.000000e+00,51,ok
cec2017,10,1,atmals-gsk,100000,0.000000e+00,51,ok
cec2017,10,1,egsk,1000,4.985569e+09,51,ok
cec2017,10,1,egsk,2000,1.281728e+09,51,ok
cec2017,10,1,egsk,3000,3.564335e+08,51,ok
cec2017,10,1,egsk,5000,4.988670e+07,51,ok
cec2017,10,1,egsk,10000,2.628581e+06,51,ok
cec2017,10,1,egsk,20000,3.951920e+03,51,ok
cec2017,10,1,egsk,30000,4.989026e-02,51,ok
cec2017,10,1,egsk,40000,6.757578e-07,51,ok
cec2017,10,1,egsk,50000,0.000000e+00,51,ok
cec2017,10,1,egsk,60000,0.000000e+00,51,ok
cec2017,10,1,egsk,70000,0.000000e+00,51,ok
cec2017,10,1,egsk,80000,0.000000e+00,51,ok
cec2017,10,1,egsk,90000,0.000000e+00,51,ok
cec2017,10,1,egsk,100000,0.000000e+00,51,ok
cec2017,10,1,dt-gsk,1000,2.133466e+09,51,ok
cec2017,10,1,dt-gsk,2000,2.019700e+08,51,ok
cec2017,10,1,dt-gsk,3000,2.888095e+07,51,ok
cec2017,10,1,dt-gsk,5000,6.990438e+05,51,ok
cec2017,10,1,dt-gsk,10000,2.726242e+03,51,ok
cec2017,10,1,dt-gsk,20000,6.049520e-01,51,ok
cec2017,10,1,dt-gsk,30000,1.842702e-06,51,ok
cec2017,10,1,dt-gsk,40000,0.000000e+00,51,ok
cec2017,10,1,dt-gsk,50000,0.000000e+00,51,ok
cec2017,10,1,dt-gsk,60000,0.000000e+00,51,ok
cec2017,10,1,dt-gsk,70000,0.000000e+00,51,ok
cec2017,10,1,dt-gsk,80000,0.000000e+00,51,ok
cec2017,10,1,dt-gsk,90000,0.000000e+00,51,ok
cec2017,10,1,dt-gsk,100000,0.000000e+00,51,ok
cec2017,10,3,gsk,1000,1.840909e+04,51,ok
cec2017,10,3,gsk,2000,1.390338e+04,51,ok
cec2017,10,3,gsk,3000,1.122612e+04,51,ok
cec2017,10,3,gsk,5000,9.057032e+03,51,ok
cec2017,10,3,gsk,10000,6.967698e+03,51,ok
cec2017,10,3,gsk,20000,1.633746e+03,51,ok
cec2017,10,3,gsk,30000,4.097845e+01,51,ok
cec2017,10,3,gsk,40000,5.749130e-02,51,ok
cec2017,10,3,gsk,50000,9.121323e-06,51,ok
cec2017,10,3,gsk,60000,0.000000e+00,51,ok
cec2017,10,3,gsk,70000,0.000000e+00,51,ok
cec2017,10,3,gsk,80000,0.000000e+00,51,ok
cec2017,10,3,gsk,90000,0.000000e+00,51,ok
cec2017,10,3,gsk,100000,0.000000e+00,51,ok
cec2017,10,3,agsk,1000,2.957273e+04,51,ok
cec2017,10,3,agsk,2000,1.981008e+04,51,ok
cec2017,10,3,agsk,3000,1.716515e+04,51,ok
cec2017,10,3,agsk,5000,1.370489e+04,51,ok
cec2017,10,3,agsk,10000,1.031057e+04,51,ok
cec2017,10,3,agsk,20000,1.029980e+03,51,ok
cec2017,10,3,agsk,30000,2.044778e+01,51,ok
cec2017,10,3,agsk,40000,3.311628e-03,51,ok
cec2017,10,3,agsk,50000,0.000000e+00,51,ok
cec2017,10,3,agsk,60000,0.000000e+00,51,ok
cec2017,10,3,agsk,70000,0.000000e+00,51,ok
cec2017,10,3,agsk,80000,0.000000e+00,51,ok
cec2017,10,3,agsk,90000,0.000000e+00,51,ok
cec2017,10,3,agsk,100000,0.000000e+00,51,ok
cec2017,10,3,apgsk,1000,2.806240e+04,51,ok
cec2017,10,3,apgsk,2000,1.976440e+04,51,ok
cec2017,10,3,apgsk,3000,1.533377e+04,51,ok
cec2017,10,3,apgsk,5000,1.233667e+04,51,ok
cec2017,10,3,apgsk,10000,9.810000e+03,51,ok
cec2017,10,3,apgsk,20000,3.481672e+03,51,ok
cec2017,10,3,apgsk,30000,3.113770e+03,51,ok
cec2017,10,3,apgsk,40000,2.748000e+03,51,ok
cec2017,10,3,apgsk,50000,2.488500e+03,51,ok
cec2017,10,3,apgsk,60000,2.754978e+01,51,ok
cec2017,10,3,apgsk,70000,5.212398e-06,51,ok
cec2017,10,3,apgsk,80000,0.000000e+00,51,ok
cec2017,10,3,apgsk,90000,0.000000e+00,51,ok
cec2017,10,3,apgsk,100000,0.000000e+00,51,ok
cec2017,10,3,fdb-agsk,1000,3.025288e+04,51,ok
cec2017,10,3,fdb-agsk,2000,2.001507e+04,51,ok
cec2017,10,3,fdb-agsk,3000,1.625985e+04,51,ok
cec2017,10,3,fdb-agsk,5000,1.349809e+04,51,ok
cec2017,10,3,fdb-agsk,10000,1.088021e+04,51,ok
cec2017,10,3,fdb-agsk,20000,9.104602e+02,51,ok
cec2017,10,3,fdb-agsk,30000,8.786291e+00,51,ok
cec2017,10,3,fdb-agsk,40000,2.439104e-04,51,ok
cec2017,10,3,fdb-agsk,50000,0.000000e+00,51,ok
cec2017,10,3,fdb-agsk,60000,0.000000e+00,51,ok
cec2017,10,3,fdb-agsk,70000,0.000000e+00,51,ok
cec2017,10,3,fdb-agsk,80000,0.000000e+00,51,ok
cec2017,10,3,fdb-agsk,90000,0.000000e+00,51,ok
cec2017,10,3,fdb-agsk,100000,0.000000e+00,51,ok
cec2017,10,3,atmals-gsk,1000,1.784227e+04,51,ok
cec2017,10,3,atmals-gsk,2000,1.142000e+04,51,ok
cec2017,10,3,atmals-gsk,3000,9.374890e+03,51,ok
cec2017,10,3,atmals-gsk,5000,7.079421e+03,51,ok
cec2017,10,3,atmals-gsk,10000,4.050393e+03,51,ok
cec2017,10,3,atmals-gsk,20000,4.163717e+02,51,ok
cec2017,10,3,atmals-gsk,30000,1.138472e+00,51,ok
cec2017,10,3,atmals-gsk,40000,1.125751e-04,51,ok
cec2017,10,3,atmals-gsk,50000,8.484539e-09,51,ok
cec2017,10,3,atmals-gsk,60000,0.000000e+00,51,ok
cec2017,10,3,atmals-gsk,70000,0.000000e+00,51,ok
cec2017,10,3,atmals-gsk,80000,0.000000e+00,51,ok
cec2017,10,3,atmals-gsk,90000,0.000000e+00,51,ok
cec2017,10,3,atmals-gsk,100000,0.000000e+00,51,ok
cec2017,10,3,egsk,1000,1.600802e+04,51,ok
cec2017,10,3,egsk,2000,8.442875e+03,51,ok
cec2017,10,3,egsk,3000,6.352039e+03,51,ok
cec2017,10,3,egsk,5000,5.011537e+03,51,ok
cec2017,10,3,egsk,10000,3.278325e+03,51,ok
cec2017,10,3,egsk,20000,2.754494e+02,51,ok
cec2017,10,3,egsk,30000,2.476708e-02,51,ok
cec2017,10,3,egsk,40000,2.219320e-07,51,ok
cec2017,10,3,egsk,50000,0.000000e+00,51,ok
cec2017,10,3,egsk,60000,0.000000e+00,51,ok
cec2017,10,3,egsk,70000,0.000000e+00,51,ok
cec2017,10,3,egsk,80000,0.000000e+00,51,ok
cec2017,10,3,egsk,90000,0.000000e+00,51,ok
cec2017,10,3,egsk,100000,0.000000e+00,51,ok
cec2017,10,3,dt-gsk,1000,1.083332e+04,51,ok
cec2017,10,3,dt-gsk,2000,3.242794e+03,51,ok
