suite,dimension,algorithm,n_runs,mean_runtime_seconds,sd_runtime_seconds,comparability,availability
cec2017,10,gsk,1479,5.545159e-01,2.212583e-01,comparable-within-python-panel (comparability_audit.md Sec.1),ok
cec2017,10,agsk,1479,2.821070e+00,1.754897e+00,comparable-within-python-panel (comparability_audit.md Sec.1),ok
cec2017,10,apgsk,1479,3.974454e+00,1.765920e+00,provenance-qualified (post-freeze recovery re-run; cross-session wall-clock treated as measurement noise; no runtime-superiority claim),ok
cec2017,10,fdb-agsk,1479,2.404291e+00,5.271167e-01,comparable-within-python-panel (comparability_audit.md Sec.1),ok
cec2017,10,atmals-gsk,1479,1.473709e+00,2.228603e-01,comparable-within-python-panel (comparability_audit.md Sec.1),ok
cec2017,10,egsk,1479,3.367596e+00,3.007545e+00,provenance-qualified (SciPy-SLSQP Python port; comparability_audit.md Sec.4; no runtime-superiority claim),ok
cec2017,10,dt-gsk,1479,6.921241e+00,1.435827e+00,comparable-within-python-panel (comparability_audit.md Sec.1),ok
cec2017,30,gsk,1479,3.240051e+00,1.509214e+00,comparable-within-python-panel (comparability_audit.md Sec.1),ok
cec2017,30,agsk,1479,9.278325e+00,3.384680e+00,comparable-within-python-panel (comparability_audit.md Sec.1),ok
cec2017,30,apgsk,1479,1.446872e+01,4.437373e+00,provenance-qualified (post-freeze recovery re-run; cross-session wall-clock treated as measurement noise; no runtime-superiority claim),ok
cec2017,30,fdb-agsk,1479,8.486250e+00,1.482212e+00,comparable-within-python-panel (comparability_audit.md Sec.1),ok
cec2017,30,atmals-gsk,1479,8.247817e+00,1.715695e+00,comparable-within-python-panel (comparability_audit.md Sec.1),ok
cec2017,30,egsk,1479,1.346996e+01,1.024357e+01,provenance-qualified (SciPy-SLSQP Python port; comparability_audit.md Sec.4; no runtime-superiority claim),ok
cec2017,30,dt-gsk,1479,1.906192e+01,4.157950e+00,comparable-within-python-panel (comparability_audit.md Sec.1),ok
cec2017,50,gsk,1479,8.693697e+00,4.503488e+00,comparable-within-python-panel (comparability_audit.md Sec.1),ok
cec2017,50,agsk,1479,1.805382e+01,5.006337e+00,comparable-within-python-panel (comparability_audit.md Sec.1),ok
cec2017,50,apgsk,1479,2.406190e+01,4.944362e+00,provenance-qualified (post-freeze recovery re-run; cross-session wall-clock treated as measurement noise; no runtime-superiority claim),ok
cec2017,50,fdb-agsk,1479,1.876340e+01,8.134629e+00,comparable-within-python-panel (comparability_audit.md Sec.1),ok
cec2017,50,atmals-gsk,1479,1.909735e+01,3.192307e+00,comparable-within-python-panel (comparability_audit.md Sec.1),ok
cec2017,50,egsk,1479,2.281693e+01,1.791883e+01,provenance-qualified (SciPy-SLSQP Python port; comparability_audit.md Sec.4; no runtime-superiority claim),ok
cec2017,50,dt-gsk,1479,4.240416e+01,1.559976e+01,comparable-within-python-panel (comparability_audit.md Sec.1),ok
cec2017,100,gsk,1479,4.097884e+01,2.597098e+01,comparable-within-python-panel (comparability_audit.md Sec.1),ok
cec2017,100,agsk,1479,5.888480e+01,1.942641e+01,comparable-within-python-panel (comparability_audit.md Sec.1),ok
cec2017,100,apgsk,1479,4.711227e+01,1.442883e+01,comparable-within-python-panel (comparability_audit.md Sec.1),ok
cec2017,100,fdb-agsk,1479,7.002011e+01,1.844640e+01,comparable-within-python-panel (comparability_audit.md Sec.1),ok
cec2017,100,atmals-gsk,1479,8.268245e+01,1.991386e+01,comparable-within-python-panel (comparability_audit.md Sec.1),ok
cec2017,100,egsk,1479,7.129240e+01,4.703657e+01,provenance-qualified (SciPy-SLSQP Python port; comparability_audit.md Sec.4; no runtime-superiority claim),ok
cec2017,100,dt-gsk,1479,7.608279e+01,2.651829e+01,comparable-within-python-panel (comparability_audit.md Sec.1),ok
cec2013,10,gsk,1428,5.461323e-01,2.513855e-01,comparable-within-python-panel (comparability_audit.md Sec.1),ok
cec2013,10,agsk,1428,1.602657e+00,7.106526e-01,comparable-within-python-panel (comparability_audit.md Sec.1),ok
cec2013,10,apgsk,1428,4.141767e+00,1.663987e+00,comparable-within-python-panel (comparability_audit.md Sec.1),ok
cec2013,10,fdb-agsk,1428,3.128146e+00,1.656284e+00,comparable-within-python-panel (comparability_audit.md Sec.1),ok
cec2013,10,atmals-gsk,1428,2.350030e+00,6.986046e-01,comparable-within-python-panel (comparability_audit.md Sec.1),ok
cec2013,10,egsk,1428,2.437582e+00,2.305247e+00,provenance-qualified (SciPy-SLSQP Python port; comparability_audit.md Sec.4; no runtime-superiority claim),ok
cec2013,10,dt-gsk,1428,7.267939e+00,1.785905e+00,comparable-within-python-panel (comparability_audit.md Sec.1),ok
cec2013,30,gsk,1428,2.919968e+00,2.196505e+00,comparable-within-python-panel (comparability_audit.md Sec.1),ok
cec2013,30,agsk,1428,6.830331e+00,4.218183e+00,comparable-within-python-panel (comparability_audit.md Sec.1),ok
cec2013,30,apgsk,1428,1.456064e+01,7.505854e+00,comparable-within-python-panel (comparability_audit.md Sec.1),ok
cec2013,30,fdb-agsk,1428,1.461370e+01,4.756276e+00,comparable-within-python-panel (comparability_audit.md Sec.1),ok
cec2013,30,atmals-gsk,1428,1.147309e+01,3.531487e+00,comparable-within-python-panel (comparability_audit.md Sec.1),ok
cec2013,30,egsk,1428,1.247500e+01,1.049547e+01,provenance-qualified (SciPy-SLSQP Python port; comparability_audit.md Sec.4; no runtime-superiority claim),ok
cec2013,30,dt-gsk,1428,2.111651e+01,5.470998e+00,comparable-within-python-panel (comparability_audit.md Sec.1),ok
cec2013,50,gsk,1428,7.817386e+00,6.754338e+00,comparable-within-python-panel (comparability_audit.md Sec.1),ok
cec2013,50,agsk,1428,2.172161e+01,1.761744e+01,comparable-within-python-panel (comparability_audit.md Sec.1),ok
cec2013,50,apgsk,1428,2.895000e+01,1.634343e+01,comparable-within-python-panel (comparability_audit.md Sec.1),ok
cec2013,50,fdb-agsk,1428,2.575969e+01,1.210505e+01,comparable-within-python-panel (comparability_audit.md Sec.1),ok
cec2013,50,atmals-gsk,1428,2.650127e+01,9.241228e+00,comparable-within-python-panel (comparability_audit.md Sec.1),ok
cec2013,50,egsk,1428,2.545021e+01,2.170003e+01,provenance-qualified (SciPy-SLSQP Python port; comparability_audit.md Sec.4; no runtime-superiority claim),ok
cec2013,50,dt-gsk,1428,4.552772e+01,1.985937e+01,comparable-within-python-panel (comparability_audit.md Sec.1),ok
cec2011,0,gsk,550,5.420236e+01,8.870279e+01,comparable-within-python-panel (comparability_audit.md Sec.1),ok
cec2011,0,agsk,550,5.636491e+01,8.820983e+01,comparable-within-python-panel (comparability_audit.md Sec.1),ok
cec2011,0,apgsk,550,6.341165e+01,9.669098e+01,comparable-within-python-panel (comparability_audit.md Sec.1),ok
cec2011,0,fdb-agsk,550,6.152009e+01,9.641146e+01,comparable-within-python-panel (comparability_audit.md Sec.1),ok
cec2011,0,atmals-gsk,550,5.953046e+01,9.047417e+01,comparable-within-python-panel (comparability_audit.md Sec.1),ok
cec2011,0,egsk,550,4.759380e+01,6.968742e+01,provenance-qualified (SciPy-SLSQP Python port; comparability_audit.md Sec.4; no runtime-superiority claim),ok
cec2011,0,dt-gsk,550,6.745362e+01,9.465060e+01,comparable-within-python-panel (comparability_audit.md Sec.1),ok
