suite,dimension,function,category,difficulty_tercile,ismgsk_standing,selection_reason,selected_for_main
cec2017,30,1,unimodal,easy,comparable,not_selected,FALSE
cec2017,30,3,unimodal,easy,strong,"priority_4_(easy,strong)",TRUE
cec2017,30,4,simple_multimodal,easy,weak,not_selected,FALSE
cec2017,30,5,simple_multimodal,moderate,strong,not_selected,FALSE
cec2017,30,6,simple_multimodal,easy,comparable,not_selected,FALSE
cec2017,30,7,simple_multimodal,moderate,strong,not_selected,FALSE
cec2017,30,8,simple_multimodal,moderate,strong,not_selected,FALSE
cec2017,30,9,simple_multimodal,easy,comparable,not_selected,FALSE
cec2017,30,10,simple_multimodal,hard,comparable,"priority_2_(hard,comparable)",TRUE
cec2017,30,11,hybrid,easy,strong,not_selected,FALSE
cec2017,30,12,hybrid,hard,comparable,"priority_2_(hard,comparable)",TRUE
cec2017,30,13,hybrid,moderate,strong,not_selected,FALSE
cec2017,30,14,hybrid,easy,strong,not_selected,FALSE
cec2017,30,15,hybrid,easy,strong,not_selected,FALSE
cec2017,30,16,hybrid,hard,strong,not_selected,FALSE
cec2017,30,17,hybrid,moderate,strong,not_selected,FALSE
cec2017,30,18,hybrid,easy,strong,not_selected,FALSE
cec2017,30,19,hybrid,easy,strong,not_selected,FALSE
cec2017,30,20,hybrid,moderate,strong,not_selected,FALSE
cec2017,30,21,composition,moderate,strong,not_selected,FALSE
cec2017,30,22,composition,moderate,comparable,not_selected,FALSE
cec2017,30,23,composition,hard,strong,not_selected,FALSE
cec2017,30,24,composition,hard,strong,not_selected,FALSE
cec2017,30,25,composition,moderate,comparable,not_selected,FALSE
cec2017,30,26,composition,hard,weak,"priority_1_(hard,weak)",TRUE
cec2017,30,27,composition,hard,strong,not_selected,FALSE
cec2017,30,28,composition,moderate,comparable,not_selected,FALSE
cec2017,30,29,composition,hard,strong,not_selected,FALSE
cec2017,30,30,composition,hard,strong,not_selected,FALSE
