suite,dimension,function,algorithm,best,median,mean,worst,sd,source_path
cec2017,30,1,gsk,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,cec2017/gsk/gsk_cec2017_D30.csv
cec2017,30,1,agsk,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,cec2017/agsk/agsk_cec2017_D30.csv
cec2017,30,1,apgsk,0.000000e+00,7.825602e-08,5.445915e-06,1.225353e-04,1.825254e-05,cec2017/apgsk/apgsk_cec2017_D30.csv
cec2017,30,1,fdb-agsk,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,cec2017/fdb-agsk/fdb-agsk_cec2017_D30.csv
cec2017,30,1,atmals-gsk,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,cec2017/atmals-gsk/atmals-gsk_cec2017_D30.csv
cec2017,30,1,egsk,0.000000e+00,0.000000e+00,1.408343e-01,7.182543e+00,1.005757e+00,cec2017/egsk/egsk_cec2017_D30.csv
cec2017,30,1,dt-gsk,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,cec2017/dt-gsk/dt-gsk_cec2017_D30.csv
cec2017,30,3,gsk,0.000000e+00,1.301240e-08,3.360805e-08,3.376965e-07,6.217708e-08,cec2017/gsk/gsk_cec2017_D30.csv
cec2017,30,3,agsk,0.000000e+00,1.936441e-04,1.242266e-02,2.522497e-01,4.624697e-02,cec2017/agsk/agsk_cec2017_D30.csv
cec2017,30,3,apgsk,9.305791e-05,1.392759e-01,6.837591e-01,5.623211e+00,1.182863e+00,cec2017/apgsk/apgsk_cec2017_D30.csv
cec2017,30,3,fdb-agsk,3.834794e-07,1.464090e-03,7.824140e-02,2.083084e+00,3.164833e-01,cec2017/fdb-agsk/fdb-agsk_cec2017_D30.csv
cec2017,30,3,atmals-gsk,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,cec2017/atmals-gsk/atmals-gsk_cec2017_D30.csv
cec2017,30,3,egsk,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,cec2017/egsk/egsk_cec2017_D30.csv
cec2017,30,3,dt-gsk,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,cec2017/dt-gsk/dt-gsk_cec2017_D30.csv
cec2017,30,4,gsk,3.687634e-06,3.987931e+00,5.032587e+00,7.235846e+01,1.387453e+01,cec2017/gsk/gsk_cec2017_D30.csv
cec2017,30,4,agsk,3.679519e-07,3.986624e+00,7.935848e+00,5.856156e+01,1.629388e+01,cec2017/agsk/agsk_cec2017_D30.csv
cec2017,30,4,apgsk,1.691509e-04,5.444887e-01,4.605692e+00,6.933112e+01,1.336090e+01,cec2017/apgsk/apgsk_cec2017_D30.csv
cec2017,30,4,fdb-agsk,1.237324e-05,5.856156e+01,3.617866e+01,1.110140e+02,3.323491e+01,cec2017/fdb-agsk/fdb-agsk_cec2017_D30.csv
cec2017,30,4,atmals-gsk,0.000000e+00,3.986624e+00,5.929577e+00,6.411740e+01,1.436613e+01,cec2017/atmals-gsk/atmals-gsk_cec2017_D30.csv
cec2017,30,4,egsk,0.000000e+00,3.986624e+00,6.499621e+00,7.188897e+01,1.599080e+01,cec2017/egsk/egsk_cec2017_D30.csv
cec2017,30,4,dt-gsk,1.155591e-03,4.011175e+00,1.514117e+01,7.362884e+01,2.564513e+01,cec2017/dt-gsk/dt-gsk_cec2017_D30.csv
cec2017,30,5,gsk,1.159407e+02,1.617959e+02,1.587908e+02,1.752183e+02,1.231623e+01,cec2017/gsk/gsk_cec2017_D30.csv
cec2017,30,5,agsk,6.980499e+01,9.240314e+01,9.219351e+01,1.143736e+02,1.080798e+01,cec2017/agsk/agsk_cec2017_D30.csv
cec2017,30,5,apgsk,6.584468e+01,1.152644e+02,1.132089e+02,1.409701e+02,1.581431e+01,cec2017/apgsk/apgsk_cec2017_D30.csv
cec2017,30,5,fdb-agsk,5.667772e+01,7.052457e+01,7.159968e+01,9.418200e+01,8.178287e+00,cec2017/fdb-agsk/fdb-agsk_cec2017_D30.csv
