suite,dimension,algorithm,mean_rank,ordinal_position
cec2017,10,gsk,5.517241e+00,7
cec2017,10,agsk,3.051724e+00,2
cec2017,10,apgsk,3.568966e+00,4
cec2017,10,fdb-agsk,3.448276e+00,3
cec2017,10,atmals-gsk,5.293103e+00,6
cec2017,10,egsk,4.241379e+00,5
cec2017,10,dt-gsk,2.879310e+00,1
cec2017,30,gsk,4.500000e+00,5
cec2017,30,agsk,4.689655e+00,6
cec2017,30,apgsk,5.413793e+00,7
cec2017,30,fdb-agsk,4.413793e+00,4
cec2017,30,atmals-gsk,4.189655e+00,3
cec2017,30,egsk,2.293103e+00,1
cec2017,30,dt-gsk,2.500000e+00,2
cec2017,50,gsk,4.758621e+00,5
cec2017,50,agsk,4.793103e+00,6
cec2017,50,apgsk,5.344828e+00,7
cec2017,50,fdb-agsk,3.965517e+00,3
cec2017,50,atmals-gsk,4.310345e+00,4
cec2017,50,egsk,2.620690e+00,2
cec2017,50,dt-gsk,2.206897e+00,1
cec2017,100,gsk,4.034483e+00,4
cec2017,100,agsk,4.827586e+00,6
cec2017,100,apgsk,5.896552e+00,7
cec2017,100,fdb-agsk,4.551724e+00,5
cec2017,100,atmals-gsk,3.655172e+00,3
cec2017,100,egsk,2.689655e+00,2
cec2017,100,dt-gsk,2.344828e+00,1
