suite,dimension,function,comparator,p_paired_raw,p_paired_holm,decision_paired,p_unpaired_raw,p_unpaired_holm,decision_unpaired,transition
cec2017,10,1,gsk,1.000000e+00,1.000000e+00,tie,1.000000e+00,1.000000e+00,tie,none
cec2017,10,3,gsk,1.000000e+00,1.000000e+00,tie,1.000000e+00,1.000000e+00,tie,none
cec2017,10,4,gsk,1.000000e+00,1.000000e+00,tie,1.000000e+00,1.000000e+00,tie,none
cec2017,10,5,gsk,5.322937e-10,1.543652e-08,win,2.203417e-18,6.169569e-17,win,none
cec2017,10,6,gsk,1.426620e-02,1.569281e-01,tie,3.473685e-03,4.168422e-02,loss,ns_to_sig
cec2017,10,7,gsk,5.322937e-10,1.543652e-08,win,3.303682e-18,8.259204e-17,win,none
cec2017,10,8,gsk,5.322937e-10,1.543652e-08,win,2.595511e-18,7.007880e-17,win,none
cec2017,10,9,gsk,1.000000e+00,1.000000e+00,tie,1.000000e+00,1.000000e+00,tie,none
cec2017,10,10,gsk,5.322937e-10,1.543652e-08,win,3.303682e-18,8.259204e-17,win,none
cec2017,10,11,gsk,7.262863e-01,1.000000e+00,tie,1.703726e-01,1.000000e+00,tie,none
cec2017,10,12,gsk,6.160330e-01,1.000000e+00,tie,4.065619e-01,1.000000e+00,tie,none
cec2017,10,13,gsk,1.366751e-09,2.870177e-08,win,2.250818e-13,4.501637e-12,win,none
cec2017,10,14,gsk,5.322937e-10,1.543652e-08,win,1.704132e-19,4.941983e-18,win,none
cec2017,10,15,gsk,7.242270e-03,8.690724e-02,tie,1.036988e-04,1.348085e-03,win,ns_to_sig
cec2017,10,16,gsk,2.732681e-09,5.465362e-08,win,5.706302e-12,1.027134e-10,win,none
cec2017,10,17,gsk,5.649717e-10,1.543652e-08,win,6.107805e-18,1.404795e-16,win,none
cec2017,10,18,gsk,7.111949e-01,1.000000e+00,tie,2.309191e-01,1.000000e+00,tie,none
cec2017,10,19,gsk,5.396753e-09,1.025383e-07,win,1.892746e-12,3.596218e-11,win,none
cec2017,10,20,gsk,8.948368e-07,1.431739e-05,win,1.215930e-09,1.945489e-08,win,none
cec2017,10,21,gsk,3.938786e-05,5.514301e-04,win,5.844663e-08,8.766995e-07,win,none
cec2017,10,22,gsk,2.592415e-07,4.666346e-06,win,1.997500e-11,3.395751e-10,win,none
cec2017,10,23,gsk,5.322937e-10,1.543652e-08,win,3.073188e-18,7.990290e-17,win,none
cec2017,10,24,gsk,6.004622e-07,1.020786e-05,win,5.709280e-14,1.198949e-12,win,none
cec2017,10,25,gsk,4.808836e-03,6.251487e-02,tie,9.752239e-02,9.752239e-01,tie,none
cec2017,10,26,gsk,1.000000e+00,1.000000e+00,tie,3.268926e-01,1.000000e+00,tie,none
