suite,dimension,comparator,n_functions,n_sig_holm,n_sig_bh,n_decisions_differing,differing_functions,bh_removes_holm_rejection
cec2017,10,gsk,29,16,19,3,F6;F15;F25,no
cec2017,10,agsk,29,19,21,2,F14;F26,no
cec2017,10,apgsk,29,20,21,1,F15,no
cec2017,10,fdb-agsk,29,21,24,3,F12;F13;F20,no
cec2017,10,atmals-gsk,29,16,17,1,F6,no
cec2017,10,egsk,29,15,17,2,F6;F21,no
cec2017,30,gsk,29,18,18,0,none,no
cec2017,30,agsk,29,22,22,0,none,no
cec2017,30,apgsk,29,26,26,0,none,no
cec2017,30,fdb-agsk,29,25,26,1,F30,no
cec2017,30,atmals-gsk,29,19,20,1,F27,no
cec2017,30,egsk,29,14,14,0,none,no
cec2017,50,gsk,29,23,24,1,F23,no
cec2017,50,agsk,29,27,27,0,none,no
cec2017,50,apgsk,29,27,27,0,none,no
cec2017,50,fdb-agsk,29,25,25,0,none,no
cec2017,50,atmals-gsk,29,25,26,1,F12,no
cec2017,50,egsk,29,17,22,5,F9;F14;F26;F27;F30,no
cec2017,100,gsk,29,22,22,0,none,no
cec2017,100,agsk,29,23,25,2,F4;F19,no
cec2017,100,apgsk,29,25,26,1,F25,no
cec2017,100,fdb-agsk,29,22,23,1,F25,no
cec2017,100,atmals-gsk,29,23,23,0,none,no
cec2017,100,egsk,29,23,24,1,F21,no
