suite,dimension,function,comparator,test_level,n_pairs,statistic,p_raw,p_bh,outcome,availability
cec2017,50,1,gsk,per_function_runlevel,51,0.000000e+00,5.322937e-10,1.403320e-09,win,ok
cec2017,50,1,agsk,per_function_runlevel,51,1.990000e+02,1.396344e-05,1.557460e-05,win,ok
cec2017,50,1,apgsk,per_function_runlevel,51,1.000000e+00,5.649717e-10,1.242038e-09,win,ok
cec2017,50,1,fdb-agsk,per_function_runlevel,51,5.760000e+02,4.174776e-01,4.656481e-01,tie,ok
cec2017,50,1,atmals-gsk,per_function_runlevel,51,0.000000e+00,5.322937e-10,2.048023e-09,loss,ok
cec2017,50,1,egsk,per_function_runlevel,51,1.650000e+02,3.115254e-06,9.034236e-06,win,ok
cec2017,50,3,gsk,per_function_runlevel,51,0.000000e+00,5.322937e-10,1.403320e-09,win,ok
cec2017,50,3,agsk,per_function_runlevel,51,0.000000e+00,5.322937e-10,1.230191e-09,win,ok
cec2017,50,3,apgsk,per_function_runlevel,51,0.000000e+00,5.322937e-10,1.242038e-09,win,ok
cec2017,50,3,fdb-agsk,per_function_runlevel,51,0.000000e+00,5.322937e-10,1.170299e-09,win,ok
cec2017,50,3,atmals-gsk,per_function_runlevel,51,5.700000e+01,6.764582e-05,9.341566e-05,win,ok
cec2017,50,3,egsk,per_function_runlevel,51,0.000000e+00,2.526313e-03,4.309592e-03,loss,ok
cec2017,50,4,gsk,per_function_runlevel,51,5.870000e+02,4.791335e-01,4.962454e-01,tie,ok
cec2017,50,4,agsk,per_function_runlevel,51,2.050000e+02,8.744268e-05,9.391991e-05,loss,ok
cec2017,50,4,apgsk,per_function_runlevel,51,5.800000e+02,5.821569e-01,5.821569e-01,tie,ok
cec2017,50,4,fdb-agsk,per_function_runlevel,51,6.190000e+02,8.620549e-01,8.620549e-01,tie,ok
cec2017,50,4,atmals-gsk,per_function_runlevel,51,2.825000e+02,1.046932e-03,1.214441e-03,loss,ok
cec2017,50,4,egsk,per_function_runlevel,51,4.800000e+01,2.025503e-08,9.804317e-08,loss,ok
cec2017,50,5,gsk,per_function_runlevel,51,0.000000e+00,5.322937e-10,1.403320e-09,win,ok
cec2017,50,5,agsk,per_function_runlevel,51,0.000000e+00,5.322937e-10,1.230191e-09,win,ok
cec2017,50,5,apgsk,per_function_runlevel,51,0.000000e+00,5.322937e-10,1.242038e-09,win,ok
cec2017,50,5,fdb-agsk,per_function_runlevel,51,0.000000e+00,5.322937e-10,1.170299e-09,win,ok
cec2017,50,5,atmals-gsk,per_function_runlevel,51,0.000000e+00,5.322937e-10,2.048023e-09,win,ok
cec2017,50,5,egsk,per_function_runlevel,51,5.560000e+02,3.181464e-01,3.548556e-01,tie,ok
cec2017,50,6,gsk,per_function_runlevel,51,0.000000e+00,5.322937e-10,1.403320e-09,loss,ok
cec2017,50,6,agsk,per_function_runlevel,51,4.600000e+01,7.549138e-09,1.094625e-08,win,ok
cec2017,50,6,apgsk,per_function_runlevel,51,1.400000e+01,1.216238e-09,2.074758e-09,win,ok
cec2017,50,6,fdb-agsk,per_function_runlevel,51,3.650000e+02,5.293654e-03,6.140639e-03,win,ok
cec2017,50,6,atmals-gsk,per_function_runlevel,51,1.000000e+01,9.621213e-10,2.413533e-09,win,ok
cec2017,50,6,egsk,per_function_runlevel,51,5.100000e+01,9.961999e-09,9.629932e-08,loss,ok
cec2017,50,7,gsk,per_function_runlevel,51,0.000000e+00,5.322937e-10,1.403320e-09,win,ok
cec2017,50,7,agsk,per_function_runlevel,51,0.000000e+00,5.322937e-10,1.230191e-09,win,ok
cec2017,50,7,apgsk,per_function_runlevel,51,0.000000e+00,5.322937e-10,1.242038e-09,win,ok
cec2017,50,7,fdb-agsk,per_function_runlevel,51,0.000000e+00,5.322937e-10,1.170299e-09,win,ok
cec2017,50,7,atmals-gsk,per_function_runlevel,51,1.100000e+01,1.020312e-09,2.413533e-09,win,ok
cec2017,50,7,egsk,per_function_runlevel,51,4.490000e+02,4.536691e-02,5.720176e-02,tie,ok
cec2017,50,8,gsk,per_function_runlevel,51,0.000000e+00,5.322937e-10,1.403320e-09,win,ok
cec2017,50,8,agsk,per_function_runlevel,51,0.000000e+00,5.322937e-10,1.230191e-09,win,ok
