suite,dimension,function,algorithm,checkpoint_nfes,mean_error,n_runs,availability
cec2011,6,1,gsk,1500,2.572152e+01,25,ok
cec2011,6,1,gsk,3000,2.460811e+01,25,ok
cec2011,6,1,gsk,4500,2.408862e+01,25,ok
cec2011,6,1,gsk,7500,2.343767e+01,25,ok
cec2011,6,1,gsk,15000,2.246149e+01,25,ok
cec2011,6,1,gsk,30000,2.006324e+01,25,ok
cec2011,6,1,gsk,45000,1.756556e+01,25,ok
cec2011,6,1,gsk,60000,1.528958e+01,25,ok
cec2011,6,1,gsk,75000,1.295720e+01,25,ok
cec2011,6,1,gsk,90000,1.130421e+01,25,ok
cec2011,6,1,gsk,105000,8.366211e+00,25,ok
cec2011,6,1,gsk,120000,5.882285e+00,25,ok
cec2011,6,1,gsk,135000,4.738484e+00,25,ok
cec2011,6,1,gsk,150000,3.296958e+00,25,ok
cec2011,6,1,agsk,1500,2.789433e+01,25,ok
cec2011,6,1,agsk,3000,2.615461e+01,25,ok
cec2011,6,1,agsk,4500,2.477991e+01,25,ok
cec2011,6,1,agsk,7500,2.303560e+01,25,ok
cec2011,6,1,agsk,15000,2.042367e+01,25,ok
cec2011,6,1,agsk,30000,1.463310e+01,25,ok
cec2011,6,1,agsk,45000,1.241954e+01,25,ok
cec2011,6,1,agsk,60000,1.070322e+01,25,ok
cec2011,6,1,agsk,75000,9.183052e+00,25,ok
cec2011,6,1,agsk,90000,8.320051e+00,25,ok
cec2011,6,1,agsk,105000,7.037815e+00,25,ok
cec2011,6,1,agsk,120000,5.853112e+00,25,ok
cec2011,6,1,agsk,135000,4.784156e+00,25,ok
cec2011,6,1,agsk,150000,3.797766e+00,25,ok
cec2011,6,1,apgsk,1500,2.776928e+01,25,ok
cec2011,6,1,apgsk,3000,2.580726e+01,25,ok
cec2011,6,1,apgsk,4500,2.461844e+01,25,ok
cec2011,6,1,apgsk,7500,2.267263e+01,25,ok
cec2011,6,1,apgsk,15000,1.953599e+01,25,ok
cec2011,6,1,apgsk,30000,1.581585e+01,25,ok
cec2011,6,1,apgsk,45000,1.313975e+01,25,ok
cec2011,6,1,apgsk,60000,1.155046e+01,25,ok
cec2011,6,1,apgsk,75000,9.942558e+00,25,ok
cec2011,6,1,apgsk,90000,8.222731e+00,25,ok
