suite,dimension,function,comparator,n_runs,mean_diff,ci_low,ci_high,B,seed_scheme,availability
cec2013,10,1,gsk,51,0.000000e+00,n/a,n/a,n/a,n/a,no CI (degenerate cell)
cec2013,10,1,agsk,51,0.000000e+00,n/a,n/a,n/a,n/a,no CI (degenerate cell)
cec2013,10,1,apgsk,51,0.000000e+00,n/a,n/a,n/a,n/a,no CI (degenerate cell)
cec2013,10,1,fdb-agsk,51,0.000000e+00,n/a,n/a,n/a,n/a,no CI (degenerate cell)
cec2013,10,1,atmals-gsk,51,0.000000e+00,n/a,n/a,n/a,n/a,no CI (degenerate cell)
cec2013,10,1,egsk,51,0.000000e+00,n/a,n/a,n/a,n/a,no CI (degenerate cell)
cec2013,10,2,gsk,51,-2.622543e-02,-3.186085e-02,-2.210710e-02,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2013,10,2,agsk,51,-7.997214e-01,-1.707640e+00,-3.449489e-01,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2013,10,2,apgsk,51,-7.619464e+02,-1.961424e+03,-3.853229e+02,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2013,10,2,fdb-agsk,51,-3.056903e+01,-1.222703e+02,-6.340803e+00,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2013,10,2,atmals-gsk,51,1.386639e-03,3.284217e-04,5.312409e-03,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2013,10,2,egsk,51,1.392327e-03,3.414664e-04,5.748895e-03,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2013,10,3,gsk,51,6.326501e-01,3.165178e-01,1.255762e+00,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2013,10,3,agsk,51,-1.340965e+03,-2.771034e+03,-6.539093e+02,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2013,10,3,apgsk,51,-2.452250e+04,-1.042617e+05,-6.199066e+03,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2013,10,3,fdb-agsk,51,-7.727224e+04,-1.097151e+05,-5.475571e+04,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2013,10,3,atmals-gsk,51,6.453448e-01,3.299386e-01,1.233455e+00,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2013,10,3,egsk,51,6.613847e-01,3.591912e-01,1.238895e+00,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2013,10,4,gsk,51,-7.332486e-04,-8.899029e-04,-6.351705e-04,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2013,10,4,agsk,51,-6.401735e-03,-9.986783e-03,-4.148395e-03,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2013,10,4,apgsk,51,-1.073726e+01,-1.551759e+01,-7.769895e+00,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2013,10,4,fdb-agsk,51,-1.002820e-02,-2.051378e-02,-4.818594e-03,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2013,10,4,atmals-gsk,51,-1.028169e-07,-3.046703e-07,-3.040068e-08,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2013,10,4,egsk,51,1.790027e-09,2.074667e-10,6.693447e-09,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2013,10,5,gsk,51,0.000000e+00,n/a,n/a,n/a,n/a,no CI (degenerate cell)
cec2013,10,5,agsk,51,0.000000e+00,n/a,n/a,n/a,n/a,no CI (degenerate cell)
cec2013,10,5,apgsk,51,0.000000e+00,n/a,n/a,n/a,n/a,no CI (degenerate cell)
cec2013,10,5,fdb-agsk,51,0.000000e+00,n/a,n/a,n/a,n/a,no CI (degenerate cell)
cec2013,10,5,atmals-gsk,51,0.000000e+00,n/a,n/a,n/a,n/a,no CI (degenerate cell)
cec2013,10,5,egsk,51,0.000000e+00,n/a,n/a,n/a,n/a,no CI (degenerate cell)
cec2013,10,6,gsk,51,-5.869706e+00,-7.204987e+00,-4.318803e+00,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2013,10,6,agsk,51,1.249110e+00,1.097651e-02,2.511205e+00,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2013,10,6,apgsk,51,1.826312e+00,9.856382e-01,3.001745e+00,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2013,10,6,fdb-agsk,51,1.623996e+00,6.511743e-01,2.861351e+00,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2013,10,6,atmals-gsk,51,-4.522903e+00,-6.038995e+00,-2.704041e+00,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2013,10,6,egsk,51,-5.677306e+00,-7.014129e+00,-4.023761e+00,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2013,10,7,gsk,51,1.223641e-01,8.808204e-02,1.967051e-01,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2013,10,7,agsk,51,-1.024353e+00,-2.043864e+00,-6.416043e-01,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2013,10,7,apgsk,51,-5.496103e+00,-8.244659e+00,-3.950895e+00,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2013,10,7,fdb-agsk,51,-4.324351e+00,-5.654164e+00,-3.264139e+00,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2013,10,7,atmals-gsk,51,1.221245e-01,8.740097e-02,1.971897e-01,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2013,10,7,egsk,51,1.223870e-01,8.823460e-02,1.973595e-01,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2013,10,8,gsk,51,-1.155148e-02,-4.155137e-02,1.616934e-02,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2013,10,8,agsk,51,-2.752936e-02,-5.644572e-02,2.581360e-03,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2013,10,8,apgsk,51,-1.629778e-02,-4.433065e-02,1.397456e-02,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2013,10,8,fdb-agsk,51,-1.374595e-02,-4.670947e-02,2.081770e-02,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2013,10,8,atmals-gsk,51,-1.049085e-02,-3.570241e-02,1.486167e-02,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2013,10,8,egsk,51,3.467628e-02,6.266610e-03,7.099945e-02,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2013,10,9,gsk,51,-2.545662e+00,-3.229370e+00,-1.803848e+00,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2013,10,9,agsk,51,-2.032502e+00,-2.525235e+00,-1.583682e+00,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2013,10,9,apgsk,51,-1.730205e+00,-2.176863e+00,-1.320995e+00,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2013,10,9,fdb-agsk,51,-1.756052e+00,-2.214380e+00,-1.335458e+00,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2013,10,9,atmals-gsk,51,-1.734947e+00,-2.290647e+00,-1.145259e+00,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
