suite,dimension,function,comparator,n_runs,a12,cliffs_delta,magnitude,availability
cec2013,10,1,gsk,51,5.000000e-01,0.000000e+00,negligible,ok
cec2013,10,1,agsk,51,5.000000e-01,0.000000e+00,negligible,ok
cec2013,10,1,apgsk,51,5.000000e-01,0.000000e+00,negligible,ok
cec2013,10,1,fdb-agsk,51,5.000000e-01,0.000000e+00,negligible,ok
cec2013,10,1,atmals-gsk,51,5.000000e-01,0.000000e+00,negligible,ok
cec2013,10,1,egsk,51,5.000000e-01,0.000000e+00,negligible,ok
cec2013,10,2,gsk,51,9.819300e-01,9.638601e-01,large,ok
cec2013,10,2,agsk,51,9.665513e-01,9.331027e-01,large,ok
cec2013,10,2,apgsk,51,1.000000e+00,1.000000e+00,large,ok
cec2013,10,2,fdb-agsk,51,9.819300e-01,9.638601e-01,large,ok
cec2013,10,2,atmals-gsk,51,4.530950e-01,-9.381007e-02,negligible,ok
cec2013,10,2,egsk,51,1.568627e-01,-6.862745e-01,large,ok
cec2013,10,3,gsk,51,2.245290e-01,-5.509419e-01,large,ok
cec2013,10,3,agsk,51,7.839293e-01,5.678585e-01,large,ok
cec2013,10,3,apgsk,51,9.004229e-01,8.008458e-01,large,ok
cec2013,10,3,fdb-agsk,51,9.830834e-01,9.661669e-01,large,ok
cec2013,10,3,atmals-gsk,51,1.095732e-01,-7.808535e-01,large,ok
cec2013,10,3,egsk,51,5.190311e-02,-8.961938e-01,large,ok
cec2013,10,4,gsk,51,1.000000e+00,1.000000e+00,large,ok
cec2013,10,4,agsk,51,1.000000e+00,1.000000e+00,large,ok
cec2013,10,4,apgsk,51,1.000000e+00,1.000000e+00,large,ok
cec2013,10,4,fdb-agsk,51,1.000000e+00,1.000000e+00,large,ok
cec2013,10,4,atmals-gsk,51,5.911188e-01,1.822376e-01,small,ok
cec2013,10,4,egsk,51,4.705882e-01,-5.882353e-02,negligible,ok
cec2013,10,5,gsk,51,5.000000e-01,0.000000e+00,negligible,ok
cec2013,10,5,agsk,51,5.000000e-01,0.000000e+00,negligible,ok
cec2013,10,5,apgsk,51,5.000000e-01,0.000000e+00,negligible,ok
cec2013,10,5,fdb-agsk,51,5.000000e-01,0.000000e+00,negligible,ok
cec2013,10,5,atmals-gsk,51,5.000000e-01,0.000000e+00,negligible,ok
cec2013,10,5,egsk,51,5.000000e-01,0.000000e+00,negligible,ok
cec2013,10,6,gsk,51,7.946943e-01,5.893887e-01,large,ok
cec2013,10,6,agsk,51,3.679354e-01,-2.641292e-01,small,ok
cec2013,10,6,apgsk,51,3.333333e-01,-3.333333e-01,medium,ok
cec2013,10,6,fdb-agsk,51,3.952326e-01,-2.095348e-01,small,ok
cec2013,10,6,atmals-gsk,51,7.139562e-01,4.279123e-01,large,ok
cec2013,10,6,egsk,51,7.831603e-01,5.663206e-01,large,ok
cec2013,10,7,gsk,51,0.000000e+00,-1.000000e+00,large,ok
cec2013,10,7,agsk,51,8.811995e-01,7.623991e-01,large,ok
cec2013,10,7,apgsk,51,9.803922e-01,9.607843e-01,large,ok
cec2013,10,7,fdb-agsk,51,9.719339e-01,9.438677e-01,large,ok
cec2013,10,7,atmals-gsk,51,1.922338e-03,-9.961553e-01,large,ok
cec2013,10,7,egsk,51,0.000000e+00,-1.000000e+00,large,ok
cec2013,10,8,gsk,51,5.524798e-01,1.049596e-01,negligible,ok
cec2013,10,8,agsk,51,6.074587e-01,2.149173e-01,small,ok
cec2013,10,8,apgsk,51,5.640138e-01,1.280277e-01,small,ok
cec2013,10,8,fdb-agsk,51,5.667051e-01,1.334102e-01,small,ok
cec2013,10,8,atmals-gsk,51,5.482507e-01,9.650135e-02,negligible,ok
cec2013,10,8,egsk,51,4.048443e-01,-1.903114e-01,small,ok
cec2013,10,9,gsk,51,7.970012e-01,5.940023e-01,large,ok
cec2013,10,9,agsk,51,9.000384e-01,8.000769e-01,large,ok
cec2013,10,9,apgsk,51,8.615917e-01,7.231834e-01,large,ok
cec2013,10,9,fdb-agsk,51,8.669742e-01,7.339485e-01,large,ok
cec2013,10,9,atmals-gsk,51,8.212226e-01,6.424452e-01,large,ok
cec2013,10,9,egsk,51,5.009612e-01,1.922338e-03,negligible,ok
cec2013,10,10,gsk,51,1.000000e+00,1.000000e+00,large,ok
cec2013,10,10,agsk,51,5.728566e-01,1.457132e-01,small,ok
cec2013,10,10,apgsk,51,9.471357e-01,8.942714e-01,large,ok
cec2013,10,10,fdb-agsk,51,7.404844e-01,4.809689e-01,large,ok
cec2013,10,10,atmals-gsk,51,1.000000e+00,1.000000e+00,large,ok
cec2013,10,10,egsk,51,8.906190e-01,7.812380e-01,large,ok
cec2013,10,11,gsk,51,1.000000e+00,1.000000e+00,large,ok
cec2013,10,11,agsk,51,5.000000e-01,0.000000e+00,negligible,ok
cec2013,10,11,apgsk,51,5.000000e-01,0.000000e+00,negligible,ok
cec2013,10,11,fdb-agsk,51,5.000000e-01,0.000000e+00,negligible,ok
cec2013,10,11,atmals-gsk,51,1.000000e+00,1.000000e+00,large,ok
cec2013,10,11,egsk,51,1.000000e+00,1.000000e+00,large,ok
cec2013,10,12,gsk,51,1.000000e+00,1.000000e+00,large,ok
cec2013,10,12,agsk,51,9.946175e-01,9.892349e-01,large,ok
cec2013,10,12,apgsk,51,9.969243e-01,9.938485e-01,large,ok
cec2013,10,12,fdb-agsk,51,9.942330e-01,9.884660e-01,large,ok
cec2013,10,12,atmals-gsk,51,9.707805e-01,9.415609e-01,large,ok
cec2013,10,12,egsk,51,8.560169e-01,7.120338e-01,large,ok
cec2013,10,13,gsk,51,9.996155e-01,9.992311e-01,large,ok
cec2013,10,13,agsk,51,9.527105e-01,9.054210e-01,large,ok
cec2013,10,13,apgsk,51,9.788543e-01,9.577086e-01,large,ok
cec2013,10,13,fdb-agsk,51,8.981161e-01,7.962322e-01,large,ok
cec2013,10,13,atmals-gsk,51,9.584775e-01,9.169550e-01,large,ok
cec2013,10,13,egsk,51,7.462514e-01,4.925029e-01,large,ok
cec2013,10,14,gsk,51,1.000000e+00,1.000000e+00,large,ok
cec2013,10,14,agsk,51,4.382930e-01,-1.234141e-01,small,ok
cec2013,10,14,apgsk,51,6.113033e-01,2.226067e-01,small,ok
cec2013,10,14,fdb-agsk,51,5.736255e-01,1.472511e-01,small,ok
cec2013,10,14,atmals-gsk,51,1.000000e+00,1.000000e+00,large,ok
