suite,dimension,function,algorithm,checkpoint_nfes,mean_error,n_runs,availability
cec2017,50,1,gsk,5000,3.408529e+10,51,ok
cec2017,50,1,gsk,10000,8.385268e+09,51,ok
cec2017,50,1,gsk,15000,1.944850e+09,51,ok
cec2017,50,1,gsk,25000,8.230517e+07,51,ok
cec2017,50,1,gsk,50000,8.667287e+04,51,ok
cec2017,50,1,gsk,100000,1.698655e+03,51,ok
cec2017,50,1,gsk,150000,1.698384e+03,51,ok
cec2017,50,1,gsk,200000,1.698278e+03,51,ok
cec2017,50,1,gsk,250000,1.698168e+03,51,ok
cec2017,50,1,gsk,300000,1.698052e+03,51,ok
cec2017,50,1,gsk,350000,1.697934e+03,51,ok
cec2017,50,1,gsk,400000,1.697819e+03,51,ok
cec2017,50,1,gsk,450000,1.697701e+03,51,ok
cec2017,50,1,gsk,500000,1.697590e+03,51,ok
cec2017,50,1,agsk,5000,1.375997e+11,51,ok
cec2017,50,1,agsk,10000,8.238398e+10,51,ok
cec2017,50,1,agsk,15000,5.014980e+10,51,ok
cec2017,50,1,agsk,25000,2.075552e+10,51,ok
cec2017,50,1,agsk,50000,2.176948e+09,51,ok
cec2017,50,1,agsk,100000,1.629927e+03,51,ok
cec2017,50,1,agsk,150000,1.287282e+03,51,ok
cec2017,50,1,agsk,200000,1.411218e+02,51,ok
cec2017,50,1,agsk,250000,1.000869e+01,51,ok
cec2017,50,1,agsk,300000,2.057608e+00,51,ok
cec2017,50,1,agsk,350000,1.926327e+00,51,ok
cec2017,50,1,agsk,400000,1.925694e+00,51,ok
cec2017,50,1,agsk,450000,1.925440e+00,51,ok
cec2017,50,1,agsk,500000,1.925256e+00,51,ok
cec2017,50,1,apgsk,5000,1.378235e+11,51,ok
cec2017,50,1,apgsk,10000,8.077342e+10,51,ok
cec2017,50,1,apgsk,15000,5.227939e+10,51,ok
cec2017,50,1,apgsk,25000,2.491722e+10,51,ok
cec2017,50,1,apgsk,50000,4.747270e+09,51,ok
cec2017,50,1,apgsk,100000,1.873373e+09,51,ok
cec2017,50,1,apgsk,150000,8.474543e+08,51,ok
cec2017,50,1,apgsk,200000,3.827027e+08,51,ok
