suite,dimension,function,algorithm,best,median,mean,worst,sd,source_path
cec2017,10,1,gsk,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,cec2017/gsk/gsk_cec2017_D10.csv
cec2017,10,1,agsk,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,cec2017/agsk/agsk_cec2017_D10.csv
cec2017,10,1,apgsk,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,cec2017/apgsk/apgsk_cec2017_D10.csv
cec2017,10,1,fdb-agsk,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,cec2017/fdb-agsk/fdb-agsk_cec2017_D10.csv
cec2017,10,1,atmals-gsk,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,cec2017/atmals-gsk/atmals-gsk_cec2017_D10.csv
cec2017,10,1,egsk,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,cec2017/egsk/egsk_cec2017_D10.csv
cec2017,10,1,dt-gsk,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,cec2017/dt-gsk/dt-gsk_cec2017_D10.csv
cec2017,10,3,gsk,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,cec2017/gsk/gsk_cec2017_D10.csv
cec2017,10,3,agsk,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,cec2017/agsk/agsk_cec2017_D10.csv
cec2017,10,3,apgsk,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,cec2017/apgsk/apgsk_cec2017_D10.csv
cec2017,10,3,fdb-agsk,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,cec2017/fdb-agsk/fdb-agsk_cec2017_D10.csv
