suite,dimension,algorithm,mean_rank_full,ordinal_full,lofo_min_mean_rank,lofo_max_mean_rank,ordinal_change_omissions,verdict
cec2017,10,gsk,5.517241e+00,7,5.464286e+00,5.642857e+00,none,agree
cec2017,10,agsk,3.051724e+00,2,2.928571e+00,3.125000e+00,none,agree
cec2017,10,apgsk,3.568966e+00,4,3.446429e+00,3.660714e+00,none,agree
cec2017,10,fdb-agsk,3.448276e+00,3,3.321429e+00,3.535714e+00,none,agree
cec2017,10,atmals-gsk,5.293103e+00,6,5.232143e+00,5.410714e+00,none,agree
cec2017,10,egsk,4.241379e+00,5,4.142857e+00,4.357143e+00,none,agree
cec2017,10,dt-gsk,2.879310e+00,1,2.767857e+00,2.946429e+00,none,agree
cec2017,30,gsk,4.500000e+00,5,4.410714e+00,4.625000e+00,F5;F7;F8;F10;F11;F14;F21;F23;F25,diverge
cec2017,30,agsk,4.689655e+00,6,4.642857e+00,4.785714e+00,none,agree
cec2017,30,apgsk,5.413793e+00,7,5.357143e+00,5.571429e+00,none,agree
cec2017,30,fdb-agsk,4.413793e+00,4,4.321429e+00,4.500000e+00,F5;F7;F8;F10;F11;F14;F21;F23;F25,diverge
cec2017,30,atmals-gsk,4.189655e+00,3,4.089286e+00,4.267857e+00,none,agree
cec2017,30,egsk,2.293103e+00,1,2.125000e+00,2.339286e+00,none,agree
cec2017,30,dt-gsk,2.500000e+00,2,2.375000e+00,2.553571e+00,none,agree
cec2017,50,gsk,4.758621e+00,5,4.678571e+00,4.892857e+00,F6;F9;F11;F12;F15;F18;F19;F23;F24;F26;F29,diverge
cec2017,50,agsk,4.793103e+00,6,4.714286e+00,4.928571e+00,F3;F6;F9;F11;F12;F15;F18;F19;F23;F24;F26;F29,diverge
cec2017,50,apgsk,5.344828e+00,7,5.285714e+00,5.428571e+00,none,agree
cec2017,50,fdb-agsk,3.965517e+00,3,3.857143e+00,4.071429e+00,none,agree
cec2017,50,atmals-gsk,4.310345e+00,4,4.214286e+00,4.428571e+00,none,agree
cec2017,50,egsk,2.620690e+00,2,2.464286e+00,2.678571e+00,none,agree
cec2017,50,dt-gsk,2.206897e+00,1,2.071429e+00,2.250000e+00,none,agree
cec2017,100,gsk,4.034483e+00,4,3.928571e+00,4.142857e+00,none,agree
cec2017,100,agsk,4.827586e+00,6,4.750000e+00,4.928571e+00,none,agree
cec2017,100,apgsk,5.896552e+00,7,5.857143e+00,6.000000e+00,none,agree
cec2017,100,fdb-agsk,4.551724e+00,5,4.464286e+00,4.678571e+00,none,agree
cec2017,100,atmals-gsk,3.655172e+00,3,3.535714e+00,3.750000e+00,none,agree
cec2017,100,egsk,2.689655e+00,2,2.535714e+00,2.750000e+00,none,agree
cec2017,100,dt-gsk,2.344828e+00,1,2.214286e+00,2.392857e+00,none,agree
