suite,dimension,variant,algorithm,mean_rank_v1,ordinal_v1,mean_rank_variant,ordinal_variant,orderings_preserved,verdict
cec2017,10,v2_apgsk_excluded,gsk,5.517241e+00,7,4.689655e+00,6,yes,agree
cec2017,10,v2_apgsk_excluded,agsk,3.051724e+00,2,2.706897e+00,2,yes,agree
cec2017,10,v2_apgsk_excluded,apgsk,3.568966e+00,4,n/a,n/a,yes,agree
cec2017,10,v2_apgsk_excluded,fdb-agsk,3.448276e+00,3,2.982759e+00,3,yes,agree
cec2017,10,v2_apgsk_excluded,atmals-gsk,5.293103e+00,6,4.465517e+00,5,yes,agree
cec2017,10,v2_apgsk_excluded,egsk,4.241379e+00,5,3.655172e+00,4,yes,agree
cec2017,10,v2_apgsk_excluded,dt-gsk,2.879310e+00,1,2.500000e+00,1,yes,agree
cec2017,30,v2_apgsk_excluded,gsk,4.500000e+00,5,4.051724e+00,4,no,diverge
cec2017,30,v2_apgsk_excluded,agsk,4.689655e+00,6,4.448276e+00,6,no,diverge
cec2017,30,v2_apgsk_excluded,apgsk,5.413793e+00,7,n/a,n/a,no,diverge
cec2017,30,v2_apgsk_excluded,fdb-agsk,4.413793e+00,4,4.172414e+00,5,no,diverge
cec2017,30,v2_apgsk_excluded,atmals-gsk,4.189655e+00,3,3.879310e+00,3,no,diverge
cec2017,30,v2_apgsk_excluded,egsk,2.293103e+00,1,2.120690e+00,1,no,diverge
cec2017,30,v2_apgsk_excluded,dt-gsk,2.500000e+00,2,2.327586e+00,2,no,diverge
cec2017,50,v2_apgsk_excluded,gsk,4.758621e+00,5,4.206897e+00,5,yes,agree
cec2017,50,v2_apgsk_excluded,agsk,4.793103e+00,6,4.482759e+00,6,yes,agree
cec2017,50,v2_apgsk_excluded,apgsk,5.344828e+00,7,n/a,n/a,yes,agree
cec2017,50,v2_apgsk_excluded,fdb-agsk,3.965517e+00,3,3.724138e+00,3,yes,agree
cec2017,50,v2_apgsk_excluded,atmals-gsk,4.310345e+00,4,4.000000e+00,4,yes,agree
cec2017,50,v2_apgsk_excluded,egsk,2.620690e+00,2,2.448276e+00,2,yes,agree
cec2017,50,v2_apgsk_excluded,dt-gsk,2.206897e+00,1,2.137931e+00,1,yes,agree
cec2017,10,v2b_egsk_excluded,gsk,5.517241e+00,7,4.810345e+00,6,yes,agree
cec2017,10,v2b_egsk_excluded,agsk,3.051724e+00,2,2.689655e+00,2,yes,agree
cec2017,10,v2b_egsk_excluded,apgsk,3.568966e+00,4,3.155172e+00,4,yes,agree
cec2017,10,v2b_egsk_excluded,fdb-agsk,3.448276e+00,3,3.068966e+00,3,yes,agree
cec2017,10,v2b_egsk_excluded,atmals-gsk,5.293103e+00,6,4.603448e+00,5,yes,agree
cec2017,10,v2b_egsk_excluded,egsk,4.241379e+00,5,n/a,n/a,yes,agree
cec2017,10,v2b_egsk_excluded,dt-gsk,2.879310e+00,1,2.672414e+00,1,yes,agree
cec2017,30,v2b_egsk_excluded,gsk,4.500000e+00,5,3.758621e+00,4,yes,agree
cec2017,30,v2b_egsk_excluded,agsk,4.689655e+00,6,3.827586e+00,5,yes,agree
cec2017,30,v2b_egsk_excluded,apgsk,5.413793e+00,7,4.586207e+00,6,yes,agree
cec2017,30,v2b_egsk_excluded,fdb-agsk,4.413793e+00,4,3.551724e+00,3,yes,agree
cec2017,30,v2b_egsk_excluded,atmals-gsk,4.189655e+00,3,3.362069e+00,2,yes,agree
cec2017,30,v2b_egsk_excluded,egsk,2.293103e+00,1,n/a,n/a,yes,agree
cec2017,30,v2b_egsk_excluded,dt-gsk,2.500000e+00,2,1.913793e+00,1,yes,agree
cec2017,50,v2b_egsk_excluded,gsk,4.758621e+00,5,4.034483e+00,4,yes,agree
cec2017,50,v2b_egsk_excluded,agsk,4.793103e+00,6,4.034483e+00,4,yes,agree
cec2017,50,v2b_egsk_excluded,apgsk,5.344828e+00,7,4.517241e+00,6,yes,agree
cec2017,50,v2b_egsk_excluded,fdb-agsk,3.965517e+00,3,3.241379e+00,2,yes,agree
cec2017,50,v2b_egsk_excluded,atmals-gsk,4.310345e+00,4,3.517241e+00,3,yes,agree
cec2017,50,v2b_egsk_excluded,egsk,2.620690e+00,2,n/a,n/a,yes,agree
cec2017,50,v2b_egsk_excluded,dt-gsk,2.206897e+00,1,1.655172e+00,1,yes,agree
cec2017,100,v2b_egsk_excluded,gsk,4.034483e+00,4,3.344828e+00,3,yes,agree
cec2017,100,v2b_egsk_excluded,agsk,4.827586e+00,6,4.068966e+00,5,yes,agree
cec2017,100,v2b_egsk_excluded,apgsk,5.896552e+00,7,5.068966e+00,6,yes,agree
cec2017,100,v2b_egsk_excluded,fdb-agsk,4.551724e+00,5,3.827586e+00,4,yes,agree
cec2017,100,v2b_egsk_excluded,atmals-gsk,3.655172e+00,3,2.931034e+00,2,yes,agree
cec2017,100,v2b_egsk_excluded,egsk,2.689655e+00,2,n/a,n/a,yes,agree
cec2017,100,v2b_egsk_excluded,dt-gsk,2.344828e+00,1,1.758621e+00,1,yes,agree
