suite,dimension,function,comparator,test_level,n_pairs,statistic,p_raw,p_bh,outcome,availability
cec2017,100,1,gsk,per_function_runlevel,51,0.000000e+00,5.322937e-10,1.365348e-09,win,ok
cec2017,100,1,agsk,per_function_runlevel,51,3.140000e+02,1.088390e-03,1.372318e-03,win,ok
cec2017,100,1,apgsk,per_function_runlevel,51,0.000000e+00,5.322937e-10,8.124482e-10,win,ok
cec2017,100,1,fdb-agsk,per_function_runlevel,51,4.690000e+02,6.971367e-02,8.423736e-02,tie,ok
cec2017,100,1,atmals-gsk,per_function_runlevel,51,5.170000e+02,1.726182e-01,2.085804e-01,tie,ok
cec2017,100,1,egsk,per_function_runlevel,51,2.700000e+01,2.580588e-09,5.345503e-09,win,ok
cec2017,100,3,gsk,per_function_runlevel,51,0.000000e+00,5.322937e-10,1.365348e-09,win,ok
cec2017,100,3,agsk,per_function_runlevel,51,0.000000e+00,5.322937e-10,9.080304e-10,win,ok
cec2017,100,3,apgsk,per_function_runlevel,51,0.000000e+00,5.322937e-10,8.124482e-10,win,ok
cec2017,100,3,fdb-agsk,per_function_runlevel,51,0.000000e+00,5.322937e-10,9.102322e-10,win,ok
cec2017,100,3,atmals-gsk,per_function_runlevel,51,6.540000e+02,9.364960e-01,9.699423e-01,tie,ok
cec2017,100,3,egsk,per_function_runlevel,51,0.000000e+00,5.322937e-10,2.048023e-09,loss,ok
cec2017,100,4,gsk,per_function_runlevel,51,4.770000e+02,8.207372e-02,9.909498e-02,tie,ok
cec2017,100,4,agsk,per_function_runlevel,51,3.930000e+02,1.153209e-02,1.393460e-02,loss,ok
cec2017,100,4,apgsk,per_function_runlevel,51,5.250000e+02,1.974498e-01,2.120757e-01,tie,ok
cec2017,100,4,fdb-agsk,per_function_runlevel,51,5.780000e+02,4.283268e-01,4.436241e-01,tie,ok
cec2017,100,4,atmals-gsk,per_function_runlevel,51,6.200000e+02,6.903558e-01,7.700123e-01,tie,ok
cec2017,100,4,egsk,per_function_runlevel,51,0.000000e+00,5.322937e-10,2.048023e-09,loss,ok
cec2017,100,5,gsk,per_function_runlevel,51,1.580000e+02,2.259941e-06,3.641015e-06,win,ok
cec2017,100,5,agsk,per_function_runlevel,51,0.000000e+00,5.322937e-10,9.080304e-10,win,ok
cec2017,100,5,apgsk,per_function_runlevel,51,0.000000e+00,5.322937e-10,8.124482e-10,win,ok
cec2017,100,5,fdb-agsk,per_function_runlevel,51,0.000000e+00,5.322937e-10,9.102322e-10,win,ok
cec2017,100,5,atmals-gsk,per_function_runlevel,51,0.000000e+00,5.322937e-10,1.580776e-09,win,ok
cec2017,100,5,egsk,per_function_runlevel,51,6.180000e+02,6.765913e-01,6.765913e-01,tie,ok
cec2017,100,6,gsk,per_function_runlevel,51,6.230000e+02,7.111949e-01,7.181904e-01,tie,ok
cec2017,100,6,agsk,per_function_runlevel,51,0.000000e+00,5.322937e-10,9.080304e-10,win,ok
cec2017,100,6,apgsk,per_function_runlevel,51,0.000000e+00,5.322937e-10,8.124482e-10,win,ok
cec2017,100,6,fdb-agsk,per_function_runlevel,51,0.000000e+00,5.322937e-10,9.102322e-10,win,ok
cec2017,100,6,atmals-gsk,per_function_runlevel,51,0.000000e+00,5.322937e-10,1.580776e-09,win,ok
cec2017,100,6,egsk,per_function_runlevel,51,9.000000e+00,9.071719e-10,2.391635e-09,win,ok
cec2017,100,7,gsk,per_function_runlevel,51,0.000000e+00,5.322937e-10,1.365348e-09,win,ok
cec2017,100,7,agsk,per_function_runlevel,51,0.000000e+00,5.322937e-10,9.080304e-10,win,ok
