suite,dimension,function,comparator,n_runs,mean_diff,ci_low,ci_high,B,seed_scheme,availability
cec2011,6,1,gsk,25,-1.935147e+00,-4.521992e+00,7.641372e-01,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2011,6,1,agsk,25,-2.435954e+00,-4.761794e+00,3.692748e-02,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2011,6,1,apgsk,25,-2.700713e+00,-4.991616e+00,-2.302046e-01,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2011,6,1,fdb-agsk,25,-6.002047e+00,-7.978996e+00,-3.300137e+00,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2011,6,1,atmals-gsk,25,-4.929774e+00,-7.637692e+00,-2.252137e+00,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2011,6,1,egsk,25,-1.485087e+00,-3.640411e+00,6.623554e-01,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2011,30,2,gsk,25,-8.905571e+00,-9.966190e+00,-7.896352e+00,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2011,30,2,agsk,25,-4.219735e+00,-5.357571e+00,-3.326142e+00,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2011,30,2,apgsk,25,-1.948122e+00,-3.201463e+00,-8.076477e-01,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2011,30,2,fdb-agsk,25,-1.870377e+00,-2.815863e+00,-8.644519e-01,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2011,30,2,atmals-gsk,25,-2.887134e+00,-4.881794e+00,-5.156066e-01,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2011,30,2,egsk,25,6.747610e+00,5.766892e+00,7.617861e+00,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2011,1,3,gsk,25,0.000000e+00,n/a,n/a,n/a,n/a,no CI (degenerate cell)
cec2011,1,3,agsk,25,0.000000e+00,n/a,n/a,n/a,n/a,no CI (degenerate cell)
cec2011,1,3,apgsk,25,0.000000e+00,n/a,n/a,n/a,n/a,no CI (degenerate cell)
cec2011,1,3,fdb-agsk,25,0.000000e+00,n/a,n/a,n/a,n/a,no CI (degenerate cell)
cec2011,1,3,atmals-gsk,25,0.000000e+00,n/a,n/a,n/a,n/a,no CI (degenerate cell)
cec2011,1,3,egsk,25,0.000000e+00,n/a,n/a,n/a,n/a,no CI (degenerate cell)
cec2011,1,4,gsk,25,1.420289e+00,0.000000e+00,4.004565e+00,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2011,1,4,agsk,25,1.420289e+00,0.000000e+00,4.000053e+00,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2011,1,4,apgsk,25,1.420289e+00,0.000000e+00,3.935177e+00,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2011,1,4,fdb-agsk,25,1.420289e+00,0.000000e+00,4.004565e+00,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2011,1,4,atmals-gsk,25,1.420289e+00,0.000000e+00,3.935177e+00,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2011,1,4,egsk,25,1.420289e+00,0.000000e+00,4.004565e+00,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2011,30,5,gsk,25,-1.241502e+01,-1.302163e+01,-1.178414e+01,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2011,30,5,agsk,25,1.184123e+00,7.550818e-01,1.625545e+00,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2011,30,5,apgsk,25,1.832377e+00,1.296956e+00,2.431620e+00,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2011,30,5,fdb-agsk,25,1.415429e+00,9.085469e-01,1.983837e+00,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2011,30,5,atmals-gsk,25,-4.496442e+00,-6.087247e+00,-2.717448e+00,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2011,30,5,egsk,25,-8.612658e-02,-1.329383e+00,9.304336e-01,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2011,30,6,gsk,25,-1.507215e+01,-1.667176e+01,-1.218462e+01,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2011,30,6,agsk,25,1.830706e+00,-1.809573e+00,4.455029e+00,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2011,30,6,apgsk,25,5.711846e+00,4.303043e+00,9.299672e+00,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2011,30,6,fdb-agsk,25,4.174691e+00,1.111038e+00,6.991989e+00,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2011,30,6,atmals-gsk,25,-5.714395e+00,-8.089661e+00,-2.594948e+00,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2011,30,6,egsk,25,-1.942932e+01,-2.153829e+01,-1.603800e+01,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2011,20,7,gsk,25,-7.532751e-01,-8.472285e-01,-6.661851e-01,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2011,20,7,agsk,25,-1.087534e-01,-1.998056e-01,-1.792931e-02,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2011,20,7,apgsk,25,-3.174150e-02,-1.282723e-01,5.451645e-02,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2011,20,7,fdb-agsk,25,-7.929636e-02,-1.708414e-01,8.906277e-03,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2011,20,7,atmals-gsk,25,-2.935784e-01,-3.947085e-01,-1.899572e-01,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2011,20,7,egsk,25,6.645459e-02,-3.896878e-02,1.865526e-01,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2011,7,8,gsk,25,0.000000e+00,n/a,n/a,n/a,n/a,no CI (degenerate cell)
cec2011,7,8,agsk,25,0.000000e+00,n/a,n/a,n/a,n/a,no CI (degenerate cell)
cec2011,7,8,apgsk,25,0.000000e+00,n/a,n/a,n/a,n/a,no CI (degenerate cell)
cec2011,7,8,fdb-agsk,25,0.000000e+00,n/a,n/a,n/a,n/a,no CI (degenerate cell)
cec2011,7,8,atmals-gsk,25,0.000000e+00,n/a,n/a,n/a,n/a,no CI (degenerate cell)
cec2011,7,8,egsk,25,0.000000e+00,n/a,n/a,n/a,n/a,no CI (degenerate cell)
cec2011,126,9,gsk,25,1.650293e+02,-1.224319e+02,4.309933e+02,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2011,126,9,agsk,25,-1.126364e+03,-1.690158e+03,-6.636794e+02,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2011,126,9,apgsk,25,5.300299e+02,2.230264e+02,8.280118e+02,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2011,126,9,fdb-agsk,25,-2.846498e+03,-6.069587e+03,-1.608552e+03,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2011,126,9,atmals-gsk,25,9.688113e+01,-2.673409e+02,3.590349e+02,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2011,126,9,egsk,25,1.655033e+02,-7.910333e+01,4.825595e+02,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2011,12,10,gsk,25,2.519693e-02,-5.545749e-02,1.040381e-01,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
