suite,dimension,function,comparator,n_runs,mean_diff,ci_low,ci_high,B,seed_scheme,availability
cec2013,30,1,gsk,51,0.000000e+00,n/a,n/a,n/a,n/a,no CI (degenerate cell)
cec2013,30,1,agsk,51,0.000000e+00,n/a,n/a,n/a,n/a,no CI (degenerate cell)
cec2013,30,1,apgsk,51,0.000000e+00,n/a,n/a,n/a,n/a,no CI (degenerate cell)
cec2013,30,1,fdb-agsk,51,0.000000e+00,n/a,n/a,n/a,n/a,no CI (degenerate cell)
cec2013,30,1,atmals-gsk,51,0.000000e+00,n/a,n/a,n/a,n/a,no CI (degenerate cell)
cec2013,30,1,egsk,51,0.000000e+00,n/a,n/a,n/a,n/a,no CI (degenerate cell)
cec2013,30,2,gsk,51,-6.444798e+04,-8.261396e+04,-4.994378e+04,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2013,30,2,agsk,51,-8.971194e+04,-1.073318e+05,-7.481027e+04,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2013,30,2,apgsk,51,-2.852094e+05,-3.350653e+05,-2.452726e+05,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2013,30,2,fdb-agsk,51,-1.565684e+05,-1.942853e+05,-1.271328e+05,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2013,30,2,atmals-gsk,51,1.748423e+04,1.108913e+04,2.471065e+04,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2013,30,2,egsk,51,3.080137e+04,2.514225e+04,3.738103e+04,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2013,30,3,gsk,51,3.380304e+05,1.689009e+05,6.102855e+05,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2013,30,3,agsk,51,-2.388927e+07,-3.507305e+07,-1.695711e+07,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2013,30,3,apgsk,51,-6.676227e+06,-1.187711e+07,-3.803466e+06,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2013,30,3,fdb-agsk,51,-1.578677e+07,-1.994473e+07,-1.270330e+07,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2013,30,3,atmals-gsk,51,2.933541e+05,1.080180e+05,5.690195e+05,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2013,30,3,egsk,51,2.510964e+05,-5.430802e+04,5.112600e+05,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2013,30,4,gsk,51,-2.417627e+02,-2.858048e+02,-2.125210e+02,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2013,30,4,agsk,51,-2.030448e+03,-2.403097e+03,-1.749571e+03,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2013,30,4,apgsk,51,-3.938819e+03,-4.551692e+03,-3.545439e+03,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2013,30,4,fdb-agsk,51,-5.470867e+02,-6.457314e+02,-4.729100e+02,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2013,30,4,atmals-gsk,51,-6.293565e-01,-1.703808e+00,-2.466715e-01,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2013,30,4,egsk,51,4.394723e-02,3.165010e-02,7.062921e-02,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2013,30,5,gsk,51,0.000000e+00,n/a,n/a,n/a,n/a,no CI (degenerate cell)
cec2013,30,5,agsk,51,0.000000e+00,n/a,n/a,n/a,n/a,no CI (degenerate cell)
cec2013,30,5,apgsk,51,0.000000e+00,n/a,n/a,n/a,n/a,no CI (degenerate cell)
cec2013,30,5,fdb-agsk,51,0.000000e+00,n/a,n/a,n/a,n/a,no CI (degenerate cell)
cec2013,30,5,atmals-gsk,51,0.000000e+00,n/a,n/a,n/a,n/a,no CI (degenerate cell)
cec2013,30,5,egsk,51,-2.048319e-07,-2.806336e-07,-1.481439e-07,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2013,30,6,gsk,51,-4.408092e+00,-1.150299e+01,1.597918e+00,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2013,30,6,agsk,51,7.061061e+00,2.703147e+00,1.271389e+01,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2013,30,6,apgsk,51,4.293738e+00,9.631955e-01,9.806514e+00,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2013,30,6,fdb-agsk,51,5.265317e+00,1.612157e+00,1.050230e+01,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2013,30,6,atmals-gsk,51,1.618991e+01,1.275905e+01,2.229799e+01,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2013,30,6,egsk,51,1.716048e+01,1.378415e+01,2.310765e+01,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2013,30,7,gsk,51,3.662611e-01,2.387267e-01,5.890224e-01,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2013,30,7,agsk,51,-2.488314e+01,-2.777360e+01,-2.233743e+01,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2013,30,7,apgsk,51,-6.481187e+01,-6.970295e+01,-6.004221e+01,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2013,30,7,fdb-agsk,51,-3.085446e+01,-3.494793e+01,-2.750727e+01,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2013,30,7,atmals-gsk,51,-1.864028e+00,-2.826166e+00,-1.246816e+00,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2013,30,7,egsk,51,1.418464e-01,-1.632763e-01,3.603900e-01,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2013,30,8,gsk,51,-9.651006e-03,-2.914158e-02,8.131875e-03,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2013,30,8,agsk,51,3.667291e-04,-1.662798e-02,1.639626e-02,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2013,30,8,apgsk,51,2.050461e-03,-1.726033e-02,2.784391e-02,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2013,30,8,fdb-agsk,51,9.913729e-03,-7.012666e-03,2.748494e-02,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2013,30,8,atmals-gsk,51,-3.816737e-04,-1.945276e-02,1.816116e-02,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2013,30,8,egsk,51,9.179873e-03,-8.352837e-03,2.423641e-02,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2013,30,9,gsk,51,-1.104774e+01,-1.175397e+01,-1.030616e+01,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2013,30,9,agsk,51,-2.227316e+00,-3.037504e+00,-1.458643e+00,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2013,30,9,apgsk,51,-2.226551e+00,-3.050478e+00,-1.367059e+00,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2013,30,9,fdb-agsk,51,-1.695079e+00,-2.595035e+00,-8.683243e-01,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2013,30,9,atmals-gsk,51,-4.329932e+00,-5.411145e+00,-2.989646e+00,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2013,30,9,egsk,51,-5.540806e+00,-7.100625e+00,-3.135252e+00,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2013,30,10,gsk,51,-5.421033e-03,-2.266025e-02,1.216677e-02,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2013,30,10,agsk,51,6.973095e-02,6.031126e-02,8.082033e-02,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2013,30,10,apgsk,51,-6.800371e-02,-9.878241e-02,-4.442896e-02,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2013,30,10,fdb-agsk,51,7.098281e-02,6.174258e-02,8.179011e-02,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2013,30,10,atmals-gsk,51,1.197987e-02,-5.862334e-03,2.709300e-02,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2013,30,10,egsk,51,-3.524128e-02,-5.591968e-02,-1.524438e-02,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2013,30,11,gsk,51,-1.111545e+02,-1.153929e+02,-1.050386e+02,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2013,30,11,agsk,51,3.090944e+01,2.758971e+01,3.716465e+01,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2013,30,11,apgsk,51,3.090944e+01,2.758625e+01,3.739451e+01,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2013,30,11,fdb-agsk,51,3.090944e+01,2.761428e+01,3.738066e+01,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2013,30,11,atmals-gsk,51,3.077590e+01,2.749509e+01,3.726105e+01,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2013,30,11,egsk,51,7.147490e+00,2.922768e+00,1.333919e+01,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2013,30,12,gsk,51,-1.269981e+02,-1.309121e+02,-1.216232e+02,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2013,30,12,agsk,51,-6.081034e+01,-6.490867e+01,-5.541528e+01,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
