suite,dimension,algorithm,mean_rank,ci_low,ci_high,n_functions,B,alpha,seed_scheme,estimand,release_id
cec2017,10,gsk,5.517241,4.879310,6.017241,29,10000,0.05,default_rng(20260422 + dim*7 + p1_index),friedman_mean_rank,rel-2026-07-20-67d9345f9
cec2017,10,agsk,3.051724,2.586207,3.551724,29,10000,0.05,default_rng(20260422 + dim*7 + p1_index),friedman_mean_rank,rel-2026-07-20-67d9345f9
cec2017,10,apgsk,3.568966,2.948276,4.155172,29,10000,0.05,default_rng(20260422 + dim*7 + p1_index),friedman_mean_rank,rel-2026-07-20-67d9345f9
cec2017,10,fdb-agsk,3.448276,2.827586,4.103448,29,10000,0.05,default_rng(20260422 + dim*7 + p1_index),friedman_mean_rank,rel-2026-07-20-67d9345f9
cec2017,10,atmals-gsk,5.293103,4.672414,5.827586,29,10000,0.05,default_rng(20260422 + dim*7 + p1_index),friedman_mean_rank,rel-2026-07-20-67d9345f9
cec2017,10,egsk,4.241379,3.531854,4.862069,29,10000,0.05,default_rng(20260422 + dim*7 + p1_index),friedman_mean_rank,rel-2026-07-20-67d9345f9
cec2017,10,dt-gsk,2.879310,2.293103,3.431034,29,10000,0.05,default_rng(20260422 + dim*7 + p1_index),friedman_mean_rank,rel-2026-07-20-67d9345f9
cec2017,30,gsk,4.500000,3.637931,5.275862,29,10000,0.05,default_rng(20260422 + dim*7 + p1_index),friedman_mean_rank,rel-2026-07-20-67d9345f9
cec2017,30,agsk,4.689655,4.241379,4.965517,29,10000,0.05,default_rng(20260422 + dim*7 + p1_index),friedman_mean_rank,rel-2026-07-20-67d9345f9
cec2017,30,apgsk,5.413793,4.448276,6.034483,29,10000,0.05,default_rng(20260422 + dim*7 + p1_index),friedman_mean_rank,rel-2026-07-20-67d9345f9
cec2017,30,fdb-agsk,4.413793,3.896552,4.896552,29,10000,0.05,default_rng(20260422 + dim*7 + p1_index),friedman_mean_rank,rel-2026-07-20-67d9345f9
cec2017,30,atmals-gsk,4.189655,3.706897,4.724138,29,10000,0.05,default_rng(20260422 + dim*7 + p1_index),friedman_mean_rank,rel-2026-07-20-67d9345f9
cec2017,30,egsk,2.293103,1.775862,3.086207,29,10000,0.05,default_rng(20260422 + dim*7 + p1_index),friedman_mean_rank,rel-2026-07-20-67d9345f9
cec2017,30,dt-gsk,2.500000,2.068966,3.103448,29,10000,0.05,default_rng(20260422 + dim*7 + p1_index),friedman_mean_rank,rel-2026-07-20-67d9345f9
cec2017,50,gsk,4.758621,3.862069,5.517241,29,10000,0.05,default_rng(20260422 + dim*7 + p1_index),friedman_mean_rank,rel-2026-07-20-67d9345f9
cec2017,50,agsk,4.793103,4.103448,5.241379,29,10000,0.05,default_rng(20260422 + dim*7 + p1_index),friedman_mean_rank,rel-2026-07-20-67d9345f9
cec2017,50,apgsk,5.344828,4.758621,5.793103,29,10000,0.05,default_rng(20260422 + dim*7 + p1_index),friedman_mean_rank,rel-2026-07-20-67d9345f9
cec2017,50,fdb-agsk,3.965517,3.448276,4.413793,29,10000,0.05,default_rng(20260422 + dim*7 + p1_index),friedman_mean_rank,rel-2026-07-20-67d9345f9
cec2017,50,atmals-gsk,4.310345,3.655172,4.896552,29,10000,0.05,default_rng(20260422 + dim*7 + p1_index),friedman_mean_rank,rel-2026-07-20-67d9345f9
cec2017,50,egsk,2.620690,1.931034,3.413793,29,10000,0.05,default_rng(20260422 + dim*7 + p1_index),friedman_mean_rank,rel-2026-07-20-67d9345f9
cec2017,50,dt-gsk,2.206897,1.862069,2.689655,29,10000,0.05,default_rng(20260422 + dim*7 + p1_index),friedman_mean_rank,rel-2026-07-20-67d9345f9
cec2017,100,gsk,4.034483,3.206897,4.793103,29,10000,0.05,default_rng(20260422 + dim*7 + p1_index),friedman_mean_rank,rel-2026-07-20-67d9345f9
cec2017,100,agsk,4.827586,4.275862,5.241379,29,10000,0.05,default_rng(20260422 + dim*7 + p1_index),friedman_mean_rank,rel-2026-07-20-67d9345f9
cec2017,100,apgsk,5.896552,5.206897,6.344828,29,10000,0.05,default_rng(20260422 + dim*7 + p1_index),friedman_mean_rank,rel-2026-07-20-67d9345f9
cec2017,100,fdb-agsk,4.551724,3.862069,5.000000,29,10000,0.05,default_rng(20260422 + dim*7 + p1_index),friedman_mean_rank,rel-2026-07-20-67d9345f9
cec2017,100,atmals-gsk,3.655172,3.137931,4.172414,29,10000,0.05,default_rng(20260422 + dim*7 + p1_index),friedman_mean_rank,rel-2026-07-20-67d9345f9
cec2017,100,egsk,2.689655,2.000000,3.551724,29,10000,0.05,default_rng(20260422 + dim*7 + p1_index),friedman_mean_rank,rel-2026-07-20-67d9345f9
cec2017,100,dt-gsk,2.344828,1.896552,2.827586,29,10000,0.05,default_rng(20260422 + dim*7 + p1_index),friedman_mean_rank,rel-2026-07-20-67d9345f9
