suite,dimension,function,algorithm,checkpoint_nfes,mean_error,n_runs,availability
cec2017,100,1,gsk,10000,7.518100e+10,51,ok
cec2017,100,1,gsk,20000,2.512958e+10,51,ok
cec2017,100,1,gsk,30000,7.019988e+09,51,ok
cec2017,100,1,gsk,50000,4.044244e+08,51,ok
cec2017,100,1,gsk,100000,9.467463e+05,51,ok
cec2017,100,1,gsk,200000,9.283016e+04,51,ok
cec2017,100,1,gsk,300000,5.132825e+03,51,ok
cec2017,100,1,gsk,400000,3.986362e+03,51,ok
cec2017,100,1,gsk,500000,3.986115e+03,51,ok
cec2017,100,1,gsk,600000,3.985915e+03,51,ok
cec2017,100,1,gsk,700000,3.985713e+03,51,ok
cec2017,100,1,gsk,800000,3.985518e+03,51,ok
cec2017,100,1,gsk,900000,3.985302e+03,51,ok
cec2017,100,1,gsk,1000000,3.985091e+03,51,ok
cec2017,100,1,agsk,10000,2.513242e+11,51,ok
cec2017,100,1,agsk,20000,1.471631e+11,51,ok
cec2017,100,1,agsk,30000,9.657546e+10,51,ok
cec2017,100,1,agsk,50000,4.177044e+10,51,ok
cec2017,100,1,agsk,100000,3.349830e+09,51,ok
cec2017,100,1,agsk,200000,4.509549e+03,51,ok
cec2017,100,1,agsk,300000,4.117859e+03,51,ok
cec2017,100,1,agsk,400000,7.229908e+02,51,ok
cec2017,100,1,agsk,500000,7.337738e+01,51,ok
cec2017,100,1,agsk,600000,4.706211e+01,51,ok
cec2017,100,1,agsk,700000,4.689104e+01,51,ok
cec2017,100,1,agsk,800000,4.688134e+01,51,ok
cec2017,100,1,agsk,900000,4.687683e+01,51,ok
cec2017,100,1,agsk,1000000,4.687331e+01,51,ok
cec2017,100,1,apgsk,10000,2.529283e+11,51,ok
cec2017,100,1,apgsk,20000,1.505515e+11,51,ok
cec2017,100,1,apgsk,30000,1.040594e+11,51,ok
cec2017,100,1,apgsk,50000,5.603628e+10,51,ok
cec2017,100,1,apgsk,100000,1.102559e+10,51,ok
cec2017,100,1,apgsk,200000,4.852020e+09,51,ok
cec2017,100,1,apgsk,300000,2.941172e+09,51,ok
cec2017,100,1,apgsk,400000,1.890085e+09,51,ok
cec2017,100,1,apgsk,500000,1.130297e+09,51,ok
cec2017,100,1,apgsk,600000,4.052648e+03,51,ok
cec2017,100,1,apgsk,700000,3.960147e+03,51,ok
cec2017,100,1,apgsk,800000,3.959147e+03,51,ok
cec2017,100,1,apgsk,900000,3.958599e+03,51,ok
cec2017,100,1,apgsk,1000000,3.958201e+03,51,ok
cec2017,100,1,fdb-agsk,10000,2.447835e+11,51,ok
cec2017,100,1,fdb-agsk,20000,1.378514e+11,51,ok
cec2017,100,1,fdb-agsk,30000,8.008279e+10,51,ok
cec2017,100,1,fdb-agsk,50000,2.363733e+10,51,ok
cec2017,100,1,fdb-agsk,100000,6.984557e+08,51,ok
cec2017,100,1,fdb-agsk,200000,6.582048e+03,51,ok
cec2017,100,1,fdb-agsk,300000,1.434464e+03,51,ok
cec2017,100,1,fdb-agsk,400000,1.542917e+02,51,ok
cec2017,100,1,fdb-agsk,500000,9.312274e+00,51,ok
cec2017,100,1,fdb-agsk,600000,6.018332e+00,51,ok
cec2017,100,1,fdb-agsk,700000,6.008539e+00,51,ok
cec2017,100,1,fdb-agsk,800000,6.008522e+00,51,ok
cec2017,100,1,fdb-agsk,900000,6.008522e+00,51,ok
cec2017,100,1,fdb-agsk,1000000,6.008522e+00,51,ok
cec2017,100,1,atmals-gsk,10000,7.974145e+10,51,ok
cec2017,100,1,atmals-gsk,20000,1.889327e+10,51,ok
cec2017,100,1,atmals-gsk,30000,3.722640e+09,51,ok
cec2017,100,1,atmals-gsk,50000,1.577986e+08,51,ok
cec2017,100,1,atmals-gsk,100000,6.501940e+04,51,ok
cec2017,100,1,atmals-gsk,200000,4.847425e+03,51,ok
cec2017,100,1,atmals-gsk,300000,4.747018e+03,51,ok
cec2017,100,1,atmals-gsk,400000,4.152609e+03,51,ok
cec2017,100,1,atmals-gsk,500000,2.577831e+03,51,ok
cec2017,100,1,atmals-gsk,600000,1.534359e+03,51,ok
cec2017,100,1,atmals-gsk,700000,1.236426e+03,51,ok
cec2017,100,1,atmals-gsk,800000,1.113936e+03,51,ok
cec2017,100,1,atmals-gsk,900000,8.338375e+02,51,ok
cec2017,100,1,atmals-gsk,1000000,4.601922e+02,51,ok
cec2017,100,1,egsk,10000,1.297713e+11,51,ok
cec2017,100,1,egsk,20000,5.865986e+10,51,ok
cec2017,100,1,egsk,30000,1.915148e+10,51,ok
cec2017,100,1,egsk,50000,1.129271e+09,51,ok
cec2017,100,1,egsk,100000,5.965620e+06,51,ok
cec2017,100,1,egsk,200000,2.870068e+06,51,ok
cec2017,100,1,egsk,300000,2.862273e+06,51,ok
cec2017,100,1,egsk,400000,2.787426e+06,51,ok
cec2017,100,1,egsk,500000,2.424315e+06,51,ok
cec2017,100,1,egsk,600000,1.588252e+06,51,ok
cec2017,100,1,egsk,700000,1.170732e+06,51,ok
cec2017,100,1,egsk,800000,1.968553e+05,51,ok
cec2017,100,1,egsk,900000,3.045319e+04,51,ok
cec2017,100,1,egsk,1000000,1.076114e+04,51,ok
cec2017,100,1,dt-gsk,10000,2.756168e+11,51,ok
cec2017,100,1,dt-gsk,20000,1.724667e+11,51,ok
cec2017,100,1,dt-gsk,30000,1.089418e+11,51,ok
cec2017,100,1,dt-gsk,50000,4.072572e+10,51,ok
cec2017,100,1,dt-gsk,100000,5.638174e+09,51,ok
cec2017,100,1,dt-gsk,200000,5.981080e+07,51,ok
cec2017,100,1,dt-gsk,300000,2.283945e+05,51,ok
cec2017,100,1,dt-gsk,400000,4.339328e+03,51,ok
cec2017,100,1,dt-gsk,500000,4.257738e+03,51,ok
cec2017,100,1,dt-gsk,600000,6.916744e+02,51,ok
cec2017,100,1,dt-gsk,700000,2.316743e+01,51,ok
cec2017,100,1,dt-gsk,800000,1.087955e+01,51,ok
cec2017,100,1,dt-gsk,900000,1.086576e+01,51,ok
cec2017,100,1,dt-gsk,1000000,1.085317e+01,51,ok
cec2017,100,3,gsk,10000,6.426069e+05,51,ok
cec2017,100,3,gsk,20000,6.102448e+05,51,ok
cec2017,100,3,gsk,30000,5.977047e+05,51,ok
cec2017,100,3,gsk,50000,5.786005e+05,51,ok
cec2017,100,3,gsk,100000,5.498351e+05,51,ok
cec2017,100,3,gsk,200000,4.841894e+05,51,ok
cec2017,100,3,gsk,300000,3.898322e+05,51,ok
cec2017,100,3,gsk,400000,3.231910e+05,51,ok
cec2017,100,3,gsk,500000,2.690629e+05,51,ok
cec2017,100,3,gsk,600000,2.234477e+05,51,ok
cec2017,100,3,gsk,700000,1.920499e+05,51,ok
cec2017,100,3,gsk,800000,1.606444e+05,51,ok
cec2017,100,3,gsk,900000,1.352334e+05,51,ok
cec2017,100,3,gsk,1000000,1.120990e+05,51,ok
cec2017,100,3,agsk,10000,5.784353e+05,51,ok
cec2017,100,3,agsk,20000,5.528315e+05,51,ok
cec2017,100,3,agsk,30000,5.432394e+05,51,ok
cec2017,100,3,agsk,50000,5.350954e+05,51,ok
cec2017,100,3,agsk,100000,5.328852e+05,51,ok
cec2017,100,3,agsk,200000,5.075614e+05,51,ok
cec2017,100,3,agsk,300000,4.525347e+05,51,ok
cec2017,100,3,agsk,400000,4.154588e+05,51,ok
cec2017,100,3,agsk,500000,3.646767e+05,51,ok
cec2017,100,3,agsk,600000,3.139709e+05,51,ok
cec2017,100,3,agsk,700000,2.621169e+05,51,ok
cec2017,100,3,agsk,800000,2.089654e+05,51,ok
cec2017,100,3,agsk,900000,1.584540e+05,51,ok
cec2017,100,3,agsk,1000000,1.090208e+05,51,ok
cec2017,100,3,apgsk,10000,5.742996e+05,51,ok
cec2017,100,3,apgsk,20000,5.558254e+05,51,ok
cec2017,100,3,apgsk,30000,5.460636e+05,51,ok
cec2017,100,3,apgsk,50000,5.434646e+05,51,ok
cec2017,100,3,apgsk,100000,5.383881e+05,51,ok
cec2017,100,3,apgsk,200000,3.899747e+05,51,ok
cec2017,100,3,apgsk,300000,3.389215e+05,51,ok
cec2017,100,3,apgsk,400000,3.087348e+05,51,ok
cec2017,100,3,apgsk,500000,2.904426e+05,51,ok
cec2017,100,3,apgsk,600000,2.679681e+05,51,ok
cec2017,100,3,apgsk,700000,2.265245e+05,51,ok
cec2017,100,3,apgsk,800000,1.776138e+05,51,ok
cec2017,100,3,apgsk,900000,1.237953e+05,51,ok
cec2017,100,3,apgsk,1000000,8.145694e+04,51,ok
cec2017,100,3,fdb-agsk,10000,5.769826e+05,51,ok
cec2017,100,3,fdb-agsk,20000,5.436940e+05,51,ok
cec2017,100,3,fdb-agsk,30000,5.342578e+05,51,ok
cec2017,100,3,fdb-agsk,50000,5.275301e+05,51,ok
cec2017,100,3,fdb-agsk,100000,5.231689e+05,51,ok
cec2017,100,3,fdb-agsk,200000,4.719842e+05,51,ok
cec2017,100,3,fdb-agsk,300000,4.141044e+05,51,ok
cec2017,100,3,fdb-agsk,400000,3.589021e+05,51,ok
cec2017,100,3,fdb-agsk,500000,2.897977e+05,51,ok
cec2017,100,3,fdb-agsk,600000,2.360945e+05,51,ok
cec2017,100,3,fdb-agsk,700000,1.804915e+05,51,ok
cec2017,100,3,fdb-agsk,800000,1.324167e+05,51,ok
cec2017,100,3,fdb-agsk,900000,8.709225e+04,51,ok
cec2017,100,3,fdb-agsk,1000000,5.468612e+04,51,ok
cec2017,100,3,atmals-gsk,10000,5.236616e+05,51,ok
cec2017,100,3,atmals-gsk,20000,4.870942e+05,51,ok
cec2017,100,3,atmals-gsk,30000,4.760591e+05,51,ok
cec2017,100,3,atmals-gsk,50000,4.619601e+05,51,ok
cec2017,100,3,atmals-gsk,100000,4.412099e+05,51,ok
cec2017,100,3,atmals-gsk,200000,3.564745e+05,51,ok
cec2017,100,3,atmals-gsk,300000,1.841902e+05,51,ok
cec2017,100,3,atmals-gsk,400000,7.354968e+04,51,ok
cec2017,100,3,atmals-gsk,500000,2.395569e+04,51,ok
cec2017,100,3,atmals-gsk,600000,7.977478e+03,51,ok
cec2017,100,3,atmals-gsk,700000,2.581850e+03,51,ok
