suite,dimension,algorithm,n_runs,mean_runtime_seconds,sd_runtime_seconds,comparability,availability
cec2017,10,gsk,1479,5.545159e-01,2.212583e-01,NOT-COMPARABLE-ACROSS-ALGORITHMS (RT-001: panel not measured as one session; outliers: dt-gsk +9.7d); cell value is accurate for this algorithm alone,ok
cec2017,10,agsk,1479,2.821070e+00,1.754897e+00,NOT-COMPARABLE-ACROSS-ALGORITHMS (RT-001: panel not measured as one session; outliers: dt-gsk +9.7d); cell value is accurate for this algorithm alone,ok
cec2017,10,apgsk,1479,3.974454e+00,1.765920e+00,NOT-COMPARABLE-ACROSS-ALGORITHMS (RT-001: panel not measured as one session; outliers: dt-gsk +9.7d); cell value is accurate for this algorithm alone,ok
cec2017,10,fdb-agsk,1479,2.404291e+00,5.271167e-01,NOT-COMPARABLE-ACROSS-ALGORITHMS (RT-001: panel not measured as one session; outliers: dt-gsk +9.7d); cell value is accurate for this algorithm alone,ok
cec2017,10,atmals-gsk,1479,1.473709e+00,2.228603e-01,NOT-COMPARABLE-ACROSS-ALGORITHMS (RT-001: panel not measured as one session; outliers: dt-gsk +9.7d); cell value is accurate for this algorithm alone,ok
cec2017,10,egsk,1479,3.367596e+00,3.007545e+00,NOT-COMPARABLE-ACROSS-ALGORITHMS (RT-001: panel not measured as one session; outliers: dt-gsk +9.7d); cell value is accurate for this algorithm alone,ok
cec2017,10,dt-gsk,1479,4.928641e+00,8.306592e-01,NOT-COMPARABLE-ACROSS-ALGORITHMS (RT-001: panel not measured as one session; outliers: dt-gsk +9.7d); cell value is accurate for this algorithm alone,ok
cec2017,30,gsk,1479,3.240051e+00,1.509214e+00,NOT-COMPARABLE-ACROSS-ALGORITHMS (RT-001: panel not measured as one session; outliers: dt-gsk +9.7d); cell value is accurate for this algorithm alone,ok
cec2017,30,agsk,1479,9.278325e+00,3.384680e+00,NOT-COMPARABLE-ACROSS-ALGORITHMS (RT-001: panel not measured as one session; outliers: dt-gsk +9.7d); cell value is accurate for this algorithm alone,ok
cec2017,30,apgsk,1479,1.446872e+01,4.437373e+00,NOT-COMPARABLE-ACROSS-ALGORITHMS (RT-001: panel not measured as one session; outliers: dt-gsk +9.7d); cell value is accurate for this algorithm alone,ok
cec2017,30,fdb-agsk,1479,8.486250e+00,1.482212e+00,NOT-COMPARABLE-ACROSS-ALGORITHMS (RT-001: panel not measured as one session; outliers: dt-gsk +9.7d); cell value is accurate for this algorithm alone,ok
