suite,dimension,function,algorithm,best,median,mean,worst,sd,source_path
cec2017,50,1,gsk,5.034533e+00,1.081796e+03,1.697590e+03,6.982300e+03,1.765817e+03,cec2017/gsk/gsk_cec2017_D50.csv
cec2017,50,1,agsk,1.051858e-03,5.229589e-01,1.925256e+00,1.885845e+01,3.657277e+00,cec2017/agsk/agsk_cec2017_D50.csv
cec2017,50,1,apgsk,5.973043e-02,6.914202e+02,1.124935e+03,8.712324e+03,1.489281e+03,cec2017/apgsk/apgsk_cec2017_D50.csv
cec2017,50,1,fdb-agsk,1.861436e-06,5.996059e-03,9.387751e-02,8.367717e-01,2.021525e-01,cec2017/fdb-agsk/fdb-agsk_cec2017_D50.csv
cec2017,50,1,atmals-gsk,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,cec2017/atmals-gsk/atmals-gsk_cec2017_D50.csv
cec2017,50,1,egsk,0.000000e+00,3.713022e+00,8.470045e+01,1.236079e+03,2.504817e+02,cec2017/egsk/egsk_cec2017_D50.csv
cec2017,50,1,dt-gsk,4.735673e-06,1.525885e-02,1.757114e-01,2.734892e+00,4.409546e-01,cec2017/dt-gsk/dt-gsk_cec2017_D50.csv
cec2017,50,3,gsk,1.452235e+03,4.132406e+03,4.020190e+03,1.045189e+04,1.754591e+03,cec2017/gsk/gsk_cec2017_D50.csv
cec2017,50,3,agsk,1.054317e+03,3.473865e+03,4.520986e+03,1.228289e+04,2.637978e+03,cec2017/agsk/agsk_cec2017_D50.csv
cec2017,50,3,apgsk,1.310424e+03,3.317352e+03,3.835785e+03,9.632575e+03,1.806879e+03,cec2017/apgsk/apgsk_cec2017_D50.csv
cec2017,50,3,fdb-agsk,2.438888e+01,3.993385e+02,5.010224e+02,1.740794e+03,4.112211e+02,cec2017/fdb-agsk/fdb-agsk_cec2017_D50.csv
cec2017,50,3,atmals-gsk,0.000000e+00,2.698590e-08,4.871457e-07,1.206554e-05,1.771554e-06,cec2017/atmals-gsk/atmals-gsk_cec2017_D50.csv
cec2017,50,3,egsk,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,cec2017/egsk/egsk_cec2017_D50.csv
cec2017,50,3,dt-gsk,0.000000e+00,0.000000e+00,3.450497e-08,1.355301e-06,1.898343e-07,cec2017/dt-gsk/dt-gsk_cec2017_D50.csv
cec2017,50,4,gsk,1.269995e-02,7.112765e+01,7.576803e+01,1.529749e+02,4.431503e+01,cec2017/gsk/gsk_cec2017_D50.csv
cec2017,50,4,agsk,1.993021e-04,2.851271e+01,3.183045e+01,1.418770e+02,3.763001e+01,cec2017/agsk/agsk_cec2017_D50.csv
cec2017,50,4,apgsk,7.818855e-04,6.885567e+01,6.326336e+01,1.451711e+02,4.361516e+01,cec2017/apgsk/apgsk_cec2017_D50.csv
cec2017,50,4,fdb-agsk,3.042663e-02,7.147244e+01,7.041155e+01,1.534638e+02,4.739033e+01,cec2017/fdb-agsk/fdb-agsk_cec2017_D50.csv
cec2017,50,4,atmals-gsk,2.308350e-05,2.851271e+01,3.427124e+01,1.371834e+02,4.044001e+01,cec2017/atmals-gsk/atmals-gsk_cec2017_D50.csv
cec2017,50,4,egsk,0.000000e+00,2.436366e-08,1.330803e+01,1.140116e+02,3.172224e+01,cec2017/egsk/egsk_cec2017_D50.csv
cec2017,50,4,dt-gsk,3.899121e-06,6.916571e+01,6.850374e+01,1.459705e+02,4.565241e+01,cec2017/dt-gsk/dt-gsk_cec2017_D50.csv
cec2017,50,5,gsk,2.709860e+02,3.210421e+02,3.177130e+02,3.399671e+02,1.591887e+01,cec2017/gsk/gsk_cec2017_D50.csv
cec2017,50,5,agsk,1.717884e+02,2.427791e+02,2.391621e+02,2.726544e+02,2.046511e+01,cec2017/agsk/agsk_cec2017_D50.csv
cec2017,50,5,apgsk,2.365701e+02,2.753911e+02,2.777857e+02,3.280420e+02,2.250568e+01,cec2017/apgsk/apgsk_cec2017_D50.csv
cec2017,50,5,fdb-agsk,1.369285e+02,1.961063e+02,1.937111e+02,2.460727e+02,2.243982e+01,cec2017/fdb-agsk/fdb-agsk_cec2017_D50.csv
cec2017,50,5,atmals-gsk,1.045925e+02,1.901435e+02,1.895935e+02,2.807163e+02,4.123826e+01,cec2017/atmals-gsk/atmals-gsk_cec2017_D50.csv
cec2017,50,5,egsk,2.089414e+01,3.780844e+01,3.912988e+01,6.765714e+01,1.003711e+01,cec2017/egsk/egsk_cec2017_D50.csv
cec2017,50,5,dt-gsk,2.488871e+01,4.081091e+01,3.984380e+01,5.575002e+01,7.110430e+00,cec2017/dt-gsk/dt-gsk_cec2017_D50.csv
cec2017,50,6,gsk,4.794280e-08,2.379926e-06,3.653730e-06,1.715062e-05,3.613798e-06,cec2017/gsk/gsk_cec2017_D50.csv
cec2017,50,6,agsk,4.714711e-05,3.875953e-04,5.184993e-04,1.478224e-03,4.244443e-04,cec2017/agsk/agsk_cec2017_D50.csv
cec2017,50,6,apgsk,1.953041e-05,4.334859e-04,7.964113e-04,3.641247e-03,8.373532e-04,cec2017/apgsk/apgsk_cec2017_D50.csv
cec2017,50,6,fdb-agsk,6.096343e-06,1.160633e-04,2.037055e-04,1.178616e-03,2.538883e-04,cec2017/fdb-agsk/fdb-agsk_cec2017_D50.csv
cec2017,50,6,atmals-gsk,4.034713e-05,5.489666e-04,7.751893e-04,3.788782e-03,7.134305e-04,cec2017/atmals-gsk/atmals-gsk_cec2017_D50.csv
cec2017,50,6,egsk,9.906412e-07,9.188417e-06,5.760164e-04,2.885693e-02,4.039330e-03,cec2017/egsk/egsk_cec2017_D50.csv
cec2017,50,6,dt-gsk,2.735216e-05,8.737863e-05,8.345223e-05,1.560876e-04,3.448424e-05,cec2017/dt-gsk/dt-gsk_cec2017_D50.csv
cec2017,50,7,gsk,3.452814e+02,3.731337e+02,3.717997e+02,3.944515e+02,1.209176e+01,cec2017/gsk/gsk_cec2017_D50.csv
cec2017,50,7,agsk,2.412749e+02,2.910785e+02,2.938237e+02,3.506085e+02,2.173954e+01,cec2017/agsk/agsk_cec2017_D50.csv
cec2017,50,7,apgsk,2.682264e+02,3.502975e+02,3.489129e+02,4.148345e+02,3.661435e+01,cec2017/apgsk/apgsk_cec2017_D50.csv
cec2017,50,7,fdb-agsk,2.088050e+02,2.623671e+02,2.565341e+02,2.968967e+02,2.187842e+01,cec2017/fdb-agsk/fdb-agsk_cec2017_D50.csv
cec2017,50,7,atmals-gsk,1.216947e+02,1.732913e+02,1.753224e+02,2.247172e+02,2.524909e+01,cec2017/atmals-gsk/atmals-gsk_cec2017_D50.csv
