suite,dimension,function,comparator,n_runs,a12,cliffs_delta,magnitude,availability
cec2017,30,1,gsk,51,5.000000e-01,0.000000e+00,negligible,ok
cec2017,30,1,agsk,51,5.000000e-01,0.000000e+00,negligible,ok
cec2017,30,1,apgsk,51,8.725490e-01,7.450980e-01,large,ok
cec2017,30,1,fdb-agsk,51,5.000000e-01,0.000000e+00,negligible,ok
cec2017,30,1,atmals-gsk,51,5.000000e-01,0.000000e+00,negligible,ok
cec2017,30,1,egsk,51,5.392157e-01,7.843137e-02,negligible,ok
cec2017,30,3,gsk,51,7.941176e-01,5.882353e-01,large,ok
cec2017,30,3,agsk,51,9.901961e-01,9.803922e-01,large,ok
cec2017,30,3,apgsk,51,1.000000e+00,1.000000e+00,large,ok
cec2017,30,3,fdb-agsk,51,1.000000e+00,1.000000e+00,large,ok
cec2017,30,3,atmals-gsk,51,5.000000e-01,0.000000e+00,negligible,ok
cec2017,30,3,egsk,51,5.000000e-01,0.000000e+00,negligible,ok
cec2017,30,4,gsk,51,3.940792e-01,-2.118416e-01,small,ok
cec2017,30,4,agsk,51,3.383314e-01,-3.233372e-01,medium,ok
cec2017,30,4,apgsk,51,3.817762e-01,-2.364475e-01,small,ok
cec2017,30,4,fdb-agsk,51,5.947712e-01,1.895425e-01,small,ok
cec2017,30,4,atmals-gsk,51,2.064591e-01,-5.870819e-01,large,ok
cec2017,30,4,egsk,51,2.216455e-01,-5.567090e-01,large,ok
cec2017,30,5,gsk,51,1.000000e+00,1.000000e+00,large,ok
cec2017,30,5,agsk,51,9.934641e-01,9.869281e-01,large,ok
cec2017,30,5,apgsk,51,9.992311e-01,9.984621e-01,large,ok
cec2017,30,5,fdb-agsk,51,9.807766e-01,9.615532e-01,large,ok
cec2017,30,5,atmals-gsk,51,9.876970e-01,9.753941e-01,large,ok
cec2017,30,5,egsk,51,1.057286e-01,-7.885429e-01,large,ok
cec2017,30,6,gsk,51,1.382161e-01,-7.235679e-01,large,ok
cec2017,30,6,agsk,51,7.204921e-01,4.409842e-01,large,ok
cec2017,30,6,apgsk,51,8.477509e-01,6.955017e-01,large,ok
cec2017,30,6,fdb-agsk,51,3.986928e-01,-2.026144e-01,small,ok
cec2017,30,6,atmals-gsk,51,9.638601e-01,9.277201e-01,large,ok
cec2017,30,6,egsk,51,3.944637e-01,-2.110727e-01,small,ok
cec2017,30,7,gsk,51,1.000000e+00,1.000000e+00,large,ok
cec2017,30,7,agsk,51,9.523260e-01,9.046521e-01,large,ok
cec2017,30,7,apgsk,51,9.834679e-01,9.669358e-01,large,ok
cec2017,30,7,fdb-agsk,51,9.173395e-01,8.346790e-01,large,ok
cec2017,30,7,atmals-gsk,51,8.619762e-01,7.239523e-01,large,ok
cec2017,30,7,egsk,51,9.073433e-02,-8.185313e-01,large,ok
cec2017,30,8,gsk,51,1.000000e+00,1.000000e+00,large,ok
cec2017,30,8,agsk,51,1.000000e+00,1.000000e+00,large,ok
