suite,dimension,function,comparator,test_level,p_raw,p_holm_within_dimension,p_holm_global_m24,outcome_within_dimension,outcome_global,survives_global_holm,availability
cec2017,10,0,gsk,across_functions_funclevel,1.652950e-04,9.917700e-04,2.975310e-03,win,win,yes,ok
cec2017,10,0,agsk,across_functions_funclevel,5.421589e-01,1.000000e+00,1.000000e+00,tie,tie,n/a,ok
cec2017,10,0,apgsk,across_functions_funclevel,9.785339e-01,1.000000e+00,1.000000e+00,tie,tie,n/a,ok
cec2017,10,0,fdb-agsk,across_functions_funclevel,7.639389e-01,1.000000e+00,1.000000e+00,tie,tie,n/a,ok
cec2017,10,0,atmals-gsk,across_functions_funclevel,9.055076e-03,3.622030e-02,8.149568e-02,win,tie,no,ok
cec2017,10,0,egsk,across_functions_funclevel,6.983405e-04,3.491702e-03,1.047511e-02,win,win,yes,ok
cec2017,30,0,gsk,across_functions_funclevel,1.474684e-02,2.949367e-02,1.179747e-01,win,tie,no,ok
cec2017,30,0,agsk,across_functions_funclevel,2.551238e-03,1.020495e-02,3.061486e-02,win,win,yes,ok
cec2017,30,0,apgsk,across_functions_funclevel,1.273753e-03,6.368765e-03,1.655879e-02,win,win,yes,ok
cec2017,30,0,fdb-agsk,across_functions_funclevel,8.500024e-04,5.100014e-03,1.190003e-02,win,win,yes,ok
cec2017,30,0,atmals-gsk,across_functions_funclevel,3.491840e-03,1.047552e-02,3.841024e-02,win,win,yes,ok
cec2017,30,0,egsk,across_functions_funclevel,1.986745e-01,1.986745e-01,1.000000e+00,tie,tie,n/a,ok
cec2017,50,0,gsk,across_functions_funclevel,3.761524e-03,7.523047e-03,3.841024e-02,win,win,yes,ok
cec2017,50,0,agsk,across_functions_funclevel,1.999206e-04,6.173643e-04,3.398650e-03,win,win,yes,ok
cec2017,50,0,apgsk,across_functions_funclevel,5.775467e-05,3.465280e-04,1.212848e-03,win,win,yes,ok
cec2017,50,0,fdb-agsk,across_functions_funclevel,1.543411e-04,6.173643e-04,2.932480e-03,win,win,yes,ok
cec2017,50,0,atmals-gsk,across_functions_funclevel,1.186785e-04,5.933923e-04,2.373569e-03,win,win,yes,ok
cec2017,50,0,egsk,across_functions_funclevel,1.000000e+00,1.000000e+00,1.000000e+00,tie,tie,n/a,ok
cec2017,100,0,gsk,across_functions_funclevel,3.229837e-02,6.459675e-02,2.260886e-01,tie,tie,n/a,ok
cec2017,100,0,agsk,across_functions_funclevel,1.255527e-05,6.277635e-05,2.887712e-04,win,win,yes,ok
cec2017,100,0,apgsk,across_functions_funclevel,4.563691e-06,2.738215e-05,1.095286e-04,win,win,yes,ok
cec2017,100,0,fdb-agsk,across_functions_funclevel,2.255203e-05,9.020813e-05,4.961447e-04,win,win,yes,ok
cec2017,100,0,atmals-gsk,across_functions_funclevel,5.408475e-04,1.622543e-03,8.653561e-03,win,win,yes,ok
cec2017,100,0,egsk,across_functions_funclevel,7.952663e-01,7.952663e-01,1.000000e+00,tie,tie,n/a,ok
