suite,dimension,row_type,algorithm,comparator,mean_rank_primary,ordinal_primary,mean_rank_variant,ordinal_variant,wtl_primary,wtl_variant,verdict
cec2017,10,rank,gsk,n/a,5.517241e+00,7,5.344828e+00,7,n/a,n/a,agree
cec2017,10,rank,agsk,n/a,3.051724e+00,2,3.172414e+00,2,n/a,n/a,agree
cec2017,10,rank,apgsk,n/a,3.568966e+00,4,4.068966e+00,5,n/a,n/a,diverge
cec2017,10,rank,fdb-agsk,n/a,3.448276e+00,3,3.534483e+00,3,n/a,n/a,agree
cec2017,10,rank,atmals-gsk,n/a,5.293103e+00,6,5.327586e+00,6,n/a,n/a,agree
cec2017,10,rank,egsk,n/a,4.241379e+00,5,3.879310e+00,4,n/a,n/a,diverge
cec2017,10,rank,dt-gsk,n/a,2.879310e+00,1,2.672414e+00,1,n/a,n/a,agree
cec2017,10,wtl,dt-gsk,gsk,n/a,n/a,n/a,n/a,22-4-3,19-9-1,diverge
cec2017,10,wtl,dt-gsk,agsk,n/a,n/a,n/a,n/a,14-3-12,13-10-6,diverge
cec2017,10,wtl,dt-gsk,apgsk,n/a,n/a,n/a,n/a,16-4-9,16-6-7,diverge
cec2017,10,wtl,dt-gsk,fdb-agsk,n/a,n/a,n/a,n/a,15-2-12,14-8-7,diverge
cec2017,10,wtl,dt-gsk,atmals-gsk,n/a,n/a,n/a,n/a,21-4-4,21-7-1,diverge
cec2017,10,wtl,dt-gsk,egsk,n/a,n/a,n/a,n/a,21-4-4,17-10-2,diverge
cec2017,30,rank,gsk,n/a,4.500000e+00,5,4.568966e+00,5,n/a,n/a,agree
cec2017,30,rank,agsk,n/a,4.689655e+00,6,4.775862e+00,6,n/a,n/a,agree
cec2017,30,rank,apgsk,n/a,5.413793e+00,7,5.637931e+00,7,n/a,n/a,agree
cec2017,30,rank,fdb-agsk,n/a,4.413793e+00,4,4.275862e+00,4,n/a,n/a,agree
cec2017,30,rank,atmals-gsk,n/a,4.189655e+00,3,3.775862e+00,3,n/a,n/a,agree
cec2017,30,rank,egsk,n/a,2.293103e+00,1,2.258621e+00,1,n/a,n/a,agree
cec2017,30,rank,dt-gsk,n/a,2.500000e+00,2,2.706897e+00,2,n/a,n/a,agree
cec2017,30,wtl,dt-gsk,gsk,n/a,n/a,n/a,n/a,19-2-8,17-4-8,diverge
cec2017,30,wtl,dt-gsk,agsk,n/a,n/a,n/a,n/a,24-1-4,22-3-4,diverge
cec2017,30,wtl,dt-gsk,apgsk,n/a,n/a,n/a,n/a,24-0-5,24-1-4,diverge
cec2017,30,wtl,dt-gsk,fdb-agsk,n/a,n/a,n/a,n/a,25-1-3,22-3-4,diverge
