suite,dimension,row_type,algorithm,comparator,mean_rank_primary,ordinal_primary,mean_rank_variant,ordinal_variant,wtl_primary,wtl_variant,verdict
cec2017,all,scan,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,"count_in_(0,1e-8)=0/71400;branch=B"
cec2017,10,rank,gsk,n/a,5.517241e+00,7,5.500000e+00,7,n/a,n/a,agree
cec2017,10,rank,agsk,n/a,3.051724e+00,2,3.051724e+00,2,n/a,n/a,agree
cec2017,10,rank,apgsk,n/a,3.568966e+00,4,3.568966e+00,4,n/a,n/a,agree
cec2017,10,rank,fdb-agsk,n/a,3.448276e+00,3,3.448276e+00,3,n/a,n/a,agree
cec2017,10,rank,atmals-gsk,n/a,5.293103e+00,6,5.293103e+00,6,n/a,n/a,agree
cec2017,10,rank,egsk,n/a,4.241379e+00,5,4.258621e+00,5,n/a,n/a,agree
cec2017,10,rank,dt-gsk,n/a,2.879310e+00,1,2.879310e+00,1,n/a,n/a,agree
cec2017,10,wtl,dt-gsk,gsk,n/a,n/a,n/a,n/a,22-4-3,22-4-3,agree
cec2017,10,wtl,dt-gsk,agsk,n/a,n/a,n/a,n/a,14-3-12,14-3-12,agree
cec2017,10,wtl,dt-gsk,apgsk,n/a,n/a,n/a,n/a,16-4-9,16-4-9,agree
cec2017,10,wtl,dt-gsk,fdb-agsk,n/a,n/a,n/a,n/a,15-2-12,15-2-12,agree
cec2017,10,wtl,dt-gsk,atmals-gsk,n/a,n/a,n/a,n/a,21-4-4,21-4-4,agree
cec2017,10,wtl,dt-gsk,egsk,n/a,n/a,n/a,n/a,21-4-4,21-4-4,agree
cec2017,30,rank,gsk,n/a,4.500000e+00,5,4.500000e+00,5,n/a,n/a,agree
cec2017,30,rank,agsk,n/a,4.689655e+00,6,4.689655e+00,6,n/a,n/a,agree
cec2017,30,rank,apgsk,n/a,5.413793e+00,7,5.413793e+00,7,n/a,n/a,agree
cec2017,30,rank,fdb-agsk,n/a,4.413793e+00,4,4.413793e+00,4,n/a,n/a,agree
cec2017,30,rank,atmals-gsk,n/a,4.189655e+00,3,4.189655e+00,3,n/a,n/a,agree
cec2017,30,rank,egsk,n/a,2.293103e+00,1,2.293103e+00,1,n/a,n/a,agree
cec2017,30,rank,dt-gsk,n/a,2.500000e+00,2,2.500000e+00,2,n/a,n/a,agree
cec2017,30,wtl,dt-gsk,gsk,n/a,n/a,n/a,n/a,19-2-8,19-2-8,agree
cec2017,30,wtl,dt-gsk,agsk,n/a,n/a,n/a,n/a,24-1-4,24-1-4,agree
cec2017,30,wtl,dt-gsk,apgsk,n/a,n/a,n/a,n/a,24-0-5,24-0-5,agree
cec2017,30,wtl,dt-gsk,fdb-agsk,n/a,n/a,n/a,n/a,25-1-3,25-1-3,agree
cec2017,30,wtl,dt-gsk,atmals-gsk,n/a,n/a,n/a,n/a,23-3-3,23-3-3,agree
cec2017,30,wtl,dt-gsk,egsk,n/a,n/a,n/a,n/a,11-2-16,11-2-16,agree
cec2017,50,rank,gsk,n/a,4.758621e+00,5,4.758621e+00,5,n/a,n/a,agree
cec2017,50,rank,agsk,n/a,4.793103e+00,6,4.793103e+00,6,n/a,n/a,agree
cec2017,50,rank,apgsk,n/a,5.344828e+00,7,5.344828e+00,7,n/a,n/a,agree
cec2017,50,rank,fdb-agsk,n/a,3.965517e+00,3,3.965517e+00,3,n/a,n/a,agree
cec2017,50,rank,atmals-gsk,n/a,4.310345e+00,4,4.310345e+00,4,n/a,n/a,agree
cec2017,50,rank,egsk,n/a,2.620690e+00,2,2.620690e+00,2,n/a,n/a,agree
cec2017,50,rank,dt-gsk,n/a,2.206897e+00,1,2.206897e+00,1,n/a,n/a,agree
cec2017,50,wtl,dt-gsk,gsk,n/a,n/a,n/a,n/a,22-0-7,22-0-7,agree
cec2017,50,wtl,dt-gsk,agsk,n/a,n/a,n/a,n/a,26-0-3,26-0-3,agree
cec2017,50,wtl,dt-gsk,apgsk,n/a,n/a,n/a,n/a,27-0-2,27-0-2,agree
cec2017,50,wtl,dt-gsk,fdb-agsk,n/a,n/a,n/a,n/a,25-0-4,25-0-4,agree
cec2017,50,wtl,dt-gsk,atmals-gsk,n/a,n/a,n/a,n/a,26-0-3,26-0-3,agree
cec2017,50,wtl,dt-gsk,egsk,n/a,n/a,n/a,n/a,13-0-16,13-0-16,agree
cec2017,100,rank,gsk,n/a,4.034483e+00,4,4.034483e+00,4,n/a,n/a,agree
cec2017,100,rank,agsk,n/a,4.827586e+00,6,4.827586e+00,6,n/a,n/a,agree
cec2017,100,rank,apgsk,n/a,5.896552e+00,7,5.896552e+00,7,n/a,n/a,agree
cec2017,100,rank,fdb-agsk,n/a,4.551724e+00,5,4.551724e+00,5,n/a,n/a,agree
cec2017,100,rank,atmals-gsk,n/a,3.655172e+00,3,3.655172e+00,3,n/a,n/a,agree
cec2017,100,rank,egsk,n/a,2.689655e+00,2,2.689655e+00,2,n/a,n/a,agree
cec2017,100,rank,dt-gsk,n/a,2.344828e+00,1,2.344828e+00,1,n/a,n/a,agree
cec2017,100,wtl,dt-gsk,gsk,n/a,n/a,n/a,n/a,20-0-9,20-0-9,agree
cec2017,100,wtl,dt-gsk,agsk,n/a,n/a,n/a,n/a,26-0-3,26-0-3,agree
cec2017,100,wtl,dt-gsk,apgsk,n/a,n/a,n/a,n/a,28-0-1,28-0-1,agree
cec2017,100,wtl,dt-gsk,fdb-agsk,n/a,n/a,n/a,n/a,25-0-4,25-0-4,agree
cec2017,100,wtl,dt-gsk,atmals-gsk,n/a,n/a,n/a,n/a,24-0-5,24-0-5,agree
cec2017,100,wtl,dt-gsk,egsk,n/a,n/a,n/a,n/a,12-0-17,12-0-17,agree
