suite,dimension,function,comparator,test_level,n_pairs,statistic,p_raw,p_bh,outcome,availability
cec2017,30,1,gsk,per_function_runlevel,51,0.000000e+00,1.000000e+00,1.000000e+00,tie,ok
cec2017,30,1,agsk,per_function_runlevel,51,0.000000e+00,1.000000e+00,1.000000e+00,tie,ok
cec2017,30,1,apgsk,per_function_runlevel,51,0.000000e+00,8.075024e-08,1.366710e-07,win,ok
cec2017,30,1,fdb-agsk,per_function_runlevel,51,0.000000e+00,1.000000e+00,1.000000e+00,tie,ok
cec2017,30,1,atmals-gsk,per_function_runlevel,51,0.000000e+00,1.000000e+00,1.000000e+00,tie,ok
cec2017,30,1,egsk,per_function_runlevel,51,0.000000e+00,1.003482e-01,1.616721e-01,tie,ok
cec2017,30,3,gsk,per_function_runlevel,51,0.000000e+00,1.827659e-06,3.533475e-06,win,ok
cec2017,30,3,agsk,per_function_runlevel,51,0.000000e+00,7.821341e-10,2.790152e-09,win,ok
cec2017,30,3,apgsk,per_function_runlevel,51,0.000000e+00,5.322937e-10,1.932060e-09,win,ok
cec2017,30,3,fdb-agsk,per_function_runlevel,51,0.000000e+00,5.322937e-10,1.932060e-09,win,ok
cec2017,30,3,atmals-gsk,per_function_runlevel,51,0.000000e+00,1.000000e+00,1.000000e+00,tie,ok
cec2017,30,3,egsk,per_function_runlevel,51,0.000000e+00,1.000000e+00,1.000000e+00,tie,ok
cec2017,30,4,gsk,per_function_runlevel,51,4.480000e+02,4.436667e-02,6.771755e-02,tie,ok
cec2017,30,4,agsk,per_function_runlevel,51,4.590000e+02,5.645567e-02,7.118324e-02,tie,ok
cec2017,30,4,apgsk,per_function_runlevel,51,3.730000e+02,6.655375e-03,7.423303e-03,loss,ok
cec2017,30,4,fdb-agsk,per_function_runlevel,51,3.870000e+02,9.811922e-03,1.138183e-02,win,ok
cec2017,30,4,atmals-gsk,per_function_runlevel,51,2.730000e+02,2.613238e-04,4.736493e-04,loss,ok
cec2017,30,4,egsk,per_function_runlevel,51,3.050000e+02,8.052712e-04,1.946072e-03,loss,ok
cec2017,30,5,gsk,per_function_runlevel,51,0.000000e+00,5.322937e-10,2.572753e-09,win,ok
cec2017,30,5,agsk,per_function_runlevel,51,0.000000e+00,5.322937e-10,2.205217e-09,win,ok
cec2017,30,5,apgsk,per_function_runlevel,51,0.000000e+00,5.322937e-10,1.932060e-09,win,ok
cec2017,30,5,fdb-agsk,per_function_runlevel,51,1.000000e+00,5.649717e-10,1.932060e-09,win,ok
cec2017,30,5,atmals-gsk,per_function_runlevel,51,0.000000e+00,5.322937e-10,3.263446e-09,win,ok
cec2017,30,5,egsk,per_function_runlevel,51,9.800000e+01,1.216866e-07,4.411139e-07,loss,ok
cec2017,30,6,gsk,per_function_runlevel,51,7.200000e+01,7.824053e-08,1.745366e-07,loss,ok
cec2017,30,6,agsk,per_function_runlevel,51,2.020000e+02,1.586520e-05,2.421530e-05,win,ok
cec2017,30,6,apgsk,per_function_runlevel,51,9.100000e+01,8.483030e-08,1.366710e-07,win,ok
cec2017,30,6,fdb-agsk,per_function_runlevel,51,5.740000e+02,4.067921e-01,4.369249e-01,tie,ok
cec2017,30,6,atmals-gsk,per_function_runlevel,51,2.600000e+01,2.436750e-09,1.009511e-08,win,ok
cec2017,30,6,egsk,per_function_runlevel,51,4.890000e+02,1.530948e-01,2.336710e-01,tie,ok
cec2017,30,7,gsk,per_function_runlevel,51,0.000000e+00,5.322937e-10,2.572753e-09,win,ok
cec2017,30,7,agsk,per_function_runlevel,51,1.000000e+01,9.621213e-10,2.790152e-09,win,ok
cec2017,30,7,apgsk,per_function_runlevel,51,2.000000e+00,5.996047e-10,1.932060e-09,win,ok
cec2017,30,7,fdb-agsk,per_function_runlevel,51,3.600000e+01,4.307377e-09,1.135581e-08,win,ok
cec2017,30,7,atmals-gsk,per_function_runlevel,51,2.220000e+02,3.645313e-05,7.551006e-05,win,ok
cec2017,30,7,egsk,per_function_runlevel,51,5.000000e+00,7.164009e-10,1.240167e-08,loss,ok
cec2017,30,8,gsk,per_function_runlevel,51,0.000000e+00,5.322937e-10,2.572753e-09,win,ok
cec2017,30,8,agsk,per_function_runlevel,51,0.000000e+00,5.322937e-10,2.205217e-09,win,ok
cec2017,30,8,apgsk,per_function_runlevel,51,0.000000e+00,5.322937e-10,1.932060e-09,win,ok
cec2017,30,8,fdb-agsk,per_function_runlevel,51,0.000000e+00,5.322937e-10,1.932060e-09,win,ok
cec2017,30,8,atmals-gsk,per_function_runlevel,51,0.000000e+00,5.322937e-10,3.263446e-09,win,ok
cec2017,30,8,egsk,per_function_runlevel,51,1.830000e+02,6.977206e-06,2.248211e-05,loss,ok
cec2017,30,9,gsk,per_function_runlevel,51,0.000000e+00,3.710933e-01,4.304682e-01,tie,ok
cec2017,30,9,agsk,per_function_runlevel,51,0.000000e+00,5.322937e-10,2.205217e-09,win,ok
cec2017,30,9,apgsk,per_function_runlevel,51,0.000000e+00,5.322937e-10,1.932060e-09,win,ok
cec2017,30,9,fdb-agsk,per_function_runlevel,51,0.000000e+00,5.322937e-10,1.932060e-09,win,ok
cec2017,30,9,atmals-gsk,per_function_runlevel,51,9.000000e+00,5.802947e-04,8.857129e-04,win,ok
cec2017,30,9,egsk,per_function_runlevel,51,2.000000e+00,7.892681e-01,9.155511e-01,tie,ok
cec2017,30,10,gsk,per_function_runlevel,51,0.000000e+00,5.322937e-10,2.572753e-09,win,ok
cec2017,30,10,agsk,per_function_runlevel,51,1.630000e+02,2.843476e-06,4.850636e-06,loss,ok
cec2017,30,10,apgsk,per_function_runlevel,51,6.000000e+01,1.632359e-08,2.958652e-08,loss,ok
cec2017,30,10,fdb-agsk,per_function_runlevel,51,1.350000e+02,7.645240e-07,1.385700e-06,loss,ok
