cell,parameter,level,dimension,baseline_rank,perturbed_rank,baseline_ordinal,perturbed_ordinal,baseline_wtl_vs_perturbed,median_ratio_perturbed_over_baseline,note
e4_ace_learning_rate_hi_D100,ace_learning_rate,hi,100,2.3448,2.4138,1,1,19/0/10,1.0157,DESCRIPTIVE ONLY (registered exploratory). Perturbed arm has 15 runs vs the frozen 51; ordinal computed on per-function means.
e4_ace_learning_rate_hi_D30,ace_learning_rate,hi,30,2.5,2.4483,2,2,11/3/15,0.9933,DESCRIPTIVE ONLY (registered exploratory). Perturbed arm has 15 runs vs the frozen 51; ordinal computed on per-function means.
e4_ace_learning_rate_lo_D100,ace_learning_rate,lo,100,2.3448,2.2759,1,1,12/0/17,0.9901,DESCRIPTIVE ONLY (registered exploratory). Perturbed arm has 15 runs vs the frozen 51; ordinal computed on per-function means.
e4_ace_learning_rate_lo_D30,ace_learning_rate,lo,30,2.5,2.5172,2,2,8/4/17,0.9904,DESCRIPTIVE ONLY (registered exploratory). Perturbed arm has 15 runs vs the frozen 51; ordinal computed on per-function means.
e4_argp_threshold_hi_D100,argp_threshold,hi,100,2.3448,2.3448,1,1,20/0/9,1.0142,DESCRIPTIVE ONLY (registered exploratory). Perturbed arm has 15 runs vs the frozen 51; ordinal computed on per-function means.
e4_argp_threshold_hi_D30,argp_threshold,hi,30,2.5,2.6379,2,2,14/3/12,1.0,DESCRIPTIVE ONLY (registered exploratory). Perturbed arm has 15 runs vs the frozen 51; ordinal computed on per-function means.
e4_argp_threshold_lo_D100,argp_threshold,lo,100,2.3448,2.4483,1,1,18/0/11,1.0097,DESCRIPTIVE ONLY (registered exploratory). Perturbed arm has 15 runs vs the frozen 51; ordinal computed on per-function means.
e4_argp_threshold_lo_D30,argp_threshold,lo,30,2.5,2.431,2,2,10/3/16,0.9955,DESCRIPTIVE ONLY (registered exploratory). Perturbed arm has 15 runs vs the frozen 51; ordinal computed on per-function means.
e4_bse_restart_frac_hi_D100,bse_restart_frac,hi,100,2.3448,2.3793,1,1,11/0/18,0.9817,DESCRIPTIVE ONLY (registered exploratory). Perturbed arm has 15 runs vs the frozen 51; ordinal computed on per-function means.
e4_bse_restart_frac_hi_D30,bse_restart_frac,hi,30,2.5,2.569,2,2,10/3/16,0.9941,DESCRIPTIVE ONLY (registered exploratory). Perturbed arm has 15 runs vs the frozen 51; ordinal computed on per-function means.
e4_bse_restart_frac_lo_D100,bse_restart_frac,lo,100,2.3448,2.3793,1,1,12/0/17,0.9948,DESCRIPTIVE ONLY (registered exploratory). Perturbed arm has 15 runs vs the frozen 51; ordinal computed on per-function means.
