suite,dimension,function,category,difficulty_tercile,dtgsk_standing,selection_reason,selected_for_main
cec2017,30,1,unimodal,easy,comparable,not_selected,FALSE
cec2017,30,3,unimodal,easy,strong,"priority_4_(easy,strong)",TRUE
cec2017,30,4,simple_multimodal,easy,weak,not_selected,FALSE
cec2017,30,5,simple_multimodal,moderate,strong,not_selected,FALSE
cec2017,30,6,simple_multimodal,easy,comparable,not_selected,FALSE
cec2017,30,7,simple_multimodal,moderate,strong,not_selected,FALSE
cec2017,30,8,simple_multimodal,moderate,strong,not_selected,FALSE
cec2017,30,9,simple_multimodal,easy,comparable,not_selected,FALSE
cec2017,30,10,simple_multimodal,hard,comparable,"priority_2_(hard,comparable)",TRUE
cec2017,30,11,hybrid,easy,strong,not_selected,FALSE
cec2017,30,12,hybrid,hard,comparable,"priority_2_(hard,comparable)",TRUE
cec2017,30,13,hybrid,moderate,strong,not_selected,FALSE
cec2017,30,14,hybrid,easy,strong,not_selected,FALSE
cec2017,30,15,hybrid,easy,strong,not_selected,FALSE
cec2017,30,16,hybrid,hard,strong,not_selected,FALSE
cec2017,30,17,hybrid,moderate,strong,not_selected,FALSE
cec2017,30,18,hybrid,easy,strong,not_selected,FALSE
cec2017,30,19,hybrid,easy,strong,not_selected,FALSE
cec2017,30,20,hybrid,moderate,strong,not_selected,FALSE
cec2017,30,21,composition,moderate,strong,not_selected,FALSE
cec2017,30,22,composition,moderate,comparable,not_selected,FALSE
cec2017,30,23,composition,hard,strong,not_selected,FALSE
cec2017,30,24,composition,hard,strong,not_selected,FALSE
cec2017,30,25,composition,moderate,comparable,not_selected,FALSE
cec2017,30,26,composition,hard,weak,"priority_1_(hard,weak)",TRUE
cec2017,30,27,composition,hard,strong,not_selected,FALSE
cec2017,30,28,composition,moderate,comparable,not_selected,FALSE
cec2017,30,29,composition,hard,strong,not_selected,FALSE
cec2017,30,30,composition,hard,strong,not_selected,FALSE
cec2017,100,1,unimodal,easy,strong,"priority_4_(easy,strong)",TRUE
cec2017,100,3,unimodal,hard,strong,not_selected,FALSE
cec2017,100,4,simple_multimodal,easy,comparable,not_selected,FALSE
cec2017,100,5,simple_multimodal,easy,strong,"priority_4_(easy,strong)",TRUE
cec2017,100,6,simple_multimodal,easy,strong,not_selected,FALSE
cec2017,100,7,simple_multimodal,moderate,strong,not_selected,FALSE
cec2017,100,8,simple_multimodal,easy,strong,not_selected,FALSE
cec2017,100,9,simple_multimodal,easy,strong,not_selected,FALSE
cec2017,100,10,simple_multimodal,hard,strong,not_selected,FALSE
cec2017,100,11,hybrid,easy,strong,not_selected,FALSE
cec2017,100,12,hybrid,hard,comparable,"priority_2_(hard,comparable)",TRUE
cec2017,100,13,hybrid,hard,comparable,not_selected,FALSE
cec2017,100,14,hybrid,hard,strong,not_selected,FALSE
cec2017,100,15,hybrid,easy,strong,not_selected,FALSE
cec2017,100,16,hybrid,moderate,comparable,not_selected,FALSE
cec2017,100,17,hybrid,moderate,strong,not_selected,FALSE
cec2017,100,18,hybrid,hard,strong,not_selected,FALSE
cec2017,100,19,hybrid,easy,comparable,not_selected,FALSE
cec2017,100,20,hybrid,moderate,strong,not_selected,FALSE
cec2017,100,21,composition,moderate,strong,not_selected,FALSE
cec2017,100,22,composition,hard,strong,not_selected,FALSE
cec2017,100,23,composition,moderate,comparable,not_selected,FALSE
cec2017,100,24,composition,moderate,comparable,not_selected,FALSE
cec2017,100,25,composition,moderate,comparable,not_selected,FALSE
cec2017,100,26,composition,hard,comparable,"priority_2_(hard,comparable)",TRUE
cec2017,100,27,composition,moderate,strong,not_selected,FALSE
cec2017,100,28,composition,easy,weak,not_selected,FALSE
cec2017,100,29,composition,moderate,comparable,not_selected,FALSE
cec2017,100,30,composition,hard,comparable,not_selected,FALSE
