function,full_mean,no_sgsm_mean,no_adaptive_mean,no_finalpolish_mean,wtl_full_vs_no_sgsm,wtl_full_vs_no_adaptive,wtl_full_vs_no_finalpolish
1,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,T,T,T
2,1.3876375338e+05,1.3648730646e+05,1.5031376444e+05,1.4004748463e+05,L,W,W
3,3.4763117993e+05,1.8032494462e+05,3.8407251576e+05,3.4686641630e+05,L,W,L
4,7.1014988945e-02,1.0974826304e-01,8.3021841777e-02,6.3111428597e-02,W,W,L
5,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,T,T,T
6,4.3451666671e+01,4.3450112032e+01,4.3448325361e+01,4.3469701325e+01,L,L,W
7,6.1591053696e-01,8.1754404338e-01,8.1730105311e-01,6.1962520263e-01,W,W,W
8,2.1121047645e+01,2.1117889468e+01,2.1121047645e+01,2.1127344858e+01,L,T,W
9,5.0917866838e+01,5.1575303408e+01,5.1057665216e+01,5.3619079854e+01,W,W,W
10,3.4176144849e-02,3.4085527931e-02,4.3040855587e-02,3.4176144849e-02,L,W,T
11,3.3969126915e+01,1.0904449475e+01,4.0731814959e+01,3.9286779901e+01,L,W,W
12,4.4031599037e+01,4.6478222402e+01,5.4356761146e+01,5.3401698881e+01,W,W,W
13,1.1593132253e+02,1.1403301838e+02,1.1449992589e+02,1.2574127125e+02,L,L,W
14,4.0551908990e+03,4.6516535075e+02,3.7972122965e+03,5.1891415754e+03,L,L,W
15,6.5113702149e+03,6.6585760185e+03,6.5276185536e+03,7.7766841736e+03,W,W,W
16,9.2866262713e-01,1.0685779410e+00,1.0159750966e+00,2.8061164411e+00,W,W,W
17,1.0258809787e+02,5.4793896511e+01,9.3978653276e+01,1.1207198071e+02,L,L,W
18,1.1813196241e+02,1.1637714987e+02,1.2759695127e+02,1.5294364186e+02,L,W,W
19,8.3469060852e+00,3.6223209658e+00,7.5001556374e+00,1.0283930289e+01,L,L,W
20,1.9574666641e+01,1.9577631201e+01,1.9574666641e+01,2.0009911731e+01,W,T,W
21,5.2576137369e+02,5.0029591929e+02,5.2575361977e+02,5.2576099627e+02,L,L,L
22,4.1036219783e+03,2.9405984181e+02,3.8758644460e+03,4.9952521108e+03,L,L,W
23,6.4500542049e+03,6.4853793812e+03,6.5666507464e+03,7.4477543147e+03,W,W,W
24,2.0404352716e+02,2.0497873637e+02,2.0495154556e+02,2.0404352714e+02,W,W,L
25,3.6215741759e+02,3.6739988102e+02,3.6826089332e+02,3.6976176195e+02,W,W,W
26,2.2759566985e+02,2.2693539589e+02,2.2693380755e+02,2.2759593455e+02,L,L,W
27,6.1067594708e+02,5.9801182769e+02,6.2728167552e+02,6.1067594809e+02,L,W,W
28,4.0000000000e+02,4.0000000000e+02,4.0000000000e+02,4.0000000000e+02,T,T,T
