doc,artifact_type,artifact_id,status,method,detail,format_only_difference,content_hash
DT-GSK.docx,heading,1. Introduction,PASS,pdf-outline-match,,,2473e96bc614
DT-GSK.docx,heading,2. Related Work,PASS,pdf-outline-match,,,e85ae58d622c
DT-GSK.docx,heading,2.1. The GSK Family: From Fixed Parameters to Adaptive Control,PASS,pdf-outline-match,,,5974d2430dc2
DT-GSK.docx,heading,2.2. Structure Learning Outside the GSK Family,PASS,pdf-outline-match,,,f90805ec655d
DT-GSK.docx,heading,2.3. Positioning of DT-GSK Against the GSK Family,PASS,pdf-outline-match,,,f1352307a579
DT-GSK.docx,heading,3. Proposed DT-GSK Algorithm,PASS,pdf-outline-match,,,49613e3a4280
DT-GSK.docx,heading,3.1. Notation and Base-GSK Recap,PASS,pdf-outline-match,,,c96ad09c037b
DT-GSK.docx,heading,3.2. Architecture Overview and Execution Order,PASS,pdf-outline-match,,,6a22f07b920e
DT-GSK.docx,heading,3.3. Dimension-Tiered Adaptive Scaffold (Contribution C2),PASS,pdf-outline-match,,,246370f11283
DT-GSK.docx,heading,3.3.1. ACE: Bandit Control of the Operator Pool,PASS,pdf-outline-match,,,b802aac04e3b
DT-GSK.docx,heading,3.3.2. ARGP: Acceptance-Rate Gated Pruning,PASS,pdf-outline-match,,,3fdce2372bac
DT-GSK.docx,heading,3.3.3. NLPSR: Tier-Floored Population-Size Reduction,PASS,pdf-outline-match,,,c2c0f7136a14
DT-GSK.docx,heading,3.3.4. BSE and the Diversity Archive: Budget-Safe Escape,PASS,pdf-outline-match,,,63dd339992fc
DT-GSK.docx,heading,3.3.5. Deep-Stall Restart with the Global-Best Invariant,PASS,pdf-outline-match,,,58b9b81e978b
DT-GSK.docx,heading,3.4. Interaction-Structure Memory and Linkage-Aware Exploitation (Supp,PASS,pdf-outline-match,,,28e9579a9970
DT-GSK.docx,heading,3.5. Eigenframe Final Polish (Contribution C1),PASS,pdf-outline-match,,,72020cbfc0aa
DT-GSK.docx,heading,3.6. Upper-Tier Controllers (D≥100),PASS,pdf-outline-match,,,b407fc56b331
DT-GSK.docx,heading,"3.7. Parameter Configuration, Determinism, and Configuration Lock (Con",PASS,pdf-outline-match,,,8d79581adbcb
DT-GSK.docx,heading,3.8. Complexity and Evaluation Accounting,PASS,pdf-outline-match,,,ac15b208a706
DT-GSK.docx,heading_runin,Computational cost.,PASS,pdf-text-containment,,,e990cccd555e
DT-GSK.docx,heading_runin,Evaluation accounting.,PASS,pdf-text-containment,,,329561eb59d3
DT-GSK.docx,heading,4. Experimental Study,PASS,pdf-outline-match,,,3639ef48d34e
DT-GSK.docx,heading,4.1. Experimental Setup,PASS,pdf-outline-match,,,9bd871adf4b9
DT-GSK.docx,heading_runin,Evidence discipline.,PASS,pdf-text-containment,,,540091bbcc71
DT-GSK.docx,heading_runin,"Suites, budgets, and metrics.",PASS,pdf-text-containment,,,5f4657de41e6
DT-GSK.docx,heading_runin,"Panel, pairing, and seed-paired start.",PASS,pdf-text-containment,,,0e910e96d62f
DT-GSK.docx,heading_runin,Environment and determinism.,PASS,pdf-text-containment,,,1d08816eb024
DT-GSK.docx,heading_runin,Statistical protocol.,PASS,pdf-text-containment,,,419fdbc192fe
DT-GSK.docx,heading,4.2. Results on the CEC2017 Primary Suite,PASS,pdf-outline-match,,,5a1b68476ed9
DT-GSK.docx,heading,4.2.1. Per-Function Results,PASS,pdf-outline-match,,,5bf8e2327ab9
DT-GSK.docx,heading,4.2.2. Family-Panel Comparison,PASS,pdf-outline-match,,,cc4d8a6aa672
DT-GSK.docx,heading,4.2.3. Statistical Analysis,PASS,pdf-outline-match,,,d43251535eda
DT-GSK.docx,heading_runin,Statistical protocol.,PASS,pdf-text-containment,,,419fdbc192fe
DT-GSK.docx,heading_runin,Robustness of the rank statements.,PASS,pdf-text-containment,,,7e2694f1d68c
DT-GSK.docx,heading,4.3. Results on the CEC2011 Real-World Suite,PASS,pdf-outline-match,,,159d4ded2240
DT-GSK.docx,heading,4.4. Results on the CEC2013 Second Comparison Suite,PASS,pdf-outline-match,,,6b71f0eff668
DT-GSK.docx,heading,4.5. Results on the CEC2020 Pre-Registered Confirmatory Suite,PASS,pdf-outline-match,,,0483abb1df68
DT-GSK.docx,heading,4.6. Results on the CEC2013LSGO Large-Scale Suite,PASS,pdf-outline-match,,,2e5ff577849d
DT-GSK.docx,heading,4.7. Convergence Analysis,PASS,pdf-outline-match,,,68d6b50b5629
DT-GSK.docx,heading,4.8. Runtime and Complexity in Practice,PASS,pdf-outline-match,,,fd1b213e0aad
DT-GSK.docx,heading,4.9. Discussion,PASS,pdf-outline-match,,,8fb937b602b4
DT-GSK.docx,heading_runin,Alternative explanations for the standing.,PASS,pdf-text-containment,,,c6b5034990a7
DT-GSK.docx,heading_runin,By function class.,PASS,pdf-text-containment,,,b52ceca1905d
DT-GSK.docx,heading_runin,By dimension.,PASS,pdf-text-containment,,,d39b98ed7bfc
