citation_key,bib_title,bib_authors,bib_year,bib_venue,bib_doi,source_file,source_title,source_authors,source_year,source_venue,source_doi,format,page_count,source_checksum,identity_status,readability_status,admissible,notes
demsar2006statistical,Statistical Comparisons of Classifiers over Multiple Data Sets,"Demsar, Janez",2006,Journal of Machine Learning Research,,demsar2006statistical.pdf,Statistical Comparisons of Classifiers over Multiple Data Sets,"Demsar, Janez",2006,Journal of Machine Learning Research,,pdf,30,aa5fa1c71338d0d380e7a97e3503ce486d4e5798069647a8d39f57a1f99a7c8c,verified,readable,yes,
efron1993introduction,An Introduction to the Bootstrap,"Efron, Bradley and Tibshirani, Robert J.",1993,Chapman & Hall,10.1201/9780429246593,efron1993introduction.pdf,An Introduction to the Bootstrap,"Efron, Bradley and Tibshirani, Robert J.",1993,Chapman & Hall/CRC (reprint printing of the 1993 edition),10.1201/9780429246593,pdf,60,d2519d082976641c28dd8141d0a27d8e7ed56109c6eb9882efdc271aa78f9d82,verified,readable,yes,"Partial excerpt of the book (60 pages: series front matter, title page, early chapters through ~p.43). Title page confirms Efron & Tibshirani, 'An Introduction to the Bootstrap'. Local printing carries the Chapman & Hall/CRC (Taylor & Francis, (c) 1994 imprint) reprint page; bib cites the 1993 Chapman & Hall edition with the CRC edition DOI. Locators limited to the excerpted pages."
benjamini1995controlling,Controlling the False Discovery Rate: A Practical and Powerful Approach to Multiple Testing,"Benjamini, Yoav and Hochberg, Yosef",1995,Journal of the Royal Statistical Society: Series B (Methodological),10.1111/j.2517-6161.1995.tb02031.x,benjamini1995controlling.pdf,Controlling the False Discovery Rate: A Practical and Powerful Approach to Multiple Testing,"Benjamini, Yoav and Hochberg, Yosef",1995,Journal of the Royal Statistical Society: Series B (Methodological),10.1111/j.2517-6161.1995.tb02031.x,pdf,12,d155815b607568d852ca2aac08db35fd1d37d27436b40e7b10dec586480b31b1,verified,readable,yes,
vargha2000critique,A Critique and Improvement of the CL Common Language Effect Size Statistics of McGraw and Wong,"Vargha, Andras and Delaney, Harold D.",2000,Journal of Educational and Behavioral Statistics,10.3102/10769986025002101,vargha2000critique.pdf,A Critique and Improvement of the CL Common Language Effect Size Statistics of McGraw and Wong,"Vargha, Andras and Delaney, Harold D.",2000,Journal of Educational and Behavioral Statistics,10.3102/10769986025002101,pdf,32,85996798e0263ec930a007fa048be094bcc3f807382900f9460229c9e909b60e,verified,readable,yes,Verified; accented first author name renders as 'Andrfis' in text extraction (artifact only). JEBS 25(2) 101-132 header confirmed.
mohamed2020gaining,Gaining-Sharing Knowledge Based Algorithm for Solving Optimization Problems: A Novel Nature-Inspired Algorithm,"Mohamed, Ali Wagdy and Hadi, Anas A. and Mohamed, Ali K.",2020,International Journal of Machine Learning and Cybernetics,10.1007/s13042-019-01053-x,mohamed2020gaining.pdf,Gaining-Sharing Knowledge Based Algorithm for Solving Optimization Problems: A Novel Nature-Inspired Algorithm,"Mohamed, Ali Wagdy and Hadi, Anas A. and Mohamed, Ali K.",2020,International Journal of Machine Learning and Cybernetics,10.1007/s13042-019-01053-x,pdf,29,38d80438c077f24749c10a14db50609a35f484a5c284e76801d2b7e6e31ba500,verified,readable,yes,"Verified via exact title, all authors, and on-page DOI 10.1007/s13042-019-01053-x. Springer online-first layout; bib year 2020 matches the journal issue (11(7):1501-1529)."
jawad2024egsk,Enhanced Gaining-Sharing Knowledge-Based Algorithm for Global Optimization,"Jawad, Mohammed Adnan and Roshdy, Heba Sayed Mohamed and Mohamed, Ali Wagdy",2024,Preprint; in press,,jawad2024egsk.pdf,Enhanced Gaining-Sharing Knowledge-based algorithm,Mohammed Adnan Jawad and Heba Sayed Mohamed Roshdy and Ali Wagdy Mohamed,2025,Results in Control and Optimization,10.1016/j.rico.2025.100542,pdf,19,aaeb060efbf8d68439789b3d2547ebc950882e5ec5c5b99c0f433b6033ad2da5,minor_metadata_mismatch,readable,yes,"Bib is a @misc preprint/in-press placeholder (2024). Local file is the PUBLISHED article: Results in Control and Optimization 19 (2025) 100542, doi:10.1016/j.rico.2025.100542; printed title is 'Enhanced Gaining-Sharing Knowledge-based algorithm' (without 'for Global Optimization'). Authors match exactly. Resolution: identity confirmed as the same work; the bib's own note anticipates inserting the camera-ready metadata; published metadata recorded here for that change request."
mohamed2021novel,Novel Mutation Strategy for Enhancing SHADE and LSHADE Algorithms for Global Numerical Optimization,"Mohamed, Ali Wagdy and Hadi, Anas A. and Mohamed, Ali K.",2021,Swarm and Evolutionary Computation,10.1016/j.swevo.2019.100455,mohamed2021novel.pdf,Novel Mutation Strategy for Enhancing SHADE and LSHADE Algorithms for Global Numerical Optimization,Ali W. Mohamed and Anas A. Hadi and Kamal M. Jambi,2019,Swarm and Evolutionary Computation,10.1016/j.swevo.2018.10.006,pdf,14,26ee556389a44b62eb5a21e0d9a9cc8a0da073c28342cc26df95c5079b208445,minor_metadata_mismatch,readable,yes,"Identity certain (exact title; journal + article number 100455 match). Bib metadata errors resolved from source: year is 2019 (Swarm Evol. Comput. 50 (2019) 100455), not 2021; DOI is 10.1016/j.swevo.2018.10.006, not 10.1016/j.swevo.2019.100455; third author is Kamal M. Jambi, not 'Mohamed, Ali K.'."
mohamed2020agsk,Evaluating the Performance of Adaptive Gaining-Sharing Knowledge Based Algorithm on CEC 2020 Benchmark Problems,"Mohamed, Ali Wagdy and Hadi, Anas A. and Mohamed, Ali Khater and Awad, Noor H.",2020,Proceedings of the 2020 IEEE Congress on Evolutionary Computation (CEC),10.1109/CEC48606.2020.9185901,mohamed2020agsk.pdf,Evaluating the Performance of Adaptive Gaining-Sharing Knowledge Based Algorithm on CEC 2020 Benchmark Problems,"Mohamed, Ali Wagdy and Hadi, Anas A. and Mohamed, Ali Khater and Awad, Noor H.",2020,Proceedings of the 2020 IEEE Congress on Evolutionary Computation (CEC),10.1109/CEC48606.2020.9185901,pdf,8,24795202937f61594a3902ba2ce06ff82feaa681ab4783ddf899b71870b460e3,verified,readable,yes,
apgsk2021,Gaining-Sharing Knowledge Based Algorithm With Adaptive Parameters for Engineering Optimization,"Mohamed, Ali Wagdy and Abutarboush, Hattan F. and Hadi, Anas A. and Mohamed, Ali Khater",2021,IEEE Access,10.1109/ACCESS.2021.3076091,apgsk2021.pdf,Gaining-Sharing Knowledge Based Algorithm With Adaptive Parameters for Engineering Optimization,"Mohamed, Ali Wagdy and Abutarboush, Hattan F. and Hadi, Anas A. and Mohamed, Ali Khater",2021,IEEE Access,10.1109/ACCESS.2021.3076091,pdf,13,591ac6ae47a3a2589e4981587e012cd4074a8a9ac01f6c7b048633c01457f3f6,verified,readable,yes,Verified; bib DOI found on page.
fdbagsk2023,Improved Adaptive Gaining-Sharing Knowledge Algorithm with FDB-Based Guiding Mechanism for Optimization of Optimal Reactive Power Flow Problem,"Bakir, Huseyin and Duman, Serhat and Guvenc, Ugur and Kahraman, Hamdi Tolga",2023,Electrical Engineering,10.1007/s00202-023-01803-9,fdbagsk2023.pdf,Improved Adaptive Gaining-Sharing Knowledge Algorithm with FDB-Based Guiding Mechanism for Optimization of Optimal Reactive Power Flow Problem,"Bakir, Huseyin and Duman, Serhat and Guvenc, Ugur and Kahraman, Hamdi Tolga",2023,Electrical Engineering,10.1007/s00202-023-01803-9,pdf,41,407939c92f1b1c8f04633d4ab708a0a814d94fb95662f8b3732245f80bcfac0d,verified,readable,yes,
