line_no,classification,requirement_id,note
1,example_or_comment,,HTML comment banner: file identity and purpose
2,example_or_comment,,HTML comment banner: file identity and purpose
3,example_or_comment,,HTML comment banner: file identity and purpose
4,example_or_comment,,HTML comment banner: file identity and purpose
5,example_or_comment,,HTML comment banner: file identity and purpose
6,example_or_comment,,HTML comment banner: file identity and purpose
8,example_or_comment,,HTML comment banner: file identity and purpose
9,duplicate,,duplicate of R-53 single-authority rule
10,duplicate,,duplicate of R-53 single-authority rule
12,duplicate,,duplicate of phase-gate ordering (Sections 12-13)
13,duplicate,,duplicate of phase-gate ordering (Sections 12-13)
14,duplicate,,duplicate of R-83 final-phase ablation timing
15,example_or_comment,,comment close
17,structural_heading,,
19,structural_heading,,
21,integrated,R-21,
22,integrated,,continuation of R-21
23,integrated,,continuation of R-21
24,integrated,,continuation of R-21
25,integrated,,continuation of R-21
26,integrated,,continuation of R-21
28,integrated,R-28,
29,integrated,,continuation of R-28
30,integrated,,continuation of R-28
31,integrated,,continuation of R-28
32,integrated,,continuation of R-28
33,integrated,,continuation of R-28
34,integrated,,continuation of R-28
36,integrated,R-36,
37,integrated,,continuation of R-36
38,duplicate,,duplicate of R-97 core operating law
39,duplicate,,duplicate of R-97 core operating law
41,structural_heading,,
43,integrated,R-43,
44,integrated,,continuation of R-43
46,integrated,,part of R-43 list
47,integrated,,part of R-43 list
48,integrated,,part of R-43 list
49,integrated,,part of R-43 list
51,structural_heading,,
53,integrated,R-53,
54,integrated,,continuation of R-53
55,integrated,,continuation of R-53
57,integrated,R-57,
59,integrated,,part of R-57 list
60,integrated,,part of R-57 list
61,integrated,,part of R-57 list
62,integrated,,part of R-57 list
63,integrated,,part of R-57 list
64,integrated,,part of R-57 list
65,integrated,,part of R-57 list
66,integrated,,part of R-57 list
68,integrated,R-68,
69,integrated,,continuation of R-68
70,integrated,,continuation of R-68
71,integrated,,continuation of R-68
73,structural_heading,,
75,integrated,R-75,
77,integrated,R-77,
78,integrated,,continuation of R-77
79,integrated,R-79,
80,integrated,,continuation of R-79
81,integrated,,continuation of R-79
82,integrated,R-82,
83,integrated,R-83,
84,integrated,,continuation of R-83
85,integrated,,continuation of R-83
86,integrated,,continuation of R-83
87,integrated,R-87,
88,integrated,,continuation of R-87
89,integrated,,continuation of R-87
90,integrated,R-90,
91,integrated,,continuation of R-90
92,integrated,R-92,
93,integrated,,continuation of R-92
95,structural_heading,,
97,integrated,R-97,
99,integrated,R-99,
100,integrated,,continuation of R-99
102,integrated,,part of R-99 list
103,integrated,,part of R-99 list
104,integrated,,part of R-99 list
105,integrated,,part of R-99 list
106,integrated,,part of R-99 list
107,integrated,,part of R-99 list
109,integrated,R-109,
110,integrated,,continuation of R-109
111,integrated,,continuation of R-109
113,structural_heading,,
115,integrated,R-115,
116,integrated,,continuation of R-115
118,integrated,,part of R-115 list
119,integrated,,part of R-115 list
120,integrated,,part of R-115 list
121,integrated,,part of R-115 list
122,integrated,,part of R-115 list
123,integrated,,part of R-115 list
124,integrated,,part of R-115 list
125,integrated,,part of R-115 list
126,integrated,,part of R-115 list
127,integrated,,part of R-115 list
