Eval,BestError,Log10Error
100,6.8993104672836646e+17,1.7838805688531796e+01
200,6.8993104672836646e+17,1.7838805688531796e+01
300,6.8993104672836646e+17,1.7838805688531796e+01
400,6.8993104672836646e+17,1.7838805688531796e+01
500,6.8993104672836646e+17,1.7838805688531796e+01
600,6.8993104672836646e+17,1.7838805688531796e+01
700,6.8993104672836646e+17,1.7838805688531796e+01
800,5.6080725826237043e+17,1.7748813625862482e+01
900,5.6080725826237043e+17,1.7748813625862482e+01
1000,2.1090895921676691e+17,1.7324095028557700e+01
1100,2.1090895921676691e+17,1.7324095028557700e+01
1200,2.1090895921676691e+17,1.7324095028557700e+01
1300,2.1090895921676691e+17,1.7324095028557700e+01
1400,2.1090895921676691e+17,1.7324095028557700e+01
1500,2.1090895921676691e+17,1.7324095028557700e+01
1600,2.1090895921676691e+17,1.7324095028557700e+01
1700,2.1090895921676691e+17,1.7324095028557700e+01
1800,2.1090895921676691e+17,1.7324095028557700e+01
1900,2.0217579660729203e+17,1.7305729162980722e+01
2000,1.0048534070110995e+17,1.7002102709348758e+01
2100,1.0048534070110995e+17,1.7002102709348758e+01
2200,1.0048534070110995e+17,1.7002102709348758e+01
2300,1.0048534070110995e+17,1.7002102709348758e+01
2400,1.0048534070110995e+17,1.7002102709348758e+01
2500,1.0048534070110995e+17,1.7002102709348758e+01
2600,1.0048534070110995e+17,1.7002102709348758e+01
2700,1.0048534070110995e+17,1.7002102709348758e+01
2800,1.0048534070110995e+17,1.7002102709348758e+01
2900,9.3377137181742832e+16,1.6970240554910372e+01
3000,8.2105448212235744e+16,1.6914371976242521e+01
3100,8.2105448212235744e+16,1.6914371976242521e+01
3200,8.2105448212235744e+16,1.6914371976242521e+01
3300,8.2105448212235744e+16,1.6914371976242521e+01
3400,8.2105448212235744e+16,1.6914371976242521e+01
3500,7.0460079437026984e+16,1.6847943128471154e+01
3600,7.0460079437026984e+16,1.6847943128471154e+01
3700,7.0460079437026984e+16,1.6847943128471154e+01
3800,7.0460079437026984e+16,1.6847943128471154e+01
3900,7.0460079437026984e+16,1.6847943128471154e+01
4000,7.0460079437026984e+16,1.6847943128471154e+01
4100,7.0460079437026984e+16,1.6847943128471154e+01
4200,5.2824231704869048e+16,1.6722833189230979e+01
4300,5.2824231704869048e+16,1.6722833189230979e+01
4400,5.2824231704869048e+16,1.6722833189230979e+01
4500,5.2824231704869048e+16,1.6722833189230979e+01
4600,5.2824231704869048e+16,1.6722833189230979e+01
