Run,Seed,E30000,E60000,E90000,E150000,E300000,E600000,E900000,E1200000,E1500000,E1800000,E2100000,E2400000,E2700000,E3000000
1,1025243790,1792010889579.632,1051299679044.156,886351035302.2488,627344886231.3125,419485703129.3488,252202532598.4087,169032835122.8481,126206555252.0642,90366674480.29352,31617125037.60001,14272843650.84837,11497089732.80931,10624736941.51811,10450176111.70901
2,1026243827,2030499511649.234,1183290079969,880902016460.7458,553391165463.4484,383576162815.8754,231754775355.6933,174165363581.9514,129906919298.1553,92578914509.64368,20939707831.32204,10471328483.46295,7508981925.689354,6497573675.439906,6321470883.814371
3,1027243864,2052987917443.509,1414936813635.599,1006523169947.293,688283905356.2896,449339378050.6971,233078488723.941,181732284466.0513,124370476832.4149,23616303289.26955,8698871298.945158,7042853053.111284,6145043599.723188,5743781148.751225,5681166958.362045
4,1028243901,2077076447083.866,1154397749731.167,890867493663.6918,689782391911.5859,439825284749.9146,254766927527.9978,193008088483.5294,156335411245.936,103718654579.9717,27177199785.64285,14992319686.64321,11607861702.44075,10711059484.10655,10597656733.49958
5,1029243938,2069616885045.293,1044205128193.285,742807316767.5898,602967981125.7202,377712848616.4624,231792947070.6866,176351370020.2863,130370990401.226,68374958235.17456,9621547809.163799,5864834607.990461,5170380570.398338,4296481118.119035,4210200280.147713
6,1030243975,1823895969053.103,1359410812370.767,827116834478.1423,638273029662.9071,426156698842.4727,237744692725.112,181360668691.6588,146912021404.6887,99632830166.99115,17156964262.9685,11050625144.41282,9705891527.076082,9052637503.910707,8855914298.200901
7,1031244012,1777502001554.894,1058286344115.587,941837848234.3583,670906503931.8621,417109871740.9382,252206669962.4913,182245790133.0132,140376297651.2692,80567703363.73842,12924639280.44285,8636837434.918764,6186448804.410371,5779536388.269054,5640010878.743279
8,1032244049,1947598948978.105,1234234984207.064,902030654358.0546,650672107590.1606,393718441701.2482,229242767570.374,160119542183.6089,124892738316.2512,99353029712.07449,11605144396.82605,8117911090.84882,7212265619.250856,6190227296.595417,5940160961.150716
9,1033244086,1863482521712.35,1198146836182.624,877348039066.3121,587727438750.4518,407063709832.6498,236445643469.4997,164458642109.507,106443103673.0382,46961516346.49597,9586054162.650316,8290019904.104292,7894611145.864271,7570074215.228336,7502566959.902311
10,1034244123,1704158077193.647,1163884807624.074,913589923528.7698,583772100090.7041,397046171378.7307,211624484679.621,144293693633.7083,97308073917.86395,46640296687.34531,9008496472.160475,6052055550.020762,5086169948.387714,4472579832.873187,4272670159.267774
11,1035244160,2148536160647.292,1170778973079.936,983190776959.0112,561171308896.9702,425810285695.3363,247410538332.4289,181016561633.6343,115653346783.6942,22992157674.88435,8625432143.800335,5470362329.174117,4287483001.254764,3524847772.623504,3435407635.594117
12,1036244197,2214708883905.837,1104559990691.671,922323549685.3823,642972112658.0377,419511132537.4134,226006489894.4931,163249043223.9833,104596989028.8958,23251710337.30183,9962634323.494617,7574574452.658384,6778836496.705654,6234587921.992481,6182579071.452844
13,1037244234,1909511362755.075,1228155525413.385,939738000727.0432,608124061359.2001,396592796048.3754,232083545109.313,170637125440.5042,120538590870.9691,61147948071.05705,10257838588.10393,6724995997.274248,5936481777.022553,5612154538.596521,5295364384.922077
14,1038244271,1844571415432.434,989851026659.8718,912988147081.8766,535227775545.2661,334811870120.2683,230901905559.6595,162412933542.6739,126066083435.4202,71313655766.66646,14066481787.44022,6573454922.574501,5758713129.961591,5416089565.542934,5357111653.593389
15,1039244308,2072857943758.143,1169772080552.263,873236765574.4191,605203531260.7479,390781673531.0784,239870946547.5519,181591674060.1775,125892369348.3951,71085625256.66928,13020506836.65382,6684736967.760244,5134560825.541565,4694027005.151895,4606525644.954
16,1040244345,1697906212041.811,1188693440705.378,868872497645.8754,605249577616.3385,393604311586.3383,236992130083.0479,190089477702.836,134186406282.9586,81009632340.60733,15931970563.82492,9404540171.768812,8128053699.05805,7842556573.985745,7536201497.041706
17,1041244382,1817695203599.188,1276047658460.477,1014090632165.601,707308380010.4485,428696700957.5777,242853828124.5397,185919626208.4507,155726354292.1833,106132654396.6866,21223531886.59038,11363264441.89456,8292382066.842876,7298061268.337427,6840944515.597385
18,1042244419,1752905314019.401,1190809252083.478,905992244550.5527,632651437605.6399,389574409917.2011,233397662438.1841,168275107914.0646,135838071868.2859,89968150021.74596,19997202343.70047,13117293397.83195,12156771569.8437,11760977013.03338,11645023366.79931
