==============================================================================================================
DETAILED PER-RUN LOG   AGSK   CEC2013LSGO   D1000
runs per function : 25
functions         : [1 2 3 4 5 6 7 8 9 10 11 12]
statistics basis  : raw objective
generated         : 2026-07-22_17.52.15
==============================================================================================================

----- F1  D1000  (25 runs)  optimum=nan  target_error=nan -----
Run    Seed          Best_Fitness             Error                    NFEs          Termination             Runtime_s 
1      1022243691    6.4420373970813164e+06   nan                      3000000       max_evaluations         701.6656  
2      1023243728    1.3810707056333739e+06   nan                      3000000       max_evaluations         704.5362  
3      1024243765    2.5861350150483749e+06   nan                      3000000       max_evaluations         777.7478  
4      1025243802    2.3569744806990954e+06   nan                      3000000       max_evaluations         703.9511  
5      1026243839    2.5493458747331388e+06   nan                      3000000       max_evaluations         773.7930  
6      1027243876    5.3962041236801329e+05   nan                      3000000       max_evaluations         770.5835  
7      1028243913    3.4503101200546646e+06   nan                      3000000       max_evaluations         777.7903  
8      1029243950    1.6267075358291150e+06   nan                      3000000       max_evaluations         702.8900  
9      1030243987    2.2519059737515752e+06   nan                      3000000       max_evaluations         701.8428  
10     1031244024    4.8846994970885934e+06   nan                      3000000       max_evaluations         702.4890  
11     1032244061    1.2823104681408126e+06   nan                      3000000       max_evaluations         780.8733  
12     1033244098    7.5796539304992715e+06   nan                      3000000       max_evaluations         773.6145  
13     1034244135    1.3747822162411653e+06   nan                      3000000       max_evaluations         701.2714  
14     1035244172    1.6906127194624771e+06   nan                      3000000       max_evaluations         626.7682  
15     1036244209    3.3039870103862607e+06   nan                      3000000       max_evaluations         624.5006  
16     1037244246    2.0058683447323281e+06   nan                      3000000       max_evaluations         625.5921  
17     1038244283    1.2440208295180739e+06   nan                      3000000       max_evaluations         626.5356  
18     1039244320    6.1189514747108156e+06   nan                      3000000       max_evaluations         625.8658  
19     1040244357    1.0200305994764029e+06   nan                      3000000       max_evaluations         624.6206  
20     1041244394    1.4247667758316195e+06   nan                      3000000       max_evaluations         622.3669  
21     1042244431    7.0674123800741453e+06   nan                      3000000       max_evaluations         612.7219  
22     1043244468    8.8233540278126684e+05   nan                      3000000       max_evaluations         608.0847  
23     1044244505    7.7126429584909393e+05   nan                      3000000       max_evaluations         611.8439  
24     1045244542    4.1569891801746935e+06   nan                      3000000       max_evaluations         608.4626  
25     1046244579    6.9823418342900369e+06   nan                      3000000       max_evaluations         605.5803  

----- F2  D1000  (25 runs)  optimum=nan  target_error=nan -----
Run    Seed          Best_Fitness             Error                    NFEs          Termination             Runtime_s 
1      1023243724    1.2932591713904474e+04   nan                      3000000       max_evaluations         776.8318  
2      1024243761    1.3327985992604912e+04   nan                      3000000       max_evaluations         773.1260  
3      1025243798    1.2925128809629274e+04   nan                      3000000       max_evaluations         774.5550  
4      1026243835    1.3141995155729519e+04   nan                      3000000       max_evaluations         782.1716  
5      1027243872    1.3139056452725245e+04   nan                      3000000       max_evaluations         778.8356  
6      1028243909    1.2958274620172320e+04   nan                      3000000       max_evaluations         781.1263  
7      1029243946    1.3105406814343301e+04   nan                      3000000       max_evaluations         776.3845  
8      1030243983    1.3066068584404091e+04   nan                      3000000       max_evaluations         772.5332  
9      1031244020    1.3289541396237340e+04   nan                      3000000       max_evaluations         773.0948  
10     1032244057    1.2757064653223604e+04   nan                      3000000       max_evaluations         771.2455  
11     1033244094    1.3314101272214428e+04   nan                      3000000       max_evaluations         769.3013  
12     1034244131    1.3227378017060473e+04   nan                      3000000       max_evaluations         773.1418  
13     1035244168    1.3380664298779164e+04   nan                      3000000       max_evaluations         771.1383  
14     1036244205    1.3085162292690591e+04   nan                      3000000       max_evaluations         783.7752  
15     1037244242    1.3314661726767166e+04   nan                      3000000       max_evaluations         787.9107  
16     1038244279    1.3777951498391862e+04   nan                      3000000       max_evaluations         789.7909  
17     1039244316    1.2490791496151740e+04   nan                      3000000       max_evaluations         793.5716  
18     1040244353    1.2626136231468266e+04   nan                      3000000       max_evaluations         787.7777  
19     1041244390    1.3718547361995648e+04   nan                      3000000       max_evaluations         792.7451  
20     1042244427    1.3764701083786727e+04   nan                      3000000       max_evaluations         787.2638  
21     1043244464    1.3499996398079409e+04   nan                      3000000       max_evaluations         789.5297  
22     1044244501    1.3164652735673149e+04   nan                      3000000       max_evaluations         790.4765  
23     1045244538    1.3788796673493098e+04   nan                      3000000       max_evaluations         786.7146  
24     1046244575    1.3061518761694708e+04   nan                      3000000       max_evaluations         791.0211  
25     1047244612    1.3096191653376169e+04   nan                      3000000       max_evaluations         792.1159  

----- F3  D1000  (25 runs)  optimum=nan  target_error=nan -----
Run    Seed          Best_Fitness             Error                    NFEs          Termination             Runtime_s 
1      1024243757    2.1347378610445432e+01   nan                      3000000       max_evaluations         942.9630  
2      1025243794    2.1337537786125623e+01   nan                      3000000       max_evaluations         927.0036  
3      1026243831    2.1345395003653369e+01   nan                      3000000       max_evaluations         930.8386  
4      1027243868    2.1338458001988311e+01   nan                      3000000       max_evaluations         931.8923  
5      1028243905    2.1352108382823491e+01   nan                      3000000       max_evaluations         929.2424  
6      1029243942    2.1344982225395075e+01   nan                      3000000       max_evaluations         934.1949  
7      1030243979    2.1346277734790238e+01   nan                      3000000       max_evaluations         929.8098  
8      1031244016    2.1341741203629756e+01   nan                      3000000       max_evaluations         941.9133  
9      1032244053    2.1335917476954535e+01   nan                      3000000       max_evaluations         944.8932  
10     1033244090    2.1348187076188356e+01   nan                      3000000       max_evaluations         947.6204  
11     1034244127    2.1338067487803677e+01   nan                      3000000       max_evaluations         946.4633  
12     1035244164    2.1333499336480696e+01   nan                      3000000       max_evaluations         938.2697  
13     1036244201    2.1330506742791624e+01   nan                      3000000       max_evaluations         937.9594  
14     1037244238    2.1321825742101701e+01   nan                      3000000       max_evaluations         890.5697  
15     1038244275    2.1344279504255873e+01   nan                      3000000       max_evaluations         896.7512  
16     1039244312    2.1339803644625178e+01   nan                      3000000       max_evaluations         897.2723  
17     1040244349    2.1348911501845599e+01   nan                      3000000       max_evaluations         895.8386  
18     1041244386    2.1341782272229960e+01   nan                      3000000       max_evaluations         896.4108  
19     1042244423    2.1332686046054000e+01   nan                      3000000       max_evaluations         897.4862  
20     1043244460    2.1327553988007690e+01   nan                      3000000       max_evaluations         972.0895  
21     1044244497    2.1345432652479928e+01   nan                      3000000       max_evaluations         970.6352  
22     1045244534    2.1334646871123912e+01   nan                      3000000       max_evaluations         967.5877  
23     1046244571    2.1337847980186389e+01   nan                      3000000       max_evaluations         964.0566  
24     1047244608    2.1334150509853629e+01   nan                      3000000       max_evaluations         966.1865  
25     1048244645    2.1324723241876249e+01   nan                      3000000       max_evaluations         968.1642  

----- F4  D1000  (25 runs)  optimum=nan  target_error=nan -----
Run    Seed          Best_Fitness             Error                    NFEs          Termination             Runtime_s 
1      1025243790    1.0450176111709005e+10   nan                      3000000       max_evaluations         860.7764  
2      1026243827    6.3214708838143711e+09   nan                      3000000       max_evaluations         719.9649  
3      1027243864    5.6811669583620453e+09   nan                      3000000       max_evaluations         720.2311  
4      1028243901    1.0597656733499577e+10   nan                      3000000       max_evaluations         725.5744  
5      1029243938    4.2102002801477132e+09   nan                      3000000       max_evaluations         726.6095  
6      1030243975    8.8559142982009010e+09   nan                      3000000       max_evaluations         732.5001  
7      1031244012    5.6400108787432785e+09   nan                      3000000       max_evaluations         719.4384  
8      1032244049    5.9401609611507158e+09   nan                      3000000       max_evaluations         844.8835  
9      1033244086    7.5025669599023113e+09   nan                      3000000       max_evaluations         851.7149  
10     1034244123    4.2726701592677736e+09   nan                      3000000       max_evaluations         850.4147  
11     1035244160    3.4354076355941167e+09   nan                      3000000       max_evaluations         841.0677  
12     1036244197    6.1825790714528437e+09   nan                      3000000       max_evaluations         834.5539  
13     1037244234    5.2953643849220772e+09   nan                      3000000       max_evaluations         842.6339  
14     1038244271    5.3571116535933886e+09   nan                      3000000       max_evaluations         707.8679  
15     1039244308    4.6065256449539995e+09   nan                      3000000       max_evaluations         706.8682  
16     1040244345    7.5362014970417061e+09   nan                      3000000       max_evaluations         707.2830  
17     1041244382    6.8409445155973854e+09   nan                      3000000       max_evaluations         702.9180  
18     1042244419    1.1645023366799311e+10   nan                      3000000       max_evaluations         704.6498  
19     1043244456    7.0064166932716618e+09   nan                      3000000       max_evaluations         710.3093  
