==============================================================================================================
DETAILED PER-RUN LOG   AGSK   CEC2013LSGO   D905
runs per function : 25
functions         : [13]
statistics basis  : raw objective
generated         : 2026-07-22_17.52.15
==============================================================================================================

----- F13  D905  (25 runs)  optimum=nan  target_error=nan -----
Run    Seed          Best_Fitness             Error                    NFEs          Termination             Runtime_s 
1      939243802     4.0959730922869033e+08   nan                      3000000       max_evaluations         1190.2795 
2      940243839     2.5249213861523801e+08   nan                      3000000       max_evaluations         1044.9102 
3      941243876     4.6602489079409540e+08   nan                      3000000       max_evaluations         1048.6446 
4      942243913     2.8868059424345708e+08   nan                      3000000       max_evaluations         1049.6593 
5      943243950     1.8813000628585157e+08   nan                      3000000       max_evaluations         1052.4304 
6      944243987     1.7488647697149476e+08   nan                      3000000       max_evaluations         1058.8594 
7      945244024     3.8887280448857820e+08   nan                      3000000       max_evaluations         1047.7543 
8      946244061     3.4175541209972584e+08   nan                      3000000       max_evaluations         1189.5485 
9      947244098     3.5334558505898768e+08   nan                      3000000       max_evaluations         1192.1932 
10     948244135     8.7790697317554986e+08   nan                      3000000       max_evaluations         1196.2784 
11     949244172     2.4205572149833328e+08   nan                      3000000       max_evaluations         1188.1729 
12     950244209     4.0626339514860445e+08   nan                      3000000       max_evaluations         1190.7941 
13     951244246     3.1662257704962379e+08   nan                      3000000       max_evaluations         1190.1767 
14     952244283     1.8716178507139081e+08   nan                      3000000       max_evaluations         1099.6965 
15     953244320     3.7237311914119655e+08   nan                      3000000       max_evaluations         1100.2833 
16     954244357     3.7896993204798836e+08   nan                      3000000       max_evaluations         1100.0548 
17     955244394     3.8770247845149976e+08   nan                      3000000       max_evaluations         1100.6559 
18     956244431     3.8494818719262815e+08   nan                      3000000       max_evaluations         1099.4958 
19     957244468     3.0481606535094732e+08   nan                      3000000       max_evaluations         1101.8510 
20     958244505     4.7008689189618242e+08   nan                      3000000       max_evaluations         1133.4297 
21     959244542     3.9637881604796648e+08   nan                      3000000       max_evaluations         1139.5769 
22     960244579     2.9675047647572255e+08   nan                      3000000       max_evaluations         1138.0485 
23     961244616     8.7975593351937425e+08   nan                      3000000       max_evaluations         1141.1315 
24     962244653     2.3625683662972310e+08   nan                      3000000       max_evaluations         1137.6699 
25     963244690     4.9489885273563170e+08   nan                      3000000       max_evaluations         1137.3638 

