==============================================================================================================
DETAILED PER-RUN LOG   AGSK   CEC2013LSGO   D905
runs per function : 25
functions         : [13 14]
statistics basis  : raw objective
generated         : 2026-07-22_19.09.09
==============================================================================================================

----- F13  D905  (25 runs)  optimum=nan  target_error=nan -----
Run    Seed          Best_Fitness             Error                    NFEs          Termination             Runtime_s 
1      939243802     4.0959730922869033e+08   nan                      3000000       max_evaluations         1190.2795 
2      940243839     2.5249213861523801e+08   nan                      3000000       max_evaluations         1044.9102 
3      941243876     4.6602489079409540e+08   nan                      3000000       max_evaluations         1048.6446 
4      942243913     2.8868059424345708e+08   nan                      3000000       max_evaluations         1049.6593 
5      943243950     1.8813000628585157e+08   nan                      3000000       max_evaluations         1052.4304 
6      944243987     1.7488647697149476e+08   nan                      3000000       max_evaluations         1058.8594 
7      945244024     3.8887280448857820e+08   nan                      3000000       max_evaluations         1047.7543 
8      946244061     3.4175541209972584e+08   nan                      3000000       max_evaluations         1189.5485 
9      947244098     3.5334558505898768e+08   nan                      3000000       max_evaluations         1192.1932 
10     948244135     8.7790697317554986e+08   nan                      3000000       max_evaluations         1196.2784 
11     949244172     2.4205572149833328e+08   nan                      3000000       max_evaluations         1188.1729 
12     950244209     4.0626339514860445e+08   nan                      3000000       max_evaluations         1190.7941 
13     951244246     3.1662257704962379e+08   nan                      3000000       max_evaluations         1190.1767 
14     952244283     1.8716178507139081e+08   nan                      3000000       max_evaluations         1099.6965 
15     953244320     3.7237311914119655e+08   nan                      3000000       max_evaluations         1100.2833 
16     954244357     3.7896993204798836e+08   nan                      3000000       max_evaluations         1100.0548 
17     955244394     3.8770247845149976e+08   nan                      3000000       max_evaluations         1100.6559 
18     956244431     3.8494818719262815e+08   nan                      3000000       max_evaluations         1099.4958 
19     957244468     3.0481606535094732e+08   nan                      3000000       max_evaluations         1101.8510 
20     958244505     4.7008689189618242e+08   nan                      3000000       max_evaluations         1133.4297 
21     959244542     3.9637881604796648e+08   nan                      3000000       max_evaluations         1139.5769 
22     960244579     2.9675047647572255e+08   nan                      3000000       max_evaluations         1138.0485 
23     961244616     8.7975593351937425e+08   nan                      3000000       max_evaluations         1141.1315 
24     962244653     2.3625683662972310e+08   nan                      3000000       max_evaluations         1137.6699 
25     963244690     4.9489885273563170e+08   nan                      3000000       max_evaluations         1137.3638 

----- F14  D905  (25 runs)  optimum=nan  target_error=nan -----
Run    Seed          Best_Fitness             Error                    NFEs          Termination             Runtime_s 
1      940243835     2.5526617834934762e+08   nan                      3000000       max_evaluations         1225.6477 
2      941243872     3.9758127459945780e+08   nan                      3000000       max_evaluations         1206.7242 
3      942243909     4.0587741385703313e+08   nan                      3000000       max_evaluations         1209.2283 
4      943243946     1.1247631755827929e+08   nan                      3000000       max_evaluations         1206.6070 
5      944243983     2.8229909651259798e+08   nan                      3000000       max_evaluations         1212.8788 
6      945244020     4.4967795823642367e+08   nan                      3000000       max_evaluations         1212.6303 
7      946244057     4.0127502878089756e+08   nan                      3000000       max_evaluations         1216.2152 
8      947244094     1.2925640320741808e+08   nan                      3000000       max_evaluations         1217.3666 
9      948244131     4.0787903821480411e+08   nan                      3000000       max_evaluations         1214.7763 
10     949244168     4.2527431889803952e+08   nan                      3000000       max_evaluations         1215.3292 
11     950244205     7.9680130547220707e+08   nan                      3000000       max_evaluations         1214.9199 
12     951244242     4.3335240604737806e+08   nan                      3000000       max_evaluations         1223.6307 
13     952244279     2.2119397340937227e+08   nan                      3000000       max_evaluations         1218.1667 
14     953244316     3.1279422529226995e+08   nan                      3000000       max_evaluations         1138.3596 
15     954244353     7.3618689889987516e+08   nan                      3000000       max_evaluations         1139.6724 
16     955244390     3.1101748733203614e+08   nan                      3000000       max_evaluations         1144.2178 
17     956244427     1.6250251790166676e+08   nan                      3000000       max_evaluations         1143.7661 
18     957244464     1.0659011283503309e+08   nan                      3000000       max_evaluations         1139.2158 
19     958244501     3.4540413399399781e+08   nan                      3000000       max_evaluations         1143.3176 
20     959244538     2.9441854701484513e+08   nan                      3000000       max_evaluations         1143.3297 
21     960244575     5.1940115440698671e+08   nan                      3000000       max_evaluations         1137.5373 
22     961244612     5.5566324936105752e+08   nan                      3000000       max_evaluations         1142.4474 
23     962244649     2.4153990442850652e+08   nan                      3000000       max_evaluations         1138.3960 
24     963244686     2.1875747402704898e+08   nan                      3000000       max_evaluations         1141.1877 
25     964244723     1.6569278149845764e+08   nan                      3000000       max_evaluations         1134.9305 

