Function,Best,Median,Mean,Worst,SD
1,5.3962041237E+05,2.2519059738E+06,2.9989653790E+06,7.5796539305E+06,2.2293193925E+06
2,1.2490791496E+04,1.3141995156E+04,1.3198174628E+04,1.3788796673E+04,3.3879021329E+02
3,2.1321825742E+01,2.1338458002E+01,2.1338948041E+01,2.1352108383E+01,7.8210560090E-03
4,3.4354076356E+09,5.9401609612E+09,6.5031279484E+09,1.1645023367E+10,2.1394150788E+09
5,5.8080832960E+06,6.7876267776E+06,6.8251304939E+06,7.8179917804E+06,5.3760556558E+05
6,1.0567476283E+06,1.0601934666E+06,1.0600265109E+06,1.0616809838E+06,1.1156365637E+03
7,6.7016789538E+06,1.2980780607E+07,1.4688929268E+07,2.7740394220E+07,5.5780015929E+06
8,8.4722271545E+12,2.8878348726E+13,3.5742245610E+13,9.5339376407E+13,2.2418724421E+13
9,4.9101477901E+08,5.7125126331E+08,5.7623682065E+08,7.1106537522E+08,4.8675751634E+07
10,9.2738285479E+07,9.3399368194E+07,9.3382217633E+07,9.4073477379E+07,3.4177867896E+05
11,1.8557903007E+08,2.6279273448E+08,2.7301501009E+08,5.4380227216E+08,8.1229034122E+07
12,1.6815894303E+07,8.0996926250E+07,1.1629430720E+08,3.9135924441E+08,1.1235258106E+08
15,4.2821382889E+06,5.5995843673E+06,5.8237199223E+06,8.0420166425E+06,9.4607134440E+05
