optimizer,suite,function,dimension,run,seed,best_fitness,error,nfes,termination,runtime_seconds
agsk,cec2013lsgo,1,1000,1,1022243691,6.4420373971e+06,NaN,3000000,max_evaluations,701.665553
agsk,cec2013lsgo,1,1000,2,1023243728,1.3810707056e+06,NaN,3000000,max_evaluations,704.536241
agsk,cec2013lsgo,1,1000,3,1024243765,2.5861350150e+06,NaN,3000000,max_evaluations,777.747752
agsk,cec2013lsgo,1,1000,4,1025243802,2.3569744807e+06,NaN,3000000,max_evaluations,703.951134
agsk,cec2013lsgo,1,1000,5,1026243839,2.5493458747e+06,NaN,3000000,max_evaluations,773.792984
agsk,cec2013lsgo,1,1000,6,1027243876,5.3962041237e+05,NaN,3000000,max_evaluations,770.583480
agsk,cec2013lsgo,1,1000,7,1028243913,3.4503101201e+06,NaN,3000000,max_evaluations,777.790275
agsk,cec2013lsgo,1,1000,8,1029243950,1.6267075358e+06,NaN,3000000,max_evaluations,702.889950
agsk,cec2013lsgo,1,1000,9,1030243987,2.2519059738e+06,NaN,3000000,max_evaluations,701.842756
agsk,cec2013lsgo,1,1000,10,1031244024,4.8846994971e+06,NaN,3000000,max_evaluations,702.489050
agsk,cec2013lsgo,1,1000,11,1032244061,1.2823104681e+06,NaN,3000000,max_evaluations,780.873315
agsk,cec2013lsgo,1,1000,12,1033244098,7.5796539305e+06,NaN,3000000,max_evaluations,773.614529
agsk,cec2013lsgo,1,1000,13,1034244135,1.3747822162e+06,NaN,3000000,max_evaluations,701.271354
agsk,cec2013lsgo,1,1000,14,1035244172,1.6906127195e+06,NaN,3000000,max_evaluations,626.768221
agsk,cec2013lsgo,1,1000,15,1036244209,3.3039870104e+06,NaN,3000000,max_evaluations,624.500582
agsk,cec2013lsgo,1,1000,16,1037244246,2.0058683447e+06,NaN,3000000,max_evaluations,625.592114
agsk,cec2013lsgo,1,1000,17,1038244283,1.2440208295e+06,NaN,3000000,max_evaluations,626.535619
agsk,cec2013lsgo,1,1000,18,1039244320,6.1189514747e+06,NaN,3000000,max_evaluations,625.865784
agsk,cec2013lsgo,1,1000,19,1040244357,1.0200305995e+06,NaN,3000000,max_evaluations,624.620649
agsk,cec2013lsgo,1,1000,20,1041244394,1.4247667758e+06,NaN,3000000,max_evaluations,622.366905
agsk,cec2013lsgo,1,1000,21,1042244431,7.0674123801e+06,NaN,3000000,max_evaluations,612.721917
agsk,cec2013lsgo,1,1000,22,1043244468,8.8233540278e+05,NaN,3000000,max_evaluations,608.084679
agsk,cec2013lsgo,1,1000,23,1044244505,7.7126429585e+05,NaN,3000000,max_evaluations,611.843884
agsk,cec2013lsgo,1,1000,24,1045244542,4.1569891802e+06,NaN,3000000,max_evaluations,608.462555
agsk,cec2013lsgo,1,1000,25,1046244579,6.9823418343e+06,NaN,3000000,max_evaluations,605.580255
agsk,cec2013lsgo,2,1000,1,1023243724,1.2932591714e+04,NaN,3000000,max_evaluations,776.831832
agsk,cec2013lsgo,2,1000,2,1024243761,1.3327985993e+04,NaN,3000000,max_evaluations,773.126006
agsk,cec2013lsgo,2,1000,3,1025243798,1.2925128810e+04,NaN,3000000,max_evaluations,774.555046
agsk,cec2013lsgo,2,1000,4,1026243835,1.3141995156e+04,NaN,3000000,max_evaluations,782.171637
agsk,cec2013lsgo,2,1000,5,1027243872,1.3139056453e+04,NaN,3000000,max_evaluations,778.835613
agsk,cec2013lsgo,2,1000,6,1028243909,1.2958274620e+04,NaN,3000000,max_evaluations,781.126299
agsk,cec2013lsgo,2,1000,7,1029243946,1.3105406814e+04,NaN,3000000,max_evaluations,776.384462
agsk,cec2013lsgo,2,1000,8,1030243983,1.3066068584e+04,NaN,3000000,max_evaluations,772.533162
agsk,cec2013lsgo,2,1000,9,1031244020,1.3289541396e+04,NaN,3000000,max_evaluations,773.094771
agsk,cec2013lsgo,2,1000,10,1032244057,1.2757064653e+04,NaN,3000000,max_evaluations,771.245523
agsk,cec2013lsgo,2,1000,11,1033244094,1.3314101272e+04,NaN,3000000,max_evaluations,769.301290
agsk,cec2013lsgo,2,1000,12,1034244131,1.3227378017e+04,NaN,3000000,max_evaluations,773.141799
agsk,cec2013lsgo,2,1000,13,1035244168,1.3380664299e+04,NaN,3000000,max_evaluations,771.138303
agsk,cec2013lsgo,2,1000,14,1036244205,1.3085162293e+04,NaN,3000000,max_evaluations,783.775226
agsk,cec2013lsgo,2,1000,15,1037244242,1.3314661727e+04,NaN,3000000,max_evaluations,787.910719
agsk,cec2013lsgo,2,1000,16,1038244279,1.3777951498e+04,NaN,3000000,max_evaluations,789.790935
agsk,cec2013lsgo,2,1000,17,1039244316,1.2490791496e+04,NaN,3000000,max_evaluations,793.571603
agsk,cec2013lsgo,2,1000,18,1040244353,1.2626136231e+04,NaN,3000000,max_evaluations,787.777687
agsk,cec2013lsgo,2,1000,19,1041244390,1.3718547362e+04,NaN,3000000,max_evaluations,792.745109
agsk,cec2013lsgo,2,1000,20,1042244427,1.3764701084e+04,NaN,3000000,max_evaluations,787.263808
agsk,cec2013lsgo,2,1000,21,1043244464,1.3499996398e+04,NaN,3000000,max_evaluations,789.529734
agsk,cec2013lsgo,2,1000,22,1044244501,1.3164652736e+04,NaN,3000000,max_evaluations,790.476506
agsk,cec2013lsgo,2,1000,23,1045244538,1.3788796673e+04,NaN,3000000,max_evaluations,786.714575
agsk,cec2013lsgo,2,1000,24,1046244575,1.3061518762e+04,NaN,3000000,max_evaluations,791.021113
agsk,cec2013lsgo,2,1000,25,1047244612,1.3096191653e+04,NaN,3000000,max_evaluations,792.115864
agsk,cec2013lsgo,3,1000,1,1024243757,2.1347378610e+01,NaN,3000000,max_evaluations,942.962976
agsk,cec2013lsgo,3,1000,2,1025243794,2.1337537786e+01,NaN,3000000,max_evaluations,927.003559
agsk,cec2013lsgo,3,1000,3,1026243831,2.1345395004e+01,NaN,3000000,max_evaluations,930.838639
agsk,cec2013lsgo,3,1000,4,1027243868,2.1338458002e+01,NaN,3000000,max_evaluations,931.892276
agsk,cec2013lsgo,3,1000,5,1028243905,2.1352108383e+01,NaN,3000000,max_evaluations,929.242428
agsk,cec2013lsgo,3,1000,6,1029243942,2.1344982225e+01,NaN,3000000,max_evaluations,934.194857
agsk,cec2013lsgo,3,1000,7,1030243979,2.1346277735e+01,NaN,3000000,max_evaluations,929.809765
agsk,cec2013lsgo,3,1000,8,1031244016,2.1341741204e+01,NaN,3000000,max_evaluations,941.913254
agsk,cec2013lsgo,3,1000,9,1032244053,2.1335917477e+01,NaN,3000000,max_evaluations,944.893235
agsk,cec2013lsgo,3,1000,10,1033244090,2.1348187076e+01,NaN,3000000,max_evaluations,947.620448
agsk,cec2013lsgo,3,1000,11,1034244127,2.1338067488e+01,NaN,3000000,max_evaluations,946.463307
agsk,cec2013lsgo,3,1000,12,1035244164,2.1333499336e+01,NaN,3000000,max_evaluations,938.269741
agsk,cec2013lsgo,3,1000,13,1036244201,2.1330506743e+01,NaN,3000000,max_evaluations,937.959433
agsk,cec2013lsgo,3,1000,14,1037244238,2.1321825742e+01,NaN,3000000,max_evaluations,890.569724
agsk,cec2013lsgo,3,1000,15,1038244275,2.1344279504e+01,NaN,3000000,max_evaluations,896.751196
agsk,cec2013lsgo,3,1000,16,1039244312,2.1339803645e+01,NaN,3000000,max_evaluations,897.272316
agsk,cec2013lsgo,3,1000,17,1040244349,2.1348911502e+01,NaN,3000000,max_evaluations,895.838648
agsk,cec2013lsgo,3,1000,18,1041244386,2.1341782272e+01,NaN,3000000,max_evaluations,896.410812
agsk,cec2013lsgo,3,1000,19,1042244423,2.1332686046e+01,NaN,3000000,max_evaluations,897.486199
agsk,cec2013lsgo,3,1000,20,1043244460,2.1327553988e+01,NaN,3000000,max_evaluations,972.089461
agsk,cec2013lsgo,3,1000,21,1044244497,2.1345432652e+01,NaN,3000000,max_evaluations,970.635220
agsk,cec2013lsgo,3,1000,22,1045244534,2.1334646871e+01,NaN,3000000,max_evaluations,967.587653
agsk,cec2013lsgo,3,1000,23,1046244571,2.1337847980e+01,NaN,3000000,max_evaluations,964.056570
agsk,cec2013lsgo,3,1000,24,1047244608,2.1334150510e+01,NaN,3000000,max_evaluations,966.186516
agsk,cec2013lsgo,3,1000,25,1048244645,2.1324723242e+01,NaN,3000000,max_evaluations,968.164172
agsk,cec2013lsgo,4,1000,1,1025243790,1.0450176112e+10,NaN,3000000,max_evaluations,860.776367
agsk,cec2013lsgo,4,1000,2,1026243827,6.3214708838e+09,NaN,3000000,max_evaluations,719.964947
agsk,cec2013lsgo,4,1000,3,1027243864,5.6811669584e+09,NaN,3000000,max_evaluations,720.231059
agsk,cec2013lsgo,4,1000,4,1028243901,1.0597656733e+10,NaN,3000000,max_evaluations,725.574429
agsk,cec2013lsgo,4,1000,5,1029243938,4.2102002801e+09,NaN,3000000,max_evaluations,726.609524
agsk,cec2013lsgo,4,1000,6,1030243975,8.8559142982e+09,NaN,3000000,max_evaluations,732.500128
agsk,cec2013lsgo,4,1000,7,1031244012,5.6400108787e+09,NaN,3000000,max_evaluations,719.438441
agsk,cec2013lsgo,4,1000,8,1032244049,5.9401609612e+09,NaN,3000000,max_evaluations,844.883528
agsk,cec2013lsgo,4,1000,9,1033244086,7.5025669599e+09,NaN,3000000,max_evaluations,851.714854
agsk,cec2013lsgo,4,1000,10,1034244123,4.2726701593e+09,NaN,3000000,max_evaluations,850.414722
agsk,cec2013lsgo,4,1000,11,1035244160,3.4354076356e+09,NaN,3000000,max_evaluations,841.067665
agsk,cec2013lsgo,4,1000,12,1036244197,6.1825790715e+09,NaN,3000000,max_evaluations,834.553946
agsk,cec2013lsgo,4,1000,13,1037244234,5.2953643849e+09,NaN,3000000,max_evaluations,842.633887
agsk,cec2013lsgo,4,1000,14,1038244271,5.3571116536e+09,NaN,3000000,max_evaluations,707.867875
agsk,cec2013lsgo,4,1000,15,1039244308,4.6065256450e+09,NaN,3000000,max_evaluations,706.868153
agsk,cec2013lsgo,4,1000,16,1040244345,7.5362014970e+09,NaN,3000000,max_evaluations,707.282969
agsk,cec2013lsgo,4,1000,17,1041244382,6.8409445156e+09,NaN,3000000,max_evaluations,702.918013
agsk,cec2013lsgo,4,1000,18,1042244419,1.1645023367e+10,NaN,3000000,max_evaluations,704.649798
agsk,cec2013lsgo,4,1000,19,1043244456,7.0064166933e+09,NaN,3000000,max_evaluations,710.309339
agsk,cec2013lsgo,4,1000,20,1044244493,3.9395177930e+09,NaN,3000000,max_evaluations,721.519190
agsk,cec2013lsgo,4,1000,21,1045244530,6.8690212530e+09,NaN,3000000,max_evaluations,717.036146
agsk,cec2013lsgo,4,1000,22,1046244567,5.6203982593e+09,NaN,3000000,max_evaluations,715.286887
agsk,cec2013lsgo,4,1000,23,1047244604,8.3749271033e+09,NaN,3000000,max_evaluations,713.945421
agsk,cec2013lsgo,4,1000,24,1048244641,4.5586902323e+09,NaN,3000000,max_evaluations,712.077008
agsk,cec2013lsgo,4,1000,25,1049244678,5.8380753822e+09,NaN,3000000,max_evaluations,711.812217
agsk,cec2013lsgo,5,1000,1,1026243823,6.6593310570e+06,NaN,3000000,max_evaluations,1165.370962
agsk,cec2013lsgo,5,1000,2,1027243860,7.5231960033e+06,NaN,3000000,max_evaluations,998.598836
agsk,cec2013lsgo,5,1000,3,1028243897,6.3483052164e+06,NaN,3000000,max_evaluations,1003.946561
agsk,cec2013lsgo,5,1000,4,1029243934,6.7467363762e+06,NaN,3000000,max_evaluations,998.980437
agsk,cec2013lsgo,5,1000,5,1030243971,6.4170548136e+06,NaN,3000000,max_evaluations,996.370174
agsk,cec2013lsgo,5,1000,6,1031244008,7.2259604620e+06,NaN,3000000,max_evaluations,997.287094
agsk,cec2013lsgo,5,1000,7,1032244045,7.2308635128e+06,NaN,3000000,max_evaluations,992.057835
agsk,cec2013lsgo,5,1000,8,1033244082,6.7876267776e+06,NaN,3000000,max_evaluations,1157.644421
agsk,cec2013lsgo,5,1000,9,1034244119,7.0378866525e+06,NaN,3000000,max_evaluations,1166.106637
agsk,cec2013lsgo,5,1000,10,1035244156,7.8179917804e+06,NaN,3000000,max_evaluations,1165.569607
agsk,cec2013lsgo,5,1000,11,1036244193,6.8746467335e+06,NaN,3000000,max_evaluations,1184.074239
agsk,cec2013lsgo,5,1000,12,1037244230,6.8131309488e+06,NaN,3000000,max_evaluations,1170.605572
agsk,cec2013lsgo,5,1000,13,1038244267,7.3813349698e+06,NaN,3000000,max_evaluations,1171.650495
agsk,cec2013lsgo,5,1000,14,1039244304,7.5304329278e+06,NaN,3000000,max_evaluations,975.273123
agsk,cec2013lsgo,5,1000,15,1040244341,6.6962363133e+06,NaN,3000000,max_evaluations,981.248902
agsk,cec2013lsgo,5,1000,16,1041244378,7.6286109680e+06,NaN,3000000,max_evaluations,972.657715
agsk,cec2013lsgo,5,1000,17,1042244415,7.2216520892e+06,NaN,3000000,max_evaluations,974.101304
agsk,cec2013lsgo,5,1000,18,1043244452,6.5632332419e+06,NaN,3000000,max_evaluations,976.502868
agsk,cec2013lsgo,5,1000,19,1044244489,6.9763882560e+06,NaN,3000000,max_evaluations,973.720878
agsk,cec2013lsgo,5,1000,20,1045244526,6.5305413400e+06,NaN,3000000,max_evaluations,987.100486
agsk,cec2013lsgo,5,1000,21,1046244563,5.8080832960e+06,NaN,3000000,max_evaluations,982.710095
agsk,cec2013lsgo,5,1000,22,1047244600,6.0667743693e+06,NaN,3000000,max_evaluations,984.049219
agsk,cec2013lsgo,5,1000,23,1048244637,5.9662782793e+06,NaN,3000000,max_evaluations,985.584491
agsk,cec2013lsgo,5,1000,24,1049244674,6.6404977139e+06,NaN,3000000,max_evaluations,985.209121
agsk,cec2013lsgo,5,1000,25,1050244711,6.1354682483e+06,NaN,3000000,max_evaluations,980.276449
agsk,cec2013lsgo,6,1000,1,1027243856,1.0606148480e+06,NaN,3000000,max_evaluations,1215.060926
agsk,cec2013lsgo,6,1000,2,1028243893,1.0609214494e+06,NaN,3000000,max_evaluations,1002.198863
agsk,cec2013lsgo,6,1000,3,1029243930,1.0609344216e+06,NaN,3000000,max_evaluations,1019.181298
agsk,cec2013lsgo,6,1000,4,1030243967,1.0608399079e+06,NaN,3000000,max_evaluations,1022.734838
agsk,cec2013lsgo,6,1000,5,1031244004,1.0595577165e+06,NaN,3000000,max_evaluations,1021.125815
agsk,cec2013lsgo,6,1000,6,1032244041,1.0601828563e+06,NaN,3000000,max_evaluations,1016.648043
agsk,cec2013lsgo,6,1000,7,1033244078,1.0589516027e+06,NaN,3000000,max_evaluations,1021.308897
agsk,cec2013lsgo,6,1000,8,1034244115,1.0607196078e+06,NaN,3000000,max_evaluations,1187.291937
agsk,cec2013lsgo,6,1000,9,1035244152,1.0595870169e+06,NaN,3000000,max_evaluations,1214.318451
agsk,cec2013lsgo,6,1000,10,1036244189,1.0609208239e+06,NaN,3000000,max_evaluations,1210.205479
agsk,cec2013lsgo,6,1000,11,1037244226,1.0593260695e+06,NaN,3000000,max_evaluations,1207.233390
agsk,cec2013lsgo,6,1000,12,1038244263,1.0581002754e+06,NaN,3000000,max_evaluations,1205.444679
agsk,cec2013lsgo,6,1000,13,1039244300,1.0595820876e+06,NaN,3000000,max_evaluations,1191.088617
agsk,cec2013lsgo,6,1000,14,1040244337,1.0616809838e+06,NaN,3000000,max_evaluations,1068.886353
agsk,cec2013lsgo,6,1000,15,1041244374,1.0610648546e+06,NaN,3000000,max_evaluations,1067.416832
agsk,cec2013lsgo,6,1000,16,1042244411,1.0605673945e+06,NaN,3000000,max_evaluations,1067.476830
agsk,cec2013lsgo,6,1000,17,1043244448,1.0604258078e+06,NaN,3000000,max_evaluations,1067.739980
agsk,cec2013lsgo,6,1000,18,1044244485,1.0601419131e+06,NaN,3000000,max_evaluations,1064.978855
agsk,cec2013lsgo,6,1000,19,1045244522,1.0613160232e+06,NaN,3000000,max_evaluations,1065.340576
agsk,cec2013lsgo,6,1000,20,1046244559,1.0601934666e+06,NaN,3000000,max_evaluations,1015.557823
agsk,cec2013lsgo,6,1000,21,1047244596,1.0567476283e+06,NaN,3000000,max_evaluations,1014.352840
agsk,cec2013lsgo,6,1000,22,1048244633,1.0585343115e+06,NaN,3000000,max_evaluations,1004.211071
agsk,cec2013lsgo,6,1000,23,1049244670,1.0596874028e+06,NaN,3000000,max_evaluations,1004.915142
agsk,cec2013lsgo,6,1000,24,1050244707,1.0593603009e+06,NaN,3000000,max_evaluations,1001.731441
agsk,cec2013lsgo,6,1000,25,1051244744,1.0607040017e+06,NaN,3000000,max_evaluations,1002.575991
agsk,cec2013lsgo,7,1000,1,1028243889,1.8683053547e+07,NaN,3000000,max_evaluations,591.333708
agsk,cec2013lsgo,7,1000,2,1029243926,1.1101652061e+07,NaN,3000000,max_evaluations,531.248404
agsk,cec2013lsgo,7,1000,3,1030243963,1.3867164220e+07,NaN,3000000,max_evaluations,535.646108
agsk,cec2013lsgo,7,1000,4,1031244000,2.7740394220e+07,NaN,3000000,max_evaluations,529.738299
agsk,cec2013lsgo,7,1000,5,1032244037,1.2980780607e+07,NaN,3000000,max_evaluations,532.390567
agsk,cec2013lsgo,7,1000,6,1033244074,1.0308389636e+07,NaN,3000000,max_evaluations,526.763815
