Eval,BestError,Log10Error
100,1.0846056442677095e+03,3.0352718601657669e+00
200,1.0846056442677095e+03,3.0352718601657669e+00
300,1.0846056442677095e+03,3.0352718601657669e+00
400,1.0610945757516292e+03,3.0257540944541605e+00
500,9.6745396108083060e+02,2.9856303071025403e+00
600,9.2096173846086640e+02,2.9642415877207537e+00
700,9.2096173846086640e+02,2.9642415877207537e+00
800,8.4857404649287946e+02,2.9286897448035707e+00
900,8.4739521180672546e+02,2.9280860056977858e+00
1000,5.9401507941982800e+02,2.7737974699402792e+00
1100,5.7805133043133299e+02,2.7619664050870938e+00
1200,5.7805133043133299e+02,2.7619664050870938e+00
1300,5.7805133043133299e+02,2.7619664050870938e+00
1400,5.7805133043133299e+02,2.7619664050870938e+00
1500,5.7805133043133299e+02,2.7619664050870938e+00
1600,5.7805133043133299e+02,2.7619664050870938e+00
1700,5.7805133043133299e+02,2.7619664050870938e+00
1800,5.7805133043133299e+02,2.7619664050870938e+00
1900,5.7805133043133299e+02,2.7619664050870938e+00
2000,5.7805133043133299e+02,2.7619664050870938e+00
2100,5.7805133043133299e+02,2.7619664050870938e+00
2200,5.7805133043133299e+02,2.7619664050870938e+00
2300,5.7805133043133299e+02,2.7619664050870938e+00
2400,5.7805133043133299e+02,2.7619664050870938e+00
2500,5.7805133043133299e+02,2.7619664050870938e+00
2600,5.0473407299082902e+02,2.7030626235615332e+00
2700,5.0473407299082902e+02,2.7030626235615332e+00
2800,5.0473407299082902e+02,2.7030626235615332e+00
2900,5.0235414553123428e+02,2.7010099904990237e+00
3000,5.0062969078951602e+02,2.6995166026906521e+00
3100,4.6115375988935301e+02,2.6638457538879039e+00
3200,4.6115375988935301e+02,2.6638457538879039e+00
3300,4.6115375988935301e+02,2.6638457538879039e+00
3400,4.3209276098942701e+02,2.6355769904753559e+00
3500,4.2888825875567142e+02,2.6323441571567248e+00
3600,4.2888825875567142e+02,2.6323441571567248e+00
3700,4.2888825875567142e+02,2.6323441571567248e+00
3800,4.2888825875567142e+02,2.6323441571567248e+00
3900,2.8885508539508328e+02,2.4606800178514030e+00
4000,2.8885508539508328e+02,2.4606800178514030e+00
4100,2.8789148368725552e+02,2.4592288179092185e+00
4200,2.8789148368725552e+02,2.4592288179092185e+00
4300,2.8789148368725552e+02,2.4592288179092185e+00
4400,2.8789148368725552e+02,2.4592288179092185e+00
4500,2.8789148368725552e+02,2.4592288179092185e+00
4600,2.8789148368725552e+02,2.4592288179092185e+00
4700,2.8752066841264798e+02,2.4586690693906195e+00
4800,2.8752066841264798e+02,2.4586690693906195e+00
4900,2.8752066841264798e+02,2.4586690693906195e+00
5000,2.8752066841264798e+02,2.4586690693906195e+00
5100,2.8752066841264798e+02,2.4586690693906195e+00
5200,2.8752066841264798e+02,2.4586690693906195e+00
5300,2.8752066841264798e+02,2.4586690693906195e+00
5400,2.8752066841264798e+02,2.4586690693906195e+00
5500,2.8752066841264798e+02,2.4586690693906195e+00
5600,2.8752066841264798e+02,2.4586690693906195e+00
5699,2.8752066841264798e+02,2.4586690693906195e+00
5798,2.8752066841264798e+02,2.4586690693906195e+00
