Run,Seed,E30000,E60000,E90000,E150000,E300000,E600000,E900000,E1200000,E1500000,E1800000,E2100000,E2400000,E2700000,E3000000
1,46241033,576.462323962386,414.866864625658,400.74727713482,400.0013237412822,400.000000000043,400.0000000000005,400.0000000000005,400.0000000000005,400.0000000000005,400.0000000000005,400.0000000000005,400.0000000000005,400.0000000000005,400.0000000000005
2,47241070,591.417797946163,420.743651084425,400.871448350443,400.0020060068955,400.0000000001055,400.0000000000005,400.0000000000005,400.0000000000005,400.0000000000005,400.0000000000005,400.0000000000005,400.0000000000005,400.0000000000005,400.0000000000005
3,48241107,519.8651586968754,416.395486841638,400.480374201843,400.000551930675,400.0000000003047,400.0000000000005,400.0000000000005,400.0000000000005,400.0000000000005,400.0000000000005,400.0000000000005,400.0000000000005,400.0000000000005,400.0000000000005
4,49241144,543.648873377165,414.6986499977875,400.753911287274,400.0038416831144,400.0000000000964,400.000000000001,400.000000000001,400.000000000001,400.000000000001,400.000000000001,400.000000000001,400.000000000001,400.000000000001,400.000000000001
5,50241181,501.0248701172336,412.0238822955253,400.4797107757754,400.0006553167923,400.0000000000637,400.0000000000005,400,400,400,400,400,400,400,400
6,51241218,570.83760934105,412.202187076881,400.8324179870897,400.0024089789686,400.0000000001373,400.0000000000005,400.0000000000005,400.0000000000005,400.0000000000005,400.0000000000005,400.0000000000005,400.0000000000005,400.0000000000005,400.0000000000005
7,52241255,589.1900709494653,425.6723214611084,401.120308426624,400.0016823481783,400.0000000001564,400,400,400,400,400,400,400,400,400
8,53241292,553.8087473033347,419.348085797614,400.6196625660546,400.0006937639087,400.000000000021,400.0000000000005,400.0000000000005,400.0000000000005,400.0000000000005,400.0000000000005,400.0000000000005,400.0000000000005,400.0000000000005,400.0000000000005
9,54241329,580.8480300449046,417.8543128231427,400.6747750461554,400.0011922219737,400.0000000000264,400.0000000000005,400.0000000000005,400.0000000000005,400.0000000000005,400.0000000000005,400.0000000000005,400.0000000000005,400.0000000000005,400.0000000000005
10,55241366,553.7689131344223,421.88630029321,401.3318245633,400.0019594806495,400.0000000004056,400.0000000000005,400.0000000000005,400.0000000000005,400.0000000000005,400.0000000000005,400.0000000000005,400.0000000000005,400.0000000000005,400.0000000000005
11,56241403,568.357680038106,418.1142170691455,400.636392372142,400.000858335884,400.000000000032,400.0000000000005,400,400,400,400,400,400,400,400
12,57241440,466.6374420680904,417.804440140305,400.832754663518,400.001262072005,400.000000000217,400.000000000001,400.000000000001,400.000000000001,400.000000000001,400.000000000001,400.000000000001,400.0000000000005,400,400
13,58241477,557.3576818524452,413.002444301763,400.4178707929036,400.000989943645,400.0000000000573,400.0000000000005,400.0000000000005,400.0000000000005,400.0000000000005,400.0000000000005,400.0000000000005,400.0000000000005,400.0000000000005,400.0000000000005
14,59241514,566.8591316385121,417.6400066315337,400.572873971302,400.0008789776925,400.0000000000937,400.000000000001,400.000000000001,400.0000000000005,400,400,400,400,400,400
15,60241551,469.8590731635554,422.5581847148424,401.229508978028,400.0031930349455,400.0000000001055,400.000000000001,400.0000000000005,400.0000000000005,400.0000000000005,400.0000000000005,400.0000000000005,400.0000000000005,400.0000000000005,400.0000000000005
16,61241588,557.743197126303,410.2314897361284,400.4488773768812,400.000872583128,400.0000000001373,400,400,400,400,400,400,400,400,400
