==============================================================================================================
DETAILED PER-RUN LOG   AGSK   CEC2020   D10
runs per function : 30
functions         : [1 2 3 4 5 6 7 8 9 10]
statistics basis  : error vs known optimum
generated         : 2026-07-28_02.36.56
==============================================================================================================

----- F1  D10  (30 runs)  optimum=100  target_error=1e-08 -----
Run    Seed          Best_Fitness             Error                    NFEs          Termination             Runtime_s 
1      32240721      1.0000000000836961e+02   0.0000000000000000e+00   151147        target_error_reached    0.9540    
2      33240758      1.0000000000951101e+02   0.0000000000000000e+00   143031        target_error_reached    0.9337    
3      34240795      1.0000000000973739e+02   0.0000000000000000e+00   143861        target_error_reached    0.9276    
4      35240832      1.0000000000909796e+02   0.0000000000000000e+00   146019        target_error_reached    0.9077    
5      36240869      1.0000000000789142e+02   0.0000000000000000e+00   143612        target_error_reached    0.9326    
6      37240906      1.0000000000653620e+02   0.0000000000000000e+00   148343        target_error_reached    0.9100    
7      38240943      1.0000000000859202e+02   0.0000000000000000e+00   152049        target_error_reached    0.9455    
8      39240980      1.0000000000755598e+02   0.0000000000000000e+00   142699        target_error_reached    0.8895    
9      40241017      1.0000000000637165e+02   0.0000000000000000e+00   141278        target_error_reached    0.8853    
10     41241054      1.0000000000698908e+02   0.0000000000000000e+00   139934        target_error_reached    0.9180    
11     42241091      1.0000000000659153e+02   0.0000000000000000e+00   149422        target_error_reached    0.9377    
12     43241128      1.0000000000874380e+02   0.0000000000000000e+00   139934        target_error_reached    0.8820    
13     44241165      1.0000000000617700e+02   0.0000000000000000e+00   148177        target_error_reached    0.9283    
14     45241202      1.0000000000820314e+02   0.0000000000000000e+00   146683        target_error_reached    0.9637    
15     46241239      1.0000000000823051e+02   0.0000000000000000e+00   141362        target_error_reached    1.0530    
16     47241276      1.0000000000860476e+02   0.0000000000000000e+00   143114        target_error_reached    1.0954    
17     48241313      1.0000000000460000e+02   0.0000000000000000e+00   147347        target_error_reached    1.0560    
18     49241350      1.0000000000919015e+02   0.0000000000000000e+00   143612        target_error_reached    1.0389    
19     50241387      1.0000000000937497e+02   0.0000000000000000e+00   142616        target_error_reached    1.0865    
20     51241424      1.0000000000633470e+02   0.0000000000000000e+00   144940        target_error_reached    1.0719    
21     52241461      1.0000000000675242e+02   0.0000000000000000e+00   146268        target_error_reached    1.0599    
22     53241498      1.0000000000433822e+02   0.0000000000000000e+00   143197        target_error_reached    1.0990    
23     54241535      1.0000000000726303e+02   0.0000000000000000e+00   150409        target_error_reached    1.0909    
24     55241572      1.0000000000950689e+02   0.0000000000000000e+00   147430        target_error_reached    1.0820    
25     56241609      1.0000000000919289e+02   0.0000000000000000e+00   144525        target_error_reached    1.0935    
26     57241646      1.0000000000646928e+02   0.0000000000000000e+00   145853        target_error_reached    1.0942    
27     58241683      1.0000000000807010e+02   0.0000000000000000e+00   143944        target_error_reached    1.0671    
28     59241720      1.0000000000961583e+02   0.0000000000000000e+00   143529        target_error_reached    1.0747    
29     60241757      1.0000000000947502e+02   0.0000000000000000e+00   147015        target_error_reached    0.7744    
30     61241794      1.0000000000661289e+02   0.0000000000000000e+00   148260        target_error_reached    0.7533    

----- F2  D10  (30 runs)  optimum=1100  target_error=1e-08 -----
Run    Seed          Best_Fitness             Error                    NFEs          Termination             Runtime_s 
1      33240754      1.2262607107390754e+03   1.2626071073907542e+02   1000000       max_evaluations         24.6920   
2      34240791      1.1141667216707338e+03   1.4166721670733750e+01   1000000       max_evaluations         25.3886   
3      35240828      1.1289220613900470e+03   2.8922061390047020e+01   1000000       max_evaluations         25.1412   
4      36240865      1.1329450106598233e+03   3.2945010659823311e+01   1000000       max_evaluations         25.7700   
5      37240902      1.1145077768824049e+03   1.4507776882404869e+01   1000000       max_evaluations         25.7337   
6      38240939      1.1163629688841938e+03   1.6362968884193833e+01   1000000       max_evaluations         25.6645   
7      39240976      1.1349659178910333e+03   3.4965917891033314e+01   1000000       max_evaluations         24.8746   
8      40241013      1.1312998102020701e+03   3.1299810202070148e+01   1000000       max_evaluations         25.2427   
9      41241050      1.1037274368913459e+03   3.7274368913458602e+00   1000000       max_evaluations         24.8849   
10     42241087      1.1233606462795051e+03   2.3360646279505090e+01   1000000       max_evaluations         25.6521   
11     43241124      1.1177262914677349e+03   1.7726291467734882e+01   1000000       max_evaluations         26.0166   
12     44241161      1.1239276088520273e+03   2.3927608852027333e+01   1000000       max_evaluations         26.0365   
13     45241198      1.1288973415200635e+03   2.8897341520063492e+01   1000000       max_evaluations         24.7304   
14     46241235      1.1158166821675113e+03   1.5816682167511317e+01   1000000       max_evaluations         25.8112   
15     47241272      1.1324072367606050e+03   3.2407236760604974e+01   1000000       max_evaluations         25.5548   
16     48241309      1.1148093709326695e+03   1.4809370932669481e+01   1000000       max_evaluations         25.5118   
17     49241346      1.1710671621619176e+03   7.1067162161917622e+01   1000000       max_evaluations         26.0203   
18     50241383      1.1159250044864029e+03   1.5925004486402941e+01   1000000       max_evaluations         25.9283   
19     51241420      1.1296704675870214e+03   2.9670467587021449e+01   1000000       max_evaluations         25.7247   
20     52241457      1.1220267061848417e+03   2.2026706184841714e+01   1000000       max_evaluations         25.9022   
21     53241494      1.2348953645449174e+03   1.3489536454491736e+02   1000000       max_evaluations         26.1976   
22     54241531      1.1574475533255836e+03   5.7447553325583613e+01   1000000       max_evaluations         26.2217   
23     55241568      1.1278812074430016e+03   2.7881207443001585e+01   1000000       max_evaluations         25.8687   
24     56241605      1.1391709702078879e+03   3.9170970207887876e+01   1000000       max_evaluations         25.7856   
25     57241642      1.1324808027648178e+03   3.2480802764817781e+01   1000000       max_evaluations         26.3537   
26     58241679      1.1190622212085800e+03   1.9062221208580013e+01   1000000       max_evaluations         26.3600   
27     59241716      1.1185715074112904e+03   1.8571507411290440e+01   1000000       max_evaluations         25.8612   
28     60241753      1.2273463541271854e+03   1.2734635412718535e+02   1000000       max_evaluations         25.9982   
29     61241790      1.2341565523406457e+03   1.3415655234064570e+02   1000000       max_evaluations         11.0063   
30     62241827      1.1267669894428791e+03   2.6766989442879094e+01   1000000       max_evaluations         11.0733   

----- F3  D10  (30 runs)  optimum=700  target_error=1e-08 -----
Run    Seed          Best_Fitness             Error                    NFEs          Termination             Runtime_s 
1      34240787      7.1229562925132109e+02   1.2295629251321088e+01   1000000       max_evaluations         26.9641   
2      35240824      7.1150422294622115e+02   1.1504222946221148e+01   1000000       max_evaluations         26.9105   
3      36240861      7.1116838574473547e+02   1.1168385744735474e+01   1000000       max_evaluations         26.8986   
4      37240898      7.1158906444081788e+02   1.1589064440817879e+01   1000000       max_evaluations         27.2158   
5      38240935      7.1412358461460019e+02   1.4123584614600190e+01   1000000       max_evaluations         27.6169   
6      39240972      7.1162839625619324e+02   1.1628396256193241e+01   1000000       max_evaluations         27.1324   
7      40241009      7.1190385366050100e+02   1.1903853660500999e+01   1000000       max_evaluations         28.0782   
8      41241046      7.1107994236731759e+02   1.1079942367317585e+01   1000000       max_evaluations         27.7449   
9      42241083      7.0530844251148187e+02   5.3084425114818714e+00   1000000       max_evaluations         27.6727   
10     43241120      7.0552489669495230e+02   5.5248966949523037e+00   1000000       max_evaluations         27.6869   
11     44241157      7.1246217264699067e+02   1.2462172646990666e+01   1000000       max_evaluations         27.7630   
12     45241194      7.1192571448396086e+02   1.1925714483960860e+01   1000000       max_evaluations         27.8950   
13     46241231      7.0249930410328966e+02   2.4993041032896599e+00   1000000       max_evaluations         26.6008   
14     47241268      7.0300865331281057e+02   3.0086533128105657e+00   1000000       max_evaluations         26.4550   
15     48241305      7.1248191306185640e+02   1.2481913061856403e+01   1000000       max_evaluations         27.1207   
16     49241342      7.1142272298387036e+02   1.1422722983870358e+01   1000000       max_evaluations         27.4710   
17     50241379      7.1305746074040826e+02   1.3057460740408260e+01   1000000       max_evaluations         26.6965   
18     51241416      7.1246475370097494e+02   1.2464753700974939e+01   1000000       max_evaluations         27.0501   
19     52241453      7.1241943038598254e+02   1.2419430385982537e+01   1000000       max_evaluations         27.8554   
20     53241490      7.1155857877512574e+02   1.1558578775125739e+01   1000000       max_evaluations         27.4128   
21     54241527      7.1163829960640714e+02   1.1638299606407145e+01   1000000       max_evaluations         27.3480   
22     55241564      7.1347944607988279e+02   1.3479446079882791e+01   1000000       max_evaluations         28.0635   
23     56241601      7.1226551374759629e+02   1.2265513747596287e+01   1000000       max_evaluations         27.6473   
24     57241638      7.0198991811418659e+02   1.9899181141865938e+00   1000000       max_evaluations         27.8931   
25     58241675      7.0307905814882395e+02   3.0790581488239468e+00   1000000       max_evaluations         28.0747   
26     59241712      7.0252123396671072e+02   2.5212339667107244e+00   1000000       max_evaluations         27.6408   
27     60241749      7.1242535767298307e+02   1.2425357672983068e+01   1000000       max_evaluations         28.0282   
28     61241786      7.1043588814320594e+02   1.0435888143205943e+01   1000000       max_evaluations         27.6911   
29     62241823      7.1170102313904749e+02   1.1701023139047493e+01   1000000       max_evaluations         11.7875   
30     63241860      7.1193725749356361e+02   1.1937257493563607e+01   1000000       max_evaluations         11.8872   

----- F4  D10  (30 runs)  optimum=1900  target_error=1e-08 -----
Run    Seed          Best_Fitness             Error                    NFEs          Termination             Runtime_s 
1      35240820      1.9001887312998226e+03   1.8873129982262071e-01   1000000       max_evaluations         24.2848   
2      36240857      1.9000513734823046e+03   5.1373482304597928e-02   1000000       max_evaluations         23.9355   
3      37240894      1.9000663533729721e+03   6.6353372972116631e-02   1000000       max_evaluations         24.3878   
4      38240931      1.9000239729836123e+03   2.3972983612338794e-02   1000000       max_evaluations         24.5483   
5      39240968      1.9000832502195349e+03   8.3250219534875214e-02   1000000       max_evaluations         24.3017   
6      40241005      1.9000482005478930e+03   4.8200547892975010e-02   1000000       max_evaluations         25.0365   
7      41241042      1.9001281060713213e+03   1.2810607132132645e-01   1000000       max_evaluations         25.0115   
8      42241079      1.9000884480974853e+03   8.8448097485297694e-02   1000000       max_evaluations         25.6036   
9      43241116      1.9000909735169239e+03   9.0973516923895659e-02   1000000       max_evaluations         25.1014   
10     44241153      1.9000629030496648e+03   6.2903049664782884e-02   1000000       max_evaluations         25.2364   
11     45241190      1.9001357856183429e+03   1.3578561834287939e-01   1000000       max_evaluations         25.6117   
12     46241227      1.9001552676324156e+03   1.5526763241564367e-01   1000000       max_evaluations         25.6047   
13     47241264      1.9002369230685574e+03   2.3692306855741663e-01   1000000       max_evaluations         23.9939   
14     48241301      1.9000974800173447e+03   9.7480017344651060e-02   1000000       max_evaluations         24.1328   
15     49241338      1.9000508091107918e+03   5.0809110791760759e-02   1000000       max_evaluations         23.7181   
16     50241375      1.9002826794885377e+03   2.8267948853772396e-01   1000000       max_evaluations         23.8643   
17     51241412      1.9001726374884427e+03   1.7263748844266047e-01   1000000       max_evaluations         23.8042   
18     52241449      1.9000302590239157e+03   3.0259023915732541e-02   1000000       max_evaluations         23.5783   
19     53241486      1.9000529449610813e+03   5.2944961081266229e-02   1000000       max_evaluations         23.9128   
20     54241523      1.9000684179561915e+03   6.8417956191524354e-02   1000000       max_evaluations         23.9951   
21     55241560      1.9001310713297935e+03   1.3107132979348535e-01   1000000       max_evaluations         24.1761   
22     56241597      1.9000550424797777e+03   5.5042479777739572e-02   1000000       max_evaluations         24.6891   
23     57241634      1.9000961316633436e+03   9.6131663343612672e-02   1000000       max_evaluations         24.8016   
24     58241671      1.9000002725307252e+03   2.7253072516941756e-04   1000000       max_evaluations         24.3479   
25     59241708      1.9000884469634755e+03   8.8446963475462326e-02   1000000       max_evaluations         24.5078   
26     60241745      1.9001748034843374e+03   1.7480348433741710e-01   1000000       max_evaluations         24.4294   
27     61241782      1.9000766015700142e+03   7.6601570014190656e-02   1000000       max_evaluations         24.4785   
28     62241819      1.9002470520083637e+03   2.4705200836365293e-01   1000000       max_evaluations         24.3747   
29     63241856      1.9000431412067012e+03   4.3141206701193369e-02   1000000       max_evaluations         10.5547   
30     64241893      1.9002076588048742e+03   2.0765880487419963e-01   1000000       max_evaluations         10.4107   

----- F5  D10  (30 runs)  optimum=1700  target_error=1e-08 -----
Run    Seed          Best_Fitness             Error                    NFEs          Termination             Runtime_s 
1      36240853      1.7004162859692910e+03   4.1628596929103878e-01   1000000       max_evaluations         29.2923   
2      37240890      1.7004162859692910e+03   4.1628596929103878e-01   1000000       max_evaluations         29.9251   
3      38240927      1.7002081429846455e+03   2.0814298464551939e-01   1000000       max_evaluations         30.3255   
4      39240964      1.7004162859692910e+03   4.1628596929103878e-01   1000000       max_evaluations         29.3352   
5      40241001      1.7012031020417389e+03   1.2031020417389300e+00   1000000       max_evaluations         29.3122   
6      41241038      1.7000000000099244e+03   0.0000000000000000e+00   698251        target_error_reached    12.9680   
7      42241075      1.7004162859692913e+03   4.1628596929126616e-01   1000000       max_evaluations         30.1863   
8      43241112      1.7000000000088562e+03   0.0000000000000000e+00   672931        target_error_reached    11.8680   
9      44241149      1.7002081429846455e+03   2.0814298464551939e-01   1000000       max_evaluations         29.8248   
10     45241186      1.7004162859692913e+03   4.1628596929126616e-01   1000000       max_evaluations         30.1591   
11     46241223      1.7004162859692910e+03   4.1628596929103878e-01   1000000       max_evaluations         30.4072   
12     47241260      1.7004162859692910e+03   4.1628596929103878e-01   1000000       max_evaluations         30.8091   
13     48241297      1.7000000000063242e+03   0.0000000000000000e+00   643415        target_error_reached    10.7448   
14     49241334      1.7002081429846455e+03   2.0814298464551939e-01   1000000       max_evaluations         29.4492   
15     50241371      1.7000000000092618e+03   0.0000000000000000e+00   714429        target_error_reached    14.3247   
16     51241408      1.7004162859692910e+03   4.1628596929103878e-01   1000000       max_evaluations         31.0419   
17     52241445      1.7004162859692913e+03   4.1628596929126616e-01   1000000       max_evaluations         30.8299   
18     53241482      1.7004162859692910e+03   4.1628596929103878e-01   1000000       max_evaluations         28.5470   
19     54241519      1.7002081429846455e+03   2.0814298464551939e-01   1000000       max_evaluations         26.1749   
20     55241556      1.7002081429846455e+03   2.0814298464551939e-01   1000000       max_evaluations         26.7184   
21     56241593      1.7002081429846455e+03   2.0814298464551939e-01   1000000       max_evaluations         26.6130   
22     57241630      1.7004162859692913e+03   4.1628596929126616e-01   1000000       max_evaluations         26.8218   
23     58241667      1.7000000000086857e+03   0.0000000000000000e+00   595522        target_error_reached    10.1132   
24     59241704      1.7004162859692910e+03   4.1628596929103878e-01   1000000       max_evaluations         26.2248   
25     60241741      1.7002081429846457e+03   2.0814298464574676e-01   1000000       max_evaluations         26.3308   
26     61241778      1.7000000000096957e+03   0.0000000000000000e+00   696424        target_error_reached    13.5546   
27     62241815      1.7004162859692910e+03   4.1628596929103878e-01   1000000       max_evaluations         26.1481   
28     63241852      1.7004162859692910e+03   4.1628596929103878e-01   1000000       max_evaluations         26.4356   
29     64241889      1.7004162859692910e+03   4.1628596929103878e-01   1000000       max_evaluations         26.4662   
30     65241926      1.7000000000099146e+03   0.0000000000000000e+00   700666        target_error_reached    12.0642   

----- F6  D10  (30 runs)  optimum=1600  target_error=1e-08 -----
Run    Seed          Best_Fitness             Error                    NFEs          Termination             Runtime_s 
1      37240886      1.6000841686181020e+03   8.4168618102012260e-02   1000000       max_evaluations         31.2682   
2      38240923      1.6002583867743156e+03   2.5838677431556789e-01   1000000       max_evaluations         31.2632   
3      39240960      1.6000302785030781e+03   3.0278503078079666e-02   1000000       max_evaluations         30.8833   
4      40240997      1.6002619476683451e+03   2.6194766834510119e-01   1000000       max_evaluations         32.0286   
5      41241034      1.6002277767392029e+03   2.2777673920290908e-01   1000000       max_evaluations         31.1202   
6      42241071      1.6000624793252534e+03   6.2479325253434581e-02   1000000       max_evaluations         30.7766   
7      43241108      1.6000563976535484e+03   5.6397653548401649e-02   1000000       max_evaluations         30.9342   
8      44241145      1.6000222804035031e+03   2.2280403503145862e-02   1000000       max_evaluations         31.0180   
9      45241182      1.6000399970178648e+03   3.9997017864834561e-02   1000000       max_evaluations         31.3579   
