==============================================================================================================
DETAILED PER-RUN LOG   AGSK   CEC2020   D5
runs per function : 30
functions         : [1 2 3 4 5 8 9 10]
statistics basis  : error vs known optimum
generated         : 2026-07-28_03.28.00
==============================================================================================================

----- F1  D5  (30 runs)  optimum=100  target_error=1e-08 -----
Run    Seed          Best_Fitness             Error                    NFEs          Termination             Runtime_s 
1      27240706      1.0000000000464613e+02   0.0000000000000000e+00   24684         target_error_reached    0.1664    
2      28240743      1.0000000000935722e+02   0.0000000000000000e+00   23856         target_error_reached    0.1453    
3      29240780      1.0000000000978908e+02   0.0000000000000000e+00   25873         target_error_reached    0.1827    
4      30240817      1.0000000000681592e+02   0.0000000000000000e+00   25177         target_error_reached    0.1421    
5      31240854      1.0000000000987052e+02   0.0000000000000000e+00   25177         target_error_reached    0.1660    
6      32240891      1.0000000000566746e+02   0.0000000000000000e+00   25288         target_error_reached    0.1629    
7      33240928      1.0000000000628015e+02   0.0000000000000000e+00   25473         target_error_reached    0.1579    
8      34240965      1.0000000000995850e+02   0.0000000000000000e+00   25801         target_error_reached    0.1782    
9      35241002      1.0000000000295817e+02   0.0000000000000000e+00   24722         target_error_reached    0.1393    
10     36241039      1.0000000000318471e+02   0.0000000000000000e+00   26160         target_error_reached    0.1644    
11     37241076      1.0000000000606768e+02   0.0000000000000000e+00   25362         target_error_reached    0.1704    
12     38241113      1.0000000000752763e+02   0.0000000000000000e+00   24988         target_error_reached    0.1633    
13     39241150      1.0000000000523961e+02   0.0000000000000000e+00   25399         target_error_reached    0.1779    
14     40241187      1.0000000000989320e+02   0.0000000000000000e+00   25140         target_error_reached    0.1816    
15     41241224      1.0000000000222109e+02   0.0000000000000000e+00   24950         target_error_reached    0.2161    
16     42241261      1.0000000000329504e+02   0.0000000000000000e+00   26580         target_error_reached    0.2284    
17     43241298      1.0000000000816199e+02   0.0000000000000000e+00   25288         target_error_reached    0.1931    
18     44241335      1.0000000000808191e+02   0.0000000000000000e+00   25547         target_error_reached    0.2215    
19     45241372      1.0000000000531898e+02   0.0000000000000000e+00   25102         target_error_reached    0.2089    
20     46241409      1.0000000000846559e+02   0.0000000000000000e+00   24836         target_error_reached    0.2187    
