Function,Best,Median,Mean,Worst,SD
1,0.0000000000E+00,0.0000000000E+00,0.0000000000E+00,0.0000000000E+00,0.0000000000E+00
2,5.1571092626E+00,2.5516178511E+01,4.5353043546E+01,1.3696950718E+02,4.4771652422E+01
3,1.9899181142E+00,1.5566976513E+01,1.5249262623E+01,1.6528216208E+01,2.5144783564E+00
4,4.1517829143E-02,1.3394030885E-01,1.5907019543E-01,3.8962391257E-01,8.3773928939E-02
5,4.6835263750E-01,5.2870253393E+00,5.4793810818E+00,1.2672340876E+01,3.4317976118E+00
6,7.3513778920E-03,2.5573684570E-01,3.2520959152E-01,1.2112995546E+00,2.9119846435E-01
7,2.1043428850E-02,2.2850433369E-01,2.4239303530E-01,7.1738971281E-01,1.5874527251E-01
8,0.0000000000E+00,1.0000000000E+02,7.0483963431E+01,1.0000000000E+02,3.7175761124E+01
9,1.0000000000E+02,1.0000000000E+02,1.1333333333E+02,3.0000000000E+02,5.0741626340E+01
10,4.0000000000E+02,4.0000000000E+02,4.0000000000E+02,4.0000000000E+02,3.0263356972E-13
